"term","Group1","Group2","null.value","estimate","conf.low","conf.high","adj.p.value","Significant","Group1_CLD","Group2_CLD"
"site_number","67","1",0,0.118246810398868,-2.27668256068206,2.5131761814798,1,"No","abc","abc"
"site_number","68","1",0,0.785801892142751,-1.89181054538114,3.46341432966664,1,"No","ab","abc"
"site_number","69","1",0,0.544097848050211,-2.13351458947368,3.2217102855741,1,"No","ab","abc"
"site_number","70","1",0,-0.112169576068821,-2.78978201359271,2.56544286145507,1,"No","abc","abc"
"site_number","71","1",0,-1.24748891811596,-3.92510135563985,1.43012351940793,0.999970545737227,"No","abc","abc"
"site_number","72","1",0,0.329061859047724,-2.34855057847617,3.00667429657161,1,"No","abc","abc"
"site_number","73","1",0,0.560166572823491,-2.1174458647004,3.23777901034738,1,"No","ab","abc"
"site_number","74","1",0,-1.00721932545017,-3.68483176297406,1.67039311207372,0.999999990091076,"No","abc","abc"
"site_number","75","1",0,-0.402537579183015,-3.0801500167069,2.27507485834087,1,"No","abc","abc"
"site_number","76","1",0,-1.07708712180627,-3.75469955933016,1.60052531571762,0.999999845816998,"No","abc","abc"
"site_number","77","1",0,-0.401829460305802,-3.07944189782969,2.27578297721809,1,"No","abc","abc"
"site_number","3","2",0,-0.58833250873754,-3.26594494626143,2.08927992878635,1,"No","abc","abc"
"site_number","7","2",0,1.43256805283749,-1.2450443846864,4.11018049036138,0.99850072008127,"No","ab","abc"
"site_number","8","2",0,-0.255151466726252,-2.93276390425014,2.42246097079764,1,"No","abc","abc"
"site_number","9","2",0,0.218438110113911,-2.45917432740998,2.8960505476378,1,"No","abc","abc"
"site_number","10","2",0,-0.438503202713927,-3.11611564023782,2.23910923480996,1,"No","abc","abc"
"site_number","11","2",0,0.270601819968657,-2.12432755111227,2.66553119104959,1,"No","abc","abc"
"site_number","12","2",0,0.188163218264722,-2.48944921925917,2.86577565578861,1,"No","abc","abc"
"site_number","13","2",0,0.379542880784674,-2.01538649029626,2.7744722518656,1,"No","abc","abc"
"site_number","14","2",0,1.54567104906927,-1.13194138845462,4.22328348659316,0.991588827682503,"No","ab","abc"
"site_number","15","2",0,0.0930769414199234,-2.58453549610397,2.77068937894381,1,"No","abc","abc"
"site_number","16","2",0,0.393070257430724,-2.28454218009317,3.07068269495461,1,"No","abc","abc"
"site_number","17","2",0,-0.0751035979936318,-2.75271603551752,2.60250883953026,1,"No","abc","abc"
"site_number","18","2",0,-0.230797929126071,-2.90841036664996,2.44681450839782,1,"No","abc","abc"
"site_number","19","2",0,-0.371488328568771,-2.88331144370103,2.14033478656349,1,"No","abc","abc"
"site_number","20","2",0,2.08552187213548,-0.592090565388414,4.76313430965937,0.5594986322052,"No","a","abc"
"site_number","21","2",0,1.27695731635066,-1.40065512117323,3.95456975387455,0.999938627989378,"No","ab","abc"
"site_number","22","2",0,1.18834577939505,-1.48926665812884,3.86595821691894,0.999994155848744,"No","ab","abc"
"site_number","23","2",0,-0.827451076140293,-3.50506351366418,1.8501613613836,1,"No","abc","abc"
"site_number","24","2",0,0.47617817667895,-2.20143426084494,3.15379061420284,1,"No","abc","abc"
"site_number","25","2",0,-0.523242573014936,-3.20085501053883,2.15436986450895,1,"No","abc","abc"
"site_number","26","2",0,-0.261248258111967,-2.93886069563586,2.41636417941192,1,"No","abc","abc"
"site_number","27","2",0,0.912313187035232,-1.76529925048866,3.58992562455912,0.999999999880216,"No","abc","abc"
"site_number","28","2",0,1.04782686602909,-1.6297855714948,3.72543930355298,0.99999994877959,"No","abc","abc"
"site_number","29","2",0,-1.53315707665054,-3.92808644773147,0.861772294430387,0.946086206130701,"No","c","abc"
"site_number","30","2",0,-0.668282297870568,-3.34589473539446,2.00933013965332,1,"No","abc","abc"
"site_number","31","2",0,-0.853944281885004,-3.53155671940889,1.82366815563889,1,"No","bc","abc"
"site_number","32","2",0,0.299019342532845,-2.37859309499104,2.97663178005673,1,"No","abc","abc"
"site_number","33","2",0,1.05226313132768,-1.62534930619621,3.72987556885157,0.999999939206373,"No","abc","abc"
"site_number","34","2",0,0.00313036439898295,-2.67448207312491,2.68074280192287,1,"No","abc","abc"
"site_number","35","2",0,-1.16145111235,-3.83906354987389,1.51616132517389,0.999997384274954,"No","bc","abc"
"site_number","36","2",0,0.687623170340375,-1.98998926718351,3.36523560786426,1,"No","abc","abc"
"site_number","37","2",0,0.90253144934369,-1.7750809881802,3.58014388686758,0.99999999992784,"No","abc","abc"
"site_number","38","2",0,0.876288940647696,-1.80132349687619,3.55390137817159,0.999999999982457,"No","abc","abc"
"site_number","39","2",0,0.714017607117564,-1.96359483040633,3.39163004464145,1,"No","abc","abc"
"site_number","40","2",0,-0.763209706098164,-3.44082214362205,1.91440273142573,1,"No","abc","abc"
"site_number","41","2",0,0.481313322616744,-2.19629911490715,3.15892576014063,1,"No","abc","abc"
"site_number","42","2",0,0.385632871553891,-2.29197956597,3.06324530907778,1,"No","abc","abc"
"site_number","43","2",0,-0.582849794254795,-3.26046223177868,2.09476264326909,1,"No","abc","abc"
"site_number","44","2",0,0.130588458365437,-2.54702397915845,2.80820089588933,1,"No","abc","abc"
"site_number","45","2",0,0.920430156648427,-1.75718228087546,3.59804259417232,0.999999999819064,"No","abc","abc"
"site_number","46","2",0,0.378394823689595,-2.13342829144266,2.89021793882185,1,"No","abc","abc"
"site_number","47","2",0,0.11349976965142,-2.56411266787247,2.79111220717531,1,"No","abc","abc"
"site_number","48","2",0,0.201442272189122,-2.47617016533477,2.87905470971301,1,"No","abc","abc"
"site_number","49","2",0,1.09851834002435,-1.41330477510791,3.6103414551566,0.999996499741735,"No","ab","abc"
"site_number","50","2",0,1.13009081360873,-1.54752162391516,3.80770325113261,0.999999033434477,"No","abc","abc"
"site_number","51","2",0,1.17301156352062,-1.50460087400327,3.85062400104451,0.999996284252063,"No","ab","abc"
"site_number","52","2",0,1.01655432285415,-1.66105811466974,3.69416676037804,0.999999985368039,"No","abc","abc"
"site_number","53","2",0,0.240929462295384,-2.43668297522851,2.91854189981927,1,"No","abc","abc"
"site_number","54","2",0,1.10386154865617,-1.57375088886772,3.78147398618006,0.999999600459674,"No","abc","abc"
"site_number","55","2",0,1.31647477510995,-1.36113766241394,3.99408721263384,0.999846715500458,"No","ab","abc"
"site_number","56","2",0,1.01876819402742,-1.65884424349647,3.69638063155131,0.999999983968399,"No","abc","abc"
"site_number","57","2",0,0.533405134707413,-2.14420730281648,3.2110175722313,1,"No","abc","abc"
"site_number","58","2",0,0.14129282250467,-2.53631961501922,2.81890526002856,1,"No","abc","abc"
"site_number","59","2",0,1.77041141347667,-0.907201024047224,4.44802385100055,0.913884988180567,"No","ab","abc"
"site_number","60","2",0,-0.807277376163104,-3.48488981368699,1.87033506136079,1,"No","abc","abc"
"site_number","61","2",0,0.778132437342236,-1.73369067779002,3.28995555247449,1,"No","abc","abc"
"site_number","62","2",0,1.03014612976788,-1.64746630775601,3.70775856729177,0.999999974527444,"No","abc","abc"
"site_number","63","2",0,-0.0383164783813544,-2.71592891590524,2.63929595914253,1,"No","abc","abc"
"site_number","64","2",0,0.0138316552705041,-2.66378078225339,2.69144409279439,1,"No","abc","abc"
"site_number","65","2",0,1.34081193325123,-1.33680050427266,4.01842437077512,0.999740473964332,"No","ab","abc"
"site_number","66","2",0,0.838169990041881,-1.83944244748201,3.51578242756577,1,"No","abc","abc"
"site_number","67","2",0,0.779609828504268,-1.61531954257666,3.1745391995852,0.999999999986499,"No","abc","abc"
"site_number","68","2",0,1.44716491024815,-1.23044752727574,4.12477734777204,0.998078875530509,"No","ab","abc"
"site_number","69","2",0,1.20546086615561,-1.47215157136828,3.8830733036795,0.99999047267156,"No","ab","abc"
"site_number","70","2",0,0.549193442036579,-2.12841899548731,3.22680587956047,1,"No","abc","abc"
"site_number","71","2",0,-0.586125900010557,-3.26373833753445,2.09148653751333,1,"No","abc","abc"
"site_number","72","2",0,0.990424877153124,-1.68718756037077,3.66803731467701,0.99999999517775,"No","abc","abc"
"site_number","73","2",0,1.22152959092889,-1.456082846595,3.89914202845278,0.999985158447164,"No","ab","abc"
"site_number","74","2",0,-0.345856307344767,-3.02346874486866,2.33175613017912,1,"No","abc","abc"
"site_number","75","2",0,0.258825438922386,-2.4187869986015,2.93643787644628,1,"No","abc","abc"
"site_number","76","2",0,-0.41572410370087,-3.09333654122476,2.26188833382302,1,"No","abc","abc"
"site_number","77","2",0,0.259533557799598,-2.41807887972429,2.93714599532349,1,"No","abc","abc"
"site_number","7","3",0,2.02090056157503,-0.912276903001426,4.95407802615148,0.854711167903043,"No","ab","abc"
"site_number","8","3",0,0.333181042011288,-2.59999642256517,3.26635850658774,1,"No","abc","abc"
"site_number","9","3",0,0.806770618851451,-2.126406845725,3.7399480834279,1,"No","abc","abc"
"site_number","10","3",0,0.149829306023613,-2.78334815855284,3.08300677060007,1,"No","abc","abc"
"site_number","11","3",0,0.858934328706197,-1.81867810881769,3.53654676623009,1,"No","abc","abc"
"site_number","12","3",0,0.776495727002262,-2.15668173757419,3.70967319157871,1,"No","abc","abc"
"site_number","13","3",0,0.967875389522214,-1.70973704800168,3.6454878270461,0.999999998237777,"No","abc","abc"
"site_number","14","3",0,2.13400355780681,-0.79917390676964,5.06718102238327,0.742757476342756,"No","ab","abc"
"site_number","15","3",0,0.681409450157463,-2.25176801441899,3.61458691473392,1,"No","abc","abc"
"site_number","16","3",0,0.981402766168264,-1.95177469840819,3.91458023074472,0.999999999949139,"No","abc","abc"
"site_number","17","3",0,0.513228910743908,-2.41994855383254,3.44640637532036,1,"No","abc","abc"
"site_number","18","3",0,0.357534579611469,-2.57564288496498,3.29071204418792,1,"No","abc","abc"
"site_number","19","3",0,0.216844180168769,-2.56581229069306,2.9995006510306,1,"No","abc","abc"
"site_number","20","3",0,2.67385438087302,-0.259323083703438,5.60703184544947,0.161686530743717,"No","a","abc"
"site_number","21","3",0,1.8652898250882,-1.06788763948825,4.79846728966465,0.951352003070658,"No","ab","abc"
"site_number","22","3",0,1.77667828813259,-1.15649917644386,4.70985575270904,0.978605670661709,"No","ab","abc"
"site_number","23","3",0,-0.239118567402754,-3.17229603197921,2.6940588971737,1,"No","abc","abc"
"site_number","24","3",0,1.06451068541649,-1.86866677915996,3.99768814999294,0.999999997897036,"No","abc","abc"
"site_number","25","3",0,0.065089935722604,-2.86808752885385,2.99826740029906,1,"No","abc","abc"
"site_number","26","3",0,0.327084250625573,-2.60609321395088,3.26026171520203,1,"No","abc","abc"
"site_number","27","3",0,1.50064569577277,-1.43253176880368,4.43382316034922,0.999529843689443,"No","abc","abc"
"site_number","28","3",0,1.63615937476663,-1.29701808980982,4.56933683934308,0.995984912754271,"No","abc","abc"
"site_number","29","3",0,-0.944824567913003,-3.62243700543689,1.73278786961089,0.999999999400455,"No","c","abc"
"site_number","30","3",0,-0.0799497891330286,-3.01312725370948,2.85322767544342,1,"No","abc","abc"
"site_number","31","3",0,-0.265611773147464,-3.19878923772392,2.66756569142899,1,"No","bc","abc"
"site_number","32","3",0,0.887351851270385,-2.04582561330607,3.82052931584684,1,"No","abc","abc"
"site_number","33","3",0,1.64059564006522,-1.29258182451124,4.57377310464167,0.995733596115231,"No","abc","abc"
"site_number","34","3",0,0.591462873136523,-2.34171459143993,3.52464033771298,1,"No","abc","abc"
"site_number","35","3",0,-0.573118603612462,-3.50629606818892,2.36005886096399,1,"No","bc","abc"
"site_number","36","3",0,1.27595567907791,-1.65722178549854,4.20913314365437,0.999997103295553,"No","abc","abc"
"site_number","37","3",0,1.49086395808123,-1.44231350649522,4.42404142265768,0.999606697586951,"No","abc","abc"
"site_number","38","3",0,1.46462144938524,-1.46855601519122,4.39779891396169,0.999760536056784,"No","abc","abc"
"site_number","39","3",0,1.3023501158551,-1.63082734872135,4.23552758043156,0.999994064866211,"No","abc","abc"
