"metric","site_name","reporting_area","Ii","Z.Ii","p","p_fdr","cluster","sig_p05","sig_fdr05"
"ibr_bio","Manchester, Stormwater Outfall","10",-0.312039595034006,-1.20761528947251,0.227195275356393,0.636308834820626,"NS",FALSE,FALSE
"ibr_bio","Browns Point Lighthouse","11",-0.0520831677346348,-1.19479601666514,0.232166737029147,0.636308834820626,"NS",FALSE,FALSE
"ibr_bio","Raft Island Park","13",0.243265864865932,1.16037803555989,0.245894925401299,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Thea Foss Waterway","11",0.0677823262940198,1.0918483555678,0.274899760705562,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Penrose Point State Park","13",-0.0955716069706605,-1.09032983371904,0.275567877922228,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Skiff Point","10",0.175699909811661,1.07250634708791,0.283492664652809,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","North Camano","8.1",-0.878910566672686,-1.02615390038631,0.304819047031673,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Chimacum Creek delta","9",-0.179384216490214,-1.018378799563,0.308497973324062,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Madrona Pont","10",0.0965099506439031,1.01518478989633,0.310017749587614,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Blair Waterway Two","11",0.148145241347077,1.00799296985527,0.313457837205595,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Blair Waterway","11",0.183980370120163,0.963834802661964,0.335128755101979,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Commencement Bay Skookum","11",0.186991805051014,0.959847494933112,0.337131974626379,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Port Angeles Yacht Club","6",-0.103436656424762,-0.959188516637953,0.337463784402806,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Edmonds Ferry","9",-1.10793017218969,-0.941994838295782,0.346195282596685,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Rocky Point","10",0.166064024232147,0.932250005707448,0.351207338054987,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Rich Passage","10",0.0395902983989257,0.914536501048665,0.360435007275631,0.647946594054614,"NS",FALSE,FALSE
