"term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"PAHgroup8","2-0",0,-0.0949810606060615,-0.189123869339231,-0.000838251872891702,0.0462449643783276
"PAHgroup8","6-0",0,-0.144217171717173,-0.261518938206222,-0.0269154052281234,0.00511298553724093
"PAHgroup8","7-0",0,-0.119527629233512,-0.208963197713597,-0.0300920607534281,0.00148067579336708
"PAHgroup8","3-1",0,0.123058479532163,0.0348615069817996,0.211255452082527,0.000717612166981629
"PAHgroup8","3-2",0,0.138322368421053,0.0476367969402351,0.22900793990187,0.000130535496270179
"PAHgroup8","5-3",0,-0.138406827880512,-0.230866140024187,-0.0459475157368368,0.000191497266122553
"PAHgroup8","6-3",0,-0.187558479532164,-0.302104142305067,-0.0730128167592604,2.6976867462225e-05
"PAHgroup8","7-3",0,-0.162868937048504,-0.248657778677169,-0.0770800954198389,4.82045868777092e-07
"PAHgroup8","6-4",0,-0.11770202020202,-0.229709220215469,-0.00569482018857111,0.0316387237925898
"PAHgroup8","7-4",0,-0.09301247771836,-0.175381339205922,-0.0106436162307978,0.0147971129486431
