"analyte","correlation","p_value"
"a21",0.241,0.039
"a22",0.25,0.032
"a25",0.237,0.042
"a27",0.246,0.035
"a55",0.241,0.039
"a56",0.262,0.025
"a57",0.342,0.003
"a61",0.255,0.029
"a62",0.238,0.041
"a76",0.265,0.023
"a77",0.291,0.012
"a89",0.237,0.042
"a91",0.243,0.037
"a94",0.258,0.027
"a95",0.279,0.017
"a96",0.267,0.022
"a97",0.248,0.033
"a100",0.271,0.02
"a101",0.28,0.016
"a102",0.294,0.011
"a103",0.288,0.013
"a104",0.312,0.007
"a105",0.26,0.026
"a106",0.326,0.005
"a108",0.28,0.016
"a110",0.275,0.018
"a111",0.286,0.014
"a123",0.236,0.043
