"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"6","7",3.33412086712024,9e-04,0.0308,"Yes","a","b"
"6","8.2",3.07575165054612,0.0021,0.0378,"Yes","a","b"
"13","6",-2.55987628004024,0.0105,0.1257,"No","ab","a"
"7","9",-2.43982853201498,0.0147,0.1322,"No","b","ab"
"8.2","9",-2.22935534787557,0.0258,0.1547,"No","b","ab"
"11","6",-2.15221784179934,0.0314,0.1614,"No","ab","a"
"10","7",2.26895712351813,0.0233,0.1676,"No","ab","b"
"11","7",1.91765608018537,0.0552,0.1986,"No","ab","b"
"10","8.2",1.95973311100923,0.05,0.2001,"No","ab","b"
"10","6",-1.97901900073088,0.0478,0.2152,"No","ab","a"
"11","8.2",1.70632042603717,0.0879,0.2878,"No","ab","b"
"7","8.1",-1.37002931131917,0.1707,0.384,"No","b","ab"
"8.1","8.2",1.39646322853276,0.1626,0.3902,"No","ab","b"
"12","7",1.42794273349169,0.1533,0.3942,"No","ab","b"
"13","9",-1.48503609140345,0.1375,0.4126,"No","ab","ab"
"12","8.2",1.4404736576497,0.1497,0.4146,"No","ab","b"
"13","7",1.28362747223492,0.1993,0.422,"No","ab","b"
"12","6",-1.21225001919591,0.2254,0.4271,"No","ab","a"
"6","9",1.17463741707312,0.2401,0.4323,"No","a","ab"
"13","8.2",1.22218149688445,0.2216,0.4433,"No","ab","b"
"6","8.1",1.07022566481402,0.2845,0.4877,"No","a","ab"
"10","13",1.03586152655863,0.3003,0.4913,"No","ab","ab"
"11","9",-0.981783690778364,0.3262,0.5106,"No","ab","ab"
"11","13",0.678176223018906,0.4977,0.6635,"No","ab","ab"
"10","9",-0.751683770317386,0.4522,0.6784,"No","ab","ab"
"12","13",0.690302494506101,0.49,0.6785,"No","ab","ab"
"13","8.1",-0.693809680106509,0.4878,0.7024,"No","ab","ab"
"12","9",-0.310233205745385,0.7564,0.8784,"No","ab","ab"
"7","8.2",0.206003223156426,0.8368,0.886,"No","b","b"
"11","12",-0.331992247461877,0.7399,0.8879,"No","ab","ab"
"10","12",-0.163802695128937,0.8699,0.8947,"No","ab","ab"
"10","8.1",-0.216203307141889,0.8288,0.9042,"No","ab","ab"
"10","11",0.341882291680201,0.7324,0.9092,"No","ab","ab"
"11","8.1",-0.368378314202364,0.7126,0.9162,"No","ab","ab"
"8.1","9",-0.223066881735556,0.8235,0.9264,"No","ab","ab"
"12","8.1",-0.0532365201395249,0.9575,0.9575,"No","ab","ab"
