"analyte","corr_lat","p_lat","corr_long","p_long","lat_sig","long_sig"
"arsenic",0.0921308877877328,0.434973308233292,-0.233637178225249,0.0451315330143495,"","*"
"cadmium",-0.109145569388919,0.354606815912132,-0.244948129944738,0.0354300710647632,"","*"
"copper",0.0220214735283228,0.851996488623812,0.190344316919659,0.104235343259611,"",""
"lead",0.00484265087004813,0.967354317401911,0.407300999629767,0.000354143707715339,"","***"
"mercury ",0.148242489767039,0.207489960431178,0.332027634423278,0.00385175531554097,"","**"
"zinc",-0.181002310309524,0.12275549484441,-0.0621704875371773,0.598738663095706,"",""
