"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"11","7",2.49972971511895,0.0124,0.1491,"No","a","a"
"10","11",-2.83894327484775,0.0045,0.1629,"No","a","a"
"11","12",2.60465117379447,0.0092,0.1655,"No","a","a"
"11","8.1",2.2649140641691,0.0235,0.2117,"No","a","a"
"11","9",2.06963708978112,0.0385,0.2309,"No","a","a"
"12","13",-2.09581767753107,0.0361,0.2599,"No","a","a"
"11","6",1.88705086337411,0.0592,0.3042,"No","a","a"
"10","13",-1.71522096746924,0.0863,0.3107,"No","a","a"
"12","8.2",-1.7181595013479,0.0858,0.3431,"No","a","a"
"13","8.1",1.75749910065499,0.0788,0.3547,"No","a","a"
"13","7",1.58587012468719,0.1128,0.3691,"No","a","a"
"8.1","8.2",-1.42285083705373,0.1548,0.4643,"No","a","a"
"13","9",1.27740285100592,0.2015,0.4835,"No","a","a"
"13","6",1.28425536122737,0.1991,0.5118,"No","a","a"
"10","12",1.31848502595438,0.1873,0.5188,"No","a","a"
"12","7",-1.15989493720607,0.2461,0.5211,"No","a","a"
"12","9",-1.1769559147331,0.2392,0.5382,"No","a","a"
"8.2","9",0.816408306255224,0.4143,0.5524,"No","a","a"
"7","8.1",0.832745083122304,0.405,0.5608,"No","a","a"
"11","8.2",0.840081731894958,0.4009,0.5772,"No","a","a"
"10","8.2",-0.9231058637277,0.356,0.5825,"No","a","a"
"6","8.2",-0.943664098343224,0.3453,0.592,"No","a","a"
"7","8.2",-0.967238820328742,0.3334,0.6002,"No","a","a"
"12","6",-0.840463192756458,0.4006,0.601,"No","a","a"
"8.1","9",-0.863733776134774,0.3877,0.6069,"No","a","a"
"11","13",1.01294159813046,0.3111,0.6222,"No","a","a"
"10","8.1",0.974460843152301,0.3298,0.6249,"No","a","a"
"6","8.1",0.560308795170972,0.5753,0.7396,"No","a","a"
"10","6",0.342717175989504,0.7318,0.9085,"No","a","a"
"13","8.2",0.169891579729982,0.8651,0.916,"No","a","a"
"12","8.1",-0.255744805236402,0.7981,0.9269,"No","a","a"
"10","7",0.181439075679127,0.856,0.9338,"No","a","a"
"6","7",-0.209245749738875,0.8343,0.9385,"No","a","a"
"6","9",-0.273998312175595,0.7841,0.9409,"No","a","a"
"7","9",-0.102930047093133,0.918,0.9442,"No","a","a"
"10","9",0.0409373342930783,0.9673,0.9673,"No","a","a"
