"analyte","correlation","p_value"
"a7",0.229,0.05
"a12",0.233,0.046
"a14",0.233,0.046
"a15",0.256,0.028
"a17",0.233,0.046
"a18",0.233,0.046
"a19",0.229,0.05
"a63",0.233,0.046
"a74",0.261,0.025
"a81",0.254,0.029
"a120",0.259,0.026
"a125",-0.282,0.015
