metric,analyte,spearman_r,spearman_p,method,level,kendall_tau,kendall_p
sod,z_C4.fluoranthenes_pyrenes,NA,NA,kendall,individual_analytes,0.193525271,0.031832962
sod,z_benzo_ghi_perylene,NA,NA,kendall,individual_analytes,0.192982362,0.032717693
ibr_combined,z_ppDDT,NA,NA,kendall,individual_analytes,-0.195177722,0.033574911
ibr_bio,z_naphthalene,NA,NA,kendall,individual_analytes,0.197762845,0.034143496
ibr_bio,z_ppDDD,NA,NA,kendall,individual_analytes,-0.187445572,0.034286417
shell,z_PCB149,NA,NA,kendall,individual_analytes,0.168989291,0.035099533
sod,z_cadmium,NA,NA,kendall,individual_analytes,-0.167569352,0.035655708
sod,z_cadmium.1,NA,NA,kendall,individual_analytes,-0.167569352,0.035655708
shell,z_acenaphthene,NA,NA,kendall,individual_analytes,0.187642207,0.035874129
height,z_copper,NA,NA,kendall,individual_analytes,-0.167165674,0.036061606
height,z_copper.1,NA,NA,kendall,individual_analytes,-0.167165674,0.036061606
shell,z_C2.dibenzothiophenes,NA,NA,kendall,individual_analytes,0.186753605,0.036884733
sod,z_C2.benzanthracenes_chrysenes,NA,NA,kendall,individual_analytes,0.172903416,0.036891459
ibr_bio,z_PCB187,NA,NA,kendall,individual_analytes,-0.18191612,0.036999671
ibr_bio,z_ppDDT,NA,NA,kendall,individual_analytes,-0.191506668,0.037053965
ibr_bio,z_C2.dibenzothiophenes,NA,NA,kendall,individual_analytes,-0.185733094,0.037927902
shell,z_C1.fluorenes,NA,NA,kendall,individual_analytes,0.185705889,0.040637663
ibr_bio,z_PCB044,NA,NA,kendall,individual_analytes,-0.181907075,0.042341622
sod,z_PCB052,NA,NA,kendall,individual_analytes,0.164972804,0.042969164
ibr_bio,z_C3.dibenzothiophenes,NA,NA,kendall,individual_analytes,-0.178591291,0.043148269
ibr_combined,z_ppDDD,NA,NA,kendall,individual_analytes,-0.178704587,0.043593195
ibr_bio,z_C3.fluorenes,NA,NA,kendall,individual_analytes,-0.167634697,0.044163045
shell,z_PCB033,NA,NA,kendall,individual_analytes,0.166144902,0.044429555
ibr_combined,z_C3.fluorenes,NA,NA,kendall,individual_analytes,-0.166834532,0.045184416
ibr_combined,z_naphthalene,NA,NA,kendall,individual_analytes,0.186,0.046330142
ibr_combined,z_PCB187,NA,NA,kendall,individual_analytes,-0.171910733,0.048718103
ibr_morph,z_C1.fluoranthenes_pyrenes,NA,NA,kendall,individual_analytes,0.157094375,0.049295874
shell,z_fluorene,NA,NA,kendall,individual_analytes,0.171599802,0.049302111
