"","correlation.site_number","correlation.p450","correlation.SOD","correlation.condition_factor","correlation.avg_thickness","p_values.site_number","p_values.p450","p_values.SOD","p_values.condition_factor","p_values.avg_thickness","region"
"site_number",1,0.133091130126733,-0.0230366745243642,0.103182730919074,-0.019385525793939,NA,0.200967929908114,0.825567680063536,0.322343722908432,0.852874291907123,"South"
"p450",0.133091130126733,1,-0.238568868964751,0.0637215587416639,0.0306683300330169,0.200967929908114,NA,0.02057981343849,0.541757263954404,0.769192642796428,"South"
"SOD",-0.0230366745243642,-0.238568868964751,1,-0.0861797383560874,0.099515091586991,0.825567680063536,0.02057981343849,NA,0.408859625069629,0.339933485367474,"South"
"condition_factor",0.103182730919074,0.0637215587416639,-0.0861797383560874,1,0.112437350008264,0.322343722908432,0.541757263954404,0.408859625069629,NA,0.280605344561821,"South"
"avg_thickness",-0.019385525793939,0.0306683300330169,0.099515091586991,0.112437350008264,1,0.852874291907123,0.769192642796428,0.339933485367474,0.280605344561821,NA,"South"
