"","metric","statistic","p_value","nsim","observed_i","p_adj_bh"
"1","p450",0.227751018931665,0,999,0.227751018931665,0
"2","chlordane_index",0.520259146645921,0,999,0.520259146645921,0
"3","ddt_index",0.471722841851698,0,999,0.471722841851698,0
"4","hch_index",0.257868409596979,0,999,0.257868409596979,0
"5","pah_hmw_index",0.276470586204843,0,999,0.276470586204843,0
"6","pbde_index",0.346456791239801,0,999,0.346456791239801,0
"7","pcb_index",0.4233705342799,0,999,0.4233705342799,0
"8","pesticide_index",0.217681153805585,0,999,0.217681153805585,0
"9","total_con_index",0.322064812870607,0.002,999,0.322064812870607,0.00422222222222223
