,metric,site_number,site_name,reporting_area,latitude,longitude,local_i,e_i,var_i,z_i,p_value,lag_x,quad,sig,p_adj_bh,sig_bh
78,pah_hmw_index,18,Shilshole Bay,10,47.671678,-122.406663,1.172462735,-0.011168287,0.081800124,4.138465687,3.50E-05,37.19408862,HH,TRUE,0.000646827,TRUE
76,pah_hmw_index,16,"Salmon Bay, Commodore Park",10,47.6663,-122.4018,0.226420739,0.000816414,0.003061235,4.077548165,4.55E-05,38.98001177,HH,TRUE,0.000673594,TRUE
79,pah_hmw_index,15,"Smith Cove, Terminal 91",10,47.63237,-122.37869,5.149537729,-0.125774047,1.7491586,3.988719875,6.64E-05,34.799021,HH,TRUE,0.000819313,TRUE
101,pbde_index,46,Thea Foss Waterway,11,47.259189,-122.434689,1.056995959,-0.013549054,0.060521669,4.351605189,1.35E-05,6.368349725,HH,TRUE,0.001000069,TRUE
112,pesticide_index,17,"Seattle Aquarium, Pier 59",10,47.607,-122.342,0.659465797,0.006475417,0.025911818,4.056559399,4.98E-05,3.823333026,HH,TRUE,0.001228422,TRUE
92,pbde_index,42,Blair Waterway Two,11,47.2632444,-122.385731,1.981401228,0.002408193,0.24568996,3.992551812,6.54E-05,6.092502069,HH,TRUE,0.00126469,TRUE
93,pbde_index,54,Browns Point Lighthouse,11,47.30515,-122.44441,-1.006963304,-0.005729678,0.058442833,-4.141615697,3.45E-05,6.269285209,LH,TRUE,0.00126469,TRUE
95,pbde_index,48,"Commencement Bay, Dick Gilmur Launch",11,47.292549,-122.412175,3.501937603,-0.114637546,0.824917601,3.98191705,6.84E-05,5.524218899,HH,TRUE,0.00126469,TRUE
96,pbde_index,49,"Commencement Bay, Milwaukee Waterway",11,47.2694,-122.4243,1.931297555,-0.013761415,0.251277966,3.880213017,0.000104365,6.108442584,HH,TRUE,0.001544602,TRUE
94,pbde_index,45,Commencement Bay Skookum,11,47.29,-122.41,2.494335735,-0.015920093,0.434079555,3.810073191,0.000138926,5.921140344,HH,TRUE,0.001713416,TRUE
73,pah_hmw_index,19,Elliot Bay Myrtle Edwards,10,47.61862,-122.36108,6.239543558,-0.338292407,3.099719675,3.736128708,0.000186875,29.6447867,HH,TRUE,0.001975536,TRUE
114,pesticide_index,15,"Smith Cove, Terminal 91",10,47.63237,-122.37869,4.755984083,-0.76427492,2.042662255,3.862434901,0.000112262,1.746240898,HH,TRUE,0.002076856,TRUE
113,pesticide_index,18,Shilshole Bay,10,47.671678,-122.406663,1.847292074,-0.023072845,0.246147747,3.769887716,0.000163321,3.260029511,HH,TRUE,0.002417151,TRUE
40,ddt_index,41,Blair Waterway,11,47.27568,-122.4173,1.270974086,0.007042503,0.115739018,3.715212589,0.000203033,9.517199865,HH,TRUE,0.002544771,TRUE
41,ddt_index,42,Blair Waterway Two,11,47.2632444,-122.385731,2.404843594,-0.037207228,0.433008191,3.711134051,0.000206333,8.918532627,HH,TRUE,0.002544771,TRUE
45,ddt_index,49,"Commencement Bay, Milwaukee Waterway",11,47.2694,-122.4243,0.304944914,0.001023105,0.005587719,4.065786537,4.79E-05,9.94600101,HH,TRUE,0.002544771,TRUE
48,ddt_index,14,"Elliott Bay, Harbor Island, Pier 17",10,47.58766,-122.35065,1.077491567,-0.006669386,0.085247887,3.71323086,0.00020463,9.392436403,HH,TRUE,0.002544771,TRUE
51,ddt_index,17,"Seattle Aquarium, Pier 59",10,47.607,-122.342,0.574302045,0.001707296,0.02117373,3.93503566,8.32E-05,9.624654868,HH,TRUE,0.002544771,TRUE
54,ddt_index,46,Thea Foss Waterway,11,47.259189,-122.434689,0.591212265,0.004553674,0.023322097,3.841507027,0.000122281,9.824715083,HH,TRUE,0.002544771,TRUE
119,total_con_index,16,"Salmon Bay, Commodore Park",10,47.6663,-122.4018,1.270262793,-0.016041701,0.123267665,3.663694081,0.000248604,145.6273837,HH,TRUE,0.003086401,TRUE
122,total_con_index,15,"Smith Cove, Terminal 91",10,47.63237,-122.37869,4.806063419,-0.10025469,1.795037299,3.662005265,0.000250249,141.9041918,HH,TRUE,0.003086401,TRUE
47,ddt_index,19,Elliot Bay Myrtle Edwards,10,47.61862,-122.36108,2.337869491,-0.047522525,0.451010844,3.551945304,0.000382394,8.678404073,HH,TRUE,0.004042454,TRUE
57,hch_index,16,"Salmon Bay, Commodore Park",10,47.6663,-122.4018,5.74574314,-0.373727479,3.012271533,3.525874056,0.000422088,3.068822638,HH,TRUE,0.005205748,TRUE
32,chlordane_index,21,Des Moines Marina,11,47.40301418,-122.3305538,0.598718385,0.006612539,0.030625175,3.383452312,0.000715806,5.282503657,HH,TRUE,0.005916717,TRUE
34,chlordane_index,14,"Elliott Bay, Harbor Island, Pier 17",10,47.58766,-122.35065,-0.57710468,-0.002271061,0.028889301,-3.382000292,0.000719601,5.064117326,LH,TRUE,0.005916717,TRUE
38,chlordane_index,17,"Seattle Aquarium, Pier 59",10,47.607,-122.342,-0.57710468,-0.004411832,0.029674654,-3.32451984,0.000885709,5.064117326,LH,TRUE,0.006554249,TRUE
121,total_con_index,18,Shilshole Bay,10,47.671678,-122.406663,1.939735535,-0.025791472,0.329801203,3.422574401,0.000620311,140.8466488,HH,TRUE,0.006557575,TRUE
69,pah_lmw_index,13,Arroyo Beach,11,47.50161,-122.38593,-0.389790156,-0.00412665,0.009736181,-3.90853696,9.29E-05,37.81283653,LH,TRUE,0.006871399,TRUE
80,pah_add_index,13,Arroyo Beach,11,47.50161,-122.38593,0.013333857,0.000173573,1.14E-05,3.895139182,9.81E-05,17.75099973,HH,TRUE,0.007262535,TRUE
111,pesticide_index,16,"Salmon Bay, Commodore Park",10,47.6663,-122.4018,1.970846081,0.010699938,0.340001994,3.361613044,0.000774886,3.231864335,HH,TRUE,0.009556931,TRUE
42,ddt_index,54,Browns Point Lighthouse,11,47.30515,-122.44441,0.506190878,-0.004762823,0.024337554,3.275239688,0.001055724,8.441066738,HH,TRUE,0.009765443,TRUE
44,ddt_index,48,"Commencement Bay, Dick Gilmur Launch",11,47.292549,-122.412175,3.785311777,-0.116321306,1.478122404,3.209158927,0.001331239,7.872298107,HH,TRUE,0.010945742,TRUE
43,ddt_index,45,Commencement Bay Skookum,11,47.29,-122.41,4.105415451,-0.158644306,1.969192547,3.038639582,0.00237649,7.480603702,HH,TRUE,0.016351803,TRUE
50,ddt_index,16,"Salmon Bay, Commodore Park",10,47.6663,-122.4018,2.038536528,-0.041071618,0.470489813,3.031840832,0.002430673,7.883184055,HH,TRUE,0.016351803,TRUE
52,ddt_index,18,Shilshole Bay,10,47.671678,-122.406663,2.362090621,-0.097750477,0.679794105,2.983447199,0.002850212,7.618081057,HH,TRUE,0.017576308,TRUE
91,pbde_index,41,Blair Waterway,11,47.27568,-122.4173,4.889165248,-0.25996588,2.762798894,3.097842367,0.001949351,4.574882576,HH,TRUE,0.020607423,TRUE
53,ddt_index,15,"Smith Cove, Terminal 91",10,47.63237,-122.37869,3.961727157,-0.166926727,2.080143134,2.862607907,0.004201702,7.148719775,HH,TRUE,0.023917378,TRUE
46,ddt_index,21,Des Moines Marina,11,47.40301418,-122.3305538,2.589423774,-0.072643749,0.895931367,2.812429834,0.004916875,7.241412723,HH,TRUE,0.025989196,TRUE
102,pcb_index,13,Arroyo Beach,11,47.50161,-122.38593,-0.489979916,0.000526909,0.027530079,-2.956251159,0.003114034,40.85952169,LH,TRUE,0.032919788,TRUE
100,pbde_index,17,"Seattle Aquarium, Pier 59",10,47.607,-122.342,0.417600633,-0.006176738,0.02133911,2.901012578,0.003719589,4.800991205,HH,TRUE,0.034406203,TRUE
81,pah_add_index,20,Miller Creek,11,47.4436,-122.360316,-0.390832067,-0.003390031,0.016729168,-2.995501678,0.002739938,14.54292507,LH,TRUE,0.067585136,FALSE
