site_name,reporting_area,latitude,longitude,p450,sod,shell,ci1,ci2,ci3,ibr1bio,ibr1morph,ibr1overall,1_7_dimethylphenanthrene,2_3_5_trimethylnaphthalene,2_6_dimethylnaphthalene,2_methylnaphthalene,3_methylphenanthrene,9_methylphenanthrene,acenaphthene,acenaphthylene,aldrin,alpha_chlordane,alpha_hexachlorocyclohexane,anthracene,BDE028,BDE047,BDE049,BDE066,BDE085,BDE099,BDE100,BDE153,BDE154,BDE155,BDE183,benz_a_anthracene,benzo_a_pyrene,benzo_b_fluoranthene,benzo_e_pyrene,benzo_ghi_perylene,benzo_k_fluoranthene,beta_chlordane,beta_hexachlorocyclohexane,Br5DE04,Br5DE05,Br6DE01,Br7DE01,C1_benzanthracenes_chrysenes,C1_dibenzothiophenes,C1_fluoranthenes_pyrenes,C1_fluorenes,C1_naphthalenes,C1_phenanthrenes_anthracenes,C2_benzanthracenes_chrysenes,C2_dibenzothiophenes,C2_fluoranthenes_pyrenes,C2_fluorenes,C2_naphthalenes,C2_phenanthrenes_anthracenes,C3_benzanthracenes_chrysenes,C3_dibenzothiophenes,C3_fluoranthenes_pyrenes,C3_fluorenes,C3_naphthalenes,C3_phenanthrenes_anthracenes,C4_benzanthracenes_chrysenes,C4_dibenzothiophenes,C4_fluoranthenes_pyrenes,C4_naphthalenes,C4_phenanthrenes_anthracenes,chrysene,cis_nonachlor,dibenz_ah_anthracene,dibenzothiophene,dieldrin,Endosulfan_1,fluoranthene,fluorene,gamma_hexachlorocyclohexane,heptachlor,heptachlor_epoxide,hexachlorobenzene,indeno_123cd_pyrene,mirex,naphthalene,nonachlor3,opDDD,opDDE,opDDT,Oxychlordane,PCB011,PCB017,PCB018,PCB028,PCB031,PCB033,PCB044,PCB049,PCB052,PCB066,PCB070,PCB074,PCB082,PCB087,PCB095,PCB099,PCB101,PCB105,PCB110,PCB118,PCB128,PCB138,PCB149,PCB151,PCB153,PCB156,PCB158,PCB170,PCB171,PCB177,PCB180,PCB183,PCB187,PCB191,PCB194,PCB195,PCB198,PCB199,PCB205,PCB206,PCB208,PCB209,perylene,phenanthrene,ppDDD,ppDDE,ppDDT,pyrene,Retene,trans_Nonachlor
Chimacum Creek delta,9,48.04906,-122.7724,0.315791212,-1.433637682,6.587433482,-0.821031266,-3.691931181,-0.947900233,-0.558923235,0.258701006,-0.150111115,-3.868325359,-3.805933014,-3.868325359,-4.554641148,4.117894737,-3.868325359,-3.868325359,-3.868325359,-1.372631579,-1.372631579,-1.310239234,-3.868325359,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.372631579,-1.559808612,-1.559808612,-1.24784689,3.493971292,-3.119617225,3.182009569,-3.05722488,-3.05722488,3.993110048,-1.559808612,-0.873492823,-1.559808612,-1.559808612,-1.559808612,-1.24784689,-2.49569378,-3.868325359,5.864880383,-3.868325359,-4.554641148,13.10239234,-2.49569378,-3.868325359,-3.868325359,-3.868325359,8.111004785,22.46124402,-2.49569378,-3.868325359,-3.868325359,-3.868325359,11.23062201,12.4784689,-2.49569378,-3.868325359,-3.868325359,6.863157895,12.4784689,8.111004785,-1.559808612,-3.119617225,-3.805933014,-1.24784689,-1.372631579,17.46985646,-3.805933014,-1.310239234,-1.372631579,-1.435023923,-1.559808612,-3.119617225,-1.559808612,6.863157895,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,1.996555024,1.871770335,1.996555024,1.622200957,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,1.996555024,-1.559808612,2.308516746,2.558086124,-1.559808612,3.306794258,1.622200957,-1.559808612,3.05722488,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.497416268,-1.559808612,-1.559808612,3.182009569,18.71770335,-1.559808612,-1.310239234,-1.372631579,11.85454545,21.21339713,-1.559808612
"Chuckanut, Clark's Point",7,48.68975,-122.50434,0.405480404,-0.185355422,2.684794318,0.220987855,-0.727606875,-0.430863742,0.110062491,-0.539175537,-0.214556523,3.55765586,-3.098603491,-3.098603491,-3.844563591,4.074089776,-3.098603491,-3.155985037,-3.098603491,-1.147630923,-1.147630923,-1.090249377,-3.155985037,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.147630923,-1.319775561,-1.319775561,-1.090249377,6.311970075,-2.467406484,4.533142145,-2.467406484,-2.410024938,5.393865337,-1.319775561,-0.7459601,-1.319775561,-1.319775561,-1.319775561,-1.090249377,3.55765586,-3.098603491,6.885785536,-3.098603491,-3.844563591,14.34538653,-2.008354115,-3.098603491,4.188852868,-3.098603491,8.60723192,20.65735661,-2.008354115,-3.098603491,-3.098603491,3.155985037,10.90249377,13.19775561,-2.008354115,-3.098603491,-3.098603491,6.885785536,24.10024938,12.05012469,-1.319775561,-2.467406484,-3.098603491,-1.03286783,-1.147630923,17.7882793,-3.098603491,-1.090249377,-1.147630923,-1.205012469,-1.319775561,-2.467406484,-1.319775561,7.459600998,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,1.836209476,1.721446384,1.893591022,1.434538653,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,1.721446384,1.4919202,2.008354115,2.467406484,-1.319775561,3.27074813,1.377157107,-1.319775561,3.155985037,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,2.467406484,22.37880299,-1.319775561,3.098603491,1.319775561,10.3286783,51.64339152,-1.319775561
Commencement Bay Skookum,11,47.29,-122.41,3.237778149,-0.471905248,3.293716741,-0.481876294,-1.967233403,-0.775554736,1.38293645,-1.680177835,-0.148620692,12.53005873,-5.605552589,-5.605552589,-5.539604912,10.5516284,7.913721303,7.913721303,-5.671500267,-1.450848905,1.978430326,-1.384901228,7.913721303,-1.648691938,6.594767752,-1.648691938,-1.648691938,-1.648691938,5.407709557,-1.648691938,-1.450848905,-1.648691938,-1.582744261,-1.31895355,31.65488521,-5.671500267,17.14639616,17.80587293,-5.605552589,19.12482648,1.846534971,-0.923267485,-1.648691938,-1.648691938,-1.648691938,-1.31895355,21.76273358,-5.605552589,32.31436199,6.001238655,-5.539604912,47.48232782,14.50848905,7.913721303,17.14639616,9.232674853,18.46534971,65.94767752,7.254244527,9.892151628,13.84901228,12.53005873,32.31436199,65.94767752,-3.627122264,6.001238655,-5.605552589,23.74116391,46.82285104,44.84442072,-1.648691938,-5.671500267,-5.539604912,1.648691938,-1.450848905,85.73198078,7.254244527,-1.384901228,-1.450848905,-1.516796583,-1.582744261,-5.671500267,-1.648691938,23.74116391,-1.648691938,2.110325681,-1.648691938,2.703854778,-1.648691938,-1.582744261,-1.582744261,2.374116391,2.769802456,2.967645489,1.648691938,2.440064068,1.648691938,3.495226909,2.506011746,3.627122264,-1.648691938,-1.582744261,1.912482648,3.363331554,2.769802456,5.473657234,2.703854778,5.341761879,5.209866524,-1.648691938,7.913721303,4.220651361,-1.582744261,7.254244527,-1.648691938,-1.648691938,-1.582744261,-1.648691938,-1.582744261,1.714639616,-1.582744261,2.242221036,-1.582744261,-1.582744261,-1.582744261,-1.582744261,-1.582744261,-1.582744261,-1.582744261,-1.582744261,-1.582744261,-5.671500267,57.37447944,4.550389749,9.892151628,8.573198078,48.80128137,49.46075814,1.648691938
"Commencement Bay, Dick Gilmur Launch",11,47.292549,-122.412175,1.228157598,0.189882011,5.009770841,0.649151823,0.242535625,-0.904813859,0.709019804,0.437853998,0.573436901,9.765919811,-4.752747642,-4.752747642,6.510613208,11.06804245,8.46379717,8.46379717,-4.752747642,-1.041698113,1.497441038,-0.976591981,9.765919811,-1.171910377,5.599127358,-1.171910377,-1.171910377,-1.171910377,4.362110849,1.171910377,-1.041698113,-1.171910377,-1.171910377,-0.976591981,20.18290094,-4.622535377,11.06804245,18.22971698,-4.557429245,13.02122642,1.692759434,-0.651061321,-1.171910377,-1.171910377,-1.171910377,-0.976591981,16.27653302,-4.752747642,29.29775943,5.403808962,6.510613208,42.97004717,12.37016509,7.812735849,16.27653302,9.765919811,20.83396226,53.3870283,6.445507075,11.06804245,12.37016509,16.27653302,29.29775943,52.73596698,-3.190200472,7.812735849,5.33870283,19.53183962,39.06367925,33.85518868,-1.171910377,-4.622535377,-4.687641509,1.237016509,-1.041698113,91.14858491,8.46379717,-0.976591981,-1.041698113,-1.106804245,-1.171910377,-4.622535377,-1.171910377,35.15731132,-1.171910377,2.083396226,-1.171910377,2.408926887,-1.171910377,-1.171910377,1.432334906,3.906367925,3.059988208,3.450625,2.343820755,2.148502358,1.367228774,3.12509434,2.539139151,4.882959906,1.432334906,-1.171910377,1.822971698,2.864669811,2.474033019,5.33870283,2.278714623,4.622535377,4.752747642,-1.171910377,6.510613208,3.645943396,-1.171910377,6.054870283,-1.171910377,-1.171910377,-1.171910377,-1.171910377,-1.171910377,1.237016509,-1.171910377,1.953183962,-1.171910377,-1.171910377,-1.171910377,-1.171910377,-1.171910377,-1.171910377,-1.171910377,-1.171910377,-1.171910377,-4.622535377,59.89764151,5.989764151,7.812735849,6.380400943,57.29339623,33.20412736,1.56254717
"Commencement Bay, Milwaukee Waterway",11,47.2694,-122.4243,4.598001335,-0.593419005,4.755130555,1.351709045,-1.624988688,-0.706616537,2.002291165,-1.376780574,0.312755295,10.09568733,-4.307493261,-4.307493261,5.451671159,8.749595687,5.518975741,6.124716981,-4.307493261,-1.076873315,2.221051213,-1.076873315,4.913234501,-1.278787062,5.990107817,-1.278787062,-1.278787062,-1.278787062,4.105579515,-1.278787062,-1.144177898,-1.278787062,-1.278787062,-1.009568733,12.78787062,-4.509407008,7.403504043,8.749595687,-4.442102426,7.403504043,2.490269542,-0.673045822,-1.278787062,-1.278787062,-1.278787062,-1.009568733,14.80700809,-4.307493261,19.51832884,4.644016173,5.451671159,34.32533693,13.46091644,6.730458221,11.44177898,8.076549865,20.86442049,46.44016173,6.730458221,8.749595687,10.76873315,16.15309973,28.94097035,49.80539084,-3.096010782,8.749595687,-4.307493261,21.53746631,41.72884097,23.55660377,-1.278787062,-4.442102426,-4.240188679,-1.009568733,-1.144177898,46.44016173,5.990107817,-1.076873315,-1.144177898,-1.144177898,-1.278787062,-4.509407008,-1.278787062,29.61401617,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,2.557574124,2.894097035,3.432533693,2.086442049,1.548005391,-1.278787062,2.355660377,1.548005391,4.374797844,-1.278787062,-1.278787062,-1.278787062,1.884528302,1.749919137,3.163315364,1.951832884,3.230619946,3.567142857,-1.278787062,4.442102426,2.355660377,-1.278787062,4.038274933,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.21148248,-1.278787062,-1.278787062,-4.509407008,39.03665768,3.028706199,3.163315364,1.81722372,30.28706199,49.13234501,1.884528302
Des Moines Marina,11,47.40301418,-122.3305538,5.986919405,-0.509693881,8.607948795,-0.798011698,-2.735262882,-1.464936724,2.738612763,0.088898494,1.413755628,67.37816674,24.50115154,59.41529249,34.91414095,263.3873791,208.2597881,257.2620912,5.083988945,-1.102551819,-1.102551819,-1.102551819,287.8885306,-1.286310456,3.123896822,-1.286310456,-1.286310456,-1.286310456,1.960092123,-1.286310456,-1.102551819,-1.286310456,-1.286310456,-1.041298941,673.7816674,165.3827729,483.897743,349.1414095,34.91414095,343.0161216,-1.286310456,-0.673781667,-1.286310456,-1.286310456,-1.286310456,-1.041298941,202.1345002,85.7540304,673.7816674,104.1298941,61.25287886,918.7931829,73.50345463,91.87931829,202.1345002,98.00460617,179.4709351,673.7816674,28.78885306,67.37816674,104.1298941,110.2551819,336.8908337,361.3919853,7.350345463,34.30161216,50.22736066,196.0092123,140.8816214,735.0345463,-1.286310456,18.37586366,140.8816214,1.102551819,-1.102551819,2817.632427,367.5172731,-1.041298941,-1.102551819,-1.163804698,-1.286310456,39.20184247,-1.286310456,27.56379549,-1.286310456,2.633873791,-1.286310456,2.756379549,-1.286310456,-1.286310456,-1.286310456,2.082597881,1.960092123,2.266356518,1.531321971,-1.286310456,-1.286310456,1.776333487,1.347563335,1.776333487,-1.286310456,-1.286310456,1.286310456,1.837586366,1.837586366,3.307655458,1.898839245,3.675172731,3.858931368,-1.286310456,5.941529249,2.69512667,-1.286310456,4.777724551,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.225057577,-1.286310456,-1.286310456,60.64035007,1776.333487,10.41298941,4.28770152,-1.163804698,1653.827729,39.81437126,1.347563335
Discovery Bay,6,48.064957,-122.857524,1.524201807,-0.437301993,4.151743791,0.293115835,-1.104884514,0.258518245,0.543449907,0.508068461,0.525759184,6.119199122,-1.929901262,-1.929901262,-2.118184312,5.177783873,2.306467361,-1.976972024,-1.929901262,-0.800202962,-0.800202962,-0.7531322,2.541821174,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.800202962,-0.894344487,-0.894344487,-0.706061437,9.414152496,-1.553335162,7.060614372,2.588891936,-1.506264399,7.060614372,-0.894344487,-0.470707625,-0.894344487,-0.894344487,-0.894344487,-0.706061437,3.200811849,-1.929901262,8.472737246,-1.929901262,-2.118184312,17.41618212,-1.223839824,-1.929901262,3.906873286,2.024042787,5.648491498,24.00608886,-1.223839824,-1.929901262,2.071113549,2.400608886,7.531321997,16.47476687,-1.223839824,-1.929901262,-1.929901262,4.377580911,13.17981349,11.296983,-0.894344487,-1.506264399,-1.929901262,-0.706061437,-0.800202962,28.24245749,2.212325837,-0.7531322,-0.800202962,-0.800202962,-0.894344487,-1.553335162,-0.894344487,2.730104224,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,1.082627537,1.082627537,1.176769062,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,1.1296983,-0.894344487,1.270910587,1.506264399,-0.894344487,1.882830499,0.894344487,-0.894344487,1.788688974,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,2.071113549,33.89094899,-0.894344487,1.035556775,-0.800202962,14.59193637,24.47679649,-0.894344487
Donkey Creek Delta,11,47.33775,-122.59014,1.38683775,-1.353600889,2.823185778,0.670636754,0.431174445,-0.947900233,0.016618431,-0.417600907,-0.200491238,5.620293765,-3.438297362,-3.438297362,4.099508393,6.612110312,3.768902878,4.297871703,-3.438297362,-0.925695444,-0.925695444,-0.859574341,4.562356115,-1.05793765,1.520785372,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-0.925695444,-1.05793765,-1.05793765,-0.859574341,16.53027578,4.694598321,19.83633094,12.56300959,5.355809353,25.78723022,-1.05793765,-0.575253597,-1.05793765,-1.05793765,-1.05793765,-0.859574341,13.22422062,-3.438297362,19.1751199,-3.438297362,4.099508393,23.80359712,8.595743405,-3.438297362,9.918165468,4.892961631,11.24058753,31.07691847,4.892961631,4.760719424,7.934532374,9.256954436,14.54664269,27.77086331,-2.1158753,4.297871703,4.297871703,7.273321343,21.81996403,33.06055156,-1.05793765,-3.17381295,-3.438297362,-0.793453237,-0.925695444,52.89688249,4.099508393,-0.859574341,-0.925695444,-0.991816547,-1.05793765,4.562356115,-1.05793765,24.46480815,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,1.653027578,2.181996403,2.248117506,1.454664269,1.256300959,1.124058753,2.777086331,1.91751199,2.248117506,-1.05793765,-1.05793765,1.586906475,3.17381295,3.636660671,6.612110312,2.446480815,4.892961631,5.686414868,1.586906475,9.918165468,5.818657074,1.586906475,10.5793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,1.05793765,1.91751199,1.388543165,3.306055156,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,4.959082734,35.70539568,-1.05793765,2.578723022,-0.925695444,35.04418465,19.1751199,-1.05793765
Eagle Harbor Dr,10,47.61889,-122.5275,-0.400412276,0.002246529,6.338328855,6.691021156,-0.107793611,0.086172749,-0.199082874,-1.371835913,-0.785459394,8.937005478,-4.262264151,-4.331010347,4.468502739,12.37431528,6.874619598,6.393396226,-4.331010347,-1.306177724,-1.306177724,-1.237431528,6.874619598,-1.443670116,2.131132075,-1.512416312,-1.512416312,-1.512416312,-1.443670116,-1.512416312,-1.306177724,-1.512416312,-1.443670116,-1.168685332,33.68563603,15.12416312,61.87157638,43.31010347,11.68685332,75.62081558,-1.443670116,-0.824954352,-1.512416312,-1.512416312,-1.512416312,-1.168685332,28.18594035,-4.331010347,39.18533171,-4.331010347,4.468502739,40.56025563,17.186549,8.249543518,21.99878271,8.249543518,11.68685332,48.12233719,8.249543518,10.99939136,18.56147292,14.43670116,17.186549,48.12233719,-2.681101643,6.874619598,8.937005478,8.937005478,27.49847839,59.12172855,-1.512416312,-3.987279367,-4.262264151,-1.168685332,-1.306177724,109.9939136,6.805873402,-1.237431528,-1.306177724,-1.37492392,-1.443670116,13.06177724,-1.443670116,28.87340231,-1.443670116,-1.512416312,-1.443670116,-1.443670116,-1.512416312,-1.443670116,-1.443670116,1.856147292,2.543609251,2.612355447,1.649908704,-1.443670116,-1.443670116,2.956086427,1.993639684,2.406116859,-1.443670116,-1.443670116,1.787401096,2.956086427,3.574802191,6.393396226,2.818594035,5.499695679,6.393396226,1.924893488,9.624467438,4.743487523,-1.443670116,8.937005478,-1.443670116,-1.443670116,-1.443670116,-1.443670116,-1.443670116,1.649908704,-1.443670116,2.749847839,-1.443670116,-1.443670116,-1.443670116,-1.443670116,-1.443670116,-1.443670116,-1.443670116,-1.443670116,-1.443670116,8.249543518,57.74680463,1.581162508,3.024832623,-1.306177724,75.62081558,18.56147292,-1.443670116
"Eastsound, Fishing Bay",7,48.69368,-122.90985,0.655722253,-0.65197965,-3.127646989,-0.664498202,-1.024039306,-1.378763975,0.001871301,-2.883654137,-1.440891418,7.163920923,-3.692174629,-3.692174629,-7.163920923,9.368204283,4.133031301,-3.747281713,-3.747281713,-1.157248764,-1.157248764,-1.157248764,4.573887974,-1.322570016,1.3776771,-1.3776771,-1.3776771,-1.3776771,1.598105437,-1.3776771,-1.157248764,-1.3776771,-1.322570016,-1.10214168,20.38962109,-2.755354201,16.53212521,11.0214168,-2.700247117,21.49176277,-1.322570016,-0.716392092,-1.3776771,-1.3776771,-1.3776771,-1.10214168,9.919275124,-3.692174629,19.28747941,-3.692174629,-7.714991763,29.75782537,5.180065898,-3.692174629,9.368204283,-3.692174629,9.368204283,38.02388797,-2.204283361,4.022817133,6.612850082,5.124958814,12.12355848,30.30889621,-2.204283361,4.684102142,-3.692174629,7.714991763,21.49176277,35.26853377,-1.3776771,-2.755354201,-3.692174629,-1.047034596,-1.157248764,77.14991763,3.802388797,-1.10214168,-1.157248764,-1.212355848,-1.322570016,-2.755354201,-1.322570016,12.12355848,-1.322570016,-1.3776771,-1.322570016,-1.322570016,-1.3776771,-1.322570016,-1.322570016,1.598105437,1.542998353,1.653212521,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,1.708319605,-1.322570016,1.873640857,2.204283361,-1.322570016,2.755354201,-1.322570016,-1.322570016,2.590032949,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-2.755354201,60.61779242,-1.322570016,1.3776771,-1.212355848,39.67710049,22.59390445,-1.322570016
Edmonds Ferry,9,47.81407,-122.3825,5.382067413,-1.661308325,1.85444556,3.030909813,-0.040422605,-0.086172749,1.860379545,-1.04223649,0.409071527,8.184766355,-4.209308411,-4.209308411,-4.033920561,7.600140187,4.501621495,-4.267771028,-4.267771028,-1.052327103,-1.052327103,-0.993864486,6.43088785,-1.227714953,2.981593458,-1.227714953,-1.227714953,-1.227714953,2.280042056,-1.227714953,-1.052327103,-1.227714953,-1.169252336,-0.993864486,23.38504673,4.326233645,16.36953271,11.1078972,-4.150845794,14.61565421,-1.227714953,-0.643088785,-1.227714953,-1.227714953,-1.227714953,-0.993864486,9.354018692,-4.209308411,22.80042056,-4.209308411,-4.033920561,30.40056075,5.203172897,-4.209308411,8.769392523,4.793934579,11.1078972,39.16995327,-2.689280374,-4.209308411,6.43088785,5.437023364,19.87728972,26.30817757,-2.689280374,-4.209308411,-4.209308411,12.27714953,32.15443925,28.64668224,-1.227714953,-4.150845794,-4.209308411,-0.935401869,-1.052327103,70.15514019,5.14471028,-0.993864486,-1.052327103,-1.11078972,-1.169252336,-4.209308411,-1.227714953,22.21579439,-1.169252336,-1.227714953,-1.227714953,-1.227714953,-1.227714953,-1.169252336,-1.169252336,1.987728972,2.104654206,2.221579439,1.461565421,-1.169252336,-1.169252336,1.636953271,-1.169252336,1.636953271,-1.227714953,-1.169252336,-1.169252336,1.695415888,1.28617757,2.806205607,1.695415888,2.981593458,3.215443925,-1.227714953,4.560084112,2.338504673,-1.169252336,4.384696262,-1.169252336,-1.227714953,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,4.443158879,43.26233645,-1.169252336,2.280042056,-1.052327103,44.43158879,55.53948598,-1.169252336
Edmonds Marina,9,47.8111,-122.388,13.10968643,0.169093233,3.515143077,0.469599192,-0.377277639,-1.034072981,6.639389832,-1.376167611,2.631611111,8.199889197,-3.338526316,-3.397096953,-3.279955679,10.54271468,5.857063712,4.27565651,-3.397096953,-0.81998892,-0.81998892,-0.81998892,9.95700831,-0.937130194,4.27565651,-0.937130194,-0.995700831,-0.937130194,3.689950139,0.995700831,-0.81998892,-0.937130194,-0.937130194,-0.761418283,33.38526316,8.199889197,22.25684211,14.64265928,3.338526316,23.42825485,-0.937130194,0.585706371,-0.937130194,-0.937130194,-0.937130194,-0.761418283,14.05695291,-3.397096953,31.04243767,4.158515235,-3.279955679,38.07091413,7.028476454,3.689950139,12.2998338,5.857063712,11.12842105,42.17085873,-2.049972299,3.86566205,8.785595568,5.857063712,17.57119114,35.14238227,-2.049972299,-3.397096953,3.807091413,9.95700831,24.59966759,42.17085873,-0.937130194,-3.221385042,-3.338526316,-0.761418283,-0.81998892,93.71301939,6.442770083,-0.81998892,-0.81998892,-0.878559557,-0.937130194,-3.221385042,-0.937130194,21.67113573,-0.937130194,-0.995700831,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,1.815689751,1.991401662,2.108542936,1.347124654,1.054271468,-0.937130194,1.581407202,1.171412742,1.698548476,-0.937130194,-0.937130194,1.171412742,1.757119114,1.405695291,2.752819945,1.698548476,2.987102493,3.221385042,-0.937130194,4.627080332,2.518537396,-0.937130194,4.68565097,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,1.112842105,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,5.212786704,64.42770083,1.112842105,2.459966759,-0.878559557,49.19933518,28.69961219,-0.937130194
Eld Inlet,13,47.074603,-123.003527,6.767895819,-0.366385437,2.241941647,0.199502924,0.633287466,0.81864111,3.20075519,0.777062212,1.988908701,4.343577465,-2.252225352,-2.252225352,-2.573971831,3.91458216,-2.252225352,-2.252225352,-2.252225352,-1.072488263,-1.072488263,-1.01886385,-2.252225352,-1.233361502,-1.233361502,-1.233361502,-1.233361502,-1.233361502,-1.179737089,-1.233361502,-1.072488263,-1.233361502,-1.179737089,-0.965239437,2.466723005,-1.769605634,4.289953052,2.89571831,-1.769605634,5.147943662,-1.233361502,-0.643492958,-1.233361502,-1.233361502,-1.233361502,-0.965239437,2.949342723,-2.252225352,5.308816901,-2.252225352,-2.573971831,12.33361502,2.359474178,-2.252225352,3.700084507,2.466723005,6.971173709,18.23230047,1.823230047,-2.252225352,2.788469484,2.788469484,9.652394366,10.72488263,-1.447859155,-2.252225352,-2.252225352,5.898685446,10.72488263,7.50741784,-1.233361502,-1.769605634,-2.198600939,-0.965239437,-1.072488263,17.15981221,-2.198600939,-1.01886385,-1.072488263,-1.126112676,-1.179737089,-1.769605634,-1.233361502,3.700084507,-1.179737089,-1.233361502,-1.233361502,-1.233361502,-1.233361502,-1.179737089,-1.179737089,1.394234742,1.501483568,1.501483568,1.179737089,-1.179737089,-1.179737089,1.340610329,-1.179737089,1.286985915,-1.233361502,-1.179737089,-1.179737089,1.286985915,1.501483568,2.73484507,1.447859155,2.359474178,2.949342723,-1.233361502,4.450826291,2.091352113,-1.179737089,4.236328638,-1.179737089,-1.233361502,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,5.201568075,12.86985915,-1.179737089,1.447859155,-1.072488263,9.652394366,18.7685446,-1.179737089
