latitude,longitude,site_name,analyte,dry_value,unit,qualifier,class
48.6793778,-122.6300583,Aiston Preserve,dieldrin,-0.852276688,ng/g,U,pesticide
48.6793778,-122.6300583,Aiston Preserve,Endosulfan_1,-0.974030501,ng/g,U,pesticide
48.6793778,-122.6300583,Aiston Preserve,fluoranthene,9.740305011,ng/g,D,hmw
48.6793778,-122.6300583,Aiston Preserve,fluorene,-3.104722222,ng/g,U,lmw
48.6793778,-122.6300583,Aiston Preserve,gamma_hexachlorocyclohexane,-0.913153595,ng/g,U,hch
48.6793778,-122.6300583,Aiston Preserve,heptachlor,-0.974030501,ng/g,U,chlordane
48.6793778,-122.6300583,Aiston Preserve,heptachlor_epoxide,-1.034907407,ng/g,U,chlordane
48.6793778,-122.6300583,Aiston Preserve,hexachlorobenzene,-1.095784314,ng/g,U,pesticide
48.6793778,-122.6300583,Aiston Preserve,indeno_123cd_pyrene,-3.104722222,ng/g,U,hmw
48.6793778,-122.6300583,Aiston Preserve,mirex,-1.095784314,ng/g,U,pesticide
48.6793778,-122.6300583,Aiston Preserve,naphthalene,15.82799564,ng/g,"U,B",lmw
48.6793778,-122.6300583,Aiston Preserve,nonachlor3,-1.095784314,ng/g,U,chlordane
48.6793778,-122.6300583,Aiston Preserve,opDDD,-1.095784314,ng/g,U,ddt
48.6793778,-122.6300583,Aiston Preserve,opDDE,-1.095784314,ng/g,U,ddt
48.6793778,-122.6300583,Aiston Preserve,opDDT,-1.095784314,ng/g,U,ddt
48.6793778,-122.6300583,Aiston Preserve,Oxychlordane,-1.095784314,ng/g,U,chlordane
48.6793778,-122.6300583,Aiston Preserve,PCB011,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB017,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB018,1.461045752,ng/g,"D,B,LOQ",pcb
48.6793778,-122.6300583,Aiston Preserve,PCB028,1.948061002,ng/g,"D,LOQ",pcb
48.6793778,-122.6300583,Aiston Preserve,PCB031,2.069814815,ng/g,"D,B,LOQ",pcb
48.6793778,-122.6300583,Aiston Preserve,PCB033,1.400168845,ng/g,"D,LOQ",pcb
48.6793778,-122.6300583,Aiston Preserve,PCB044,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB049,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB052,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB066,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB070,1.82630719,ng/g,"D,B,LOQ",pcb
48.6793778,-122.6300583,Aiston Preserve,PCB074,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB082,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB087,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB095,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB099,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB101,1.704553377,ng/g,D,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB105,1.400168845,ng/g,"D,B,LOQ",pcb
48.6793778,-122.6300583,Aiston Preserve,PCB110,2.191568627,ng/g,"D,B,LOQ",pcb
48.6793778,-122.6300583,Aiston Preserve,PCB118,2.252445534,ng/g,"D,B",pcb
48.6793778,-122.6300583,Aiston Preserve,PCB128,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB138,2.800337691,ng/g,"D,B",pcb
48.6793778,-122.6300583,Aiston Preserve,PCB149,1.339291939,ng/g,"D,LOQ",pcb
48.6793778,-122.6300583,Aiston Preserve,PCB151,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB153,2.495953159,ng/g,"D,B",pcb
48.6793778,-122.6300583,Aiston Preserve,PCB156,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB158,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB170,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB171,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB177,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB180,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB183,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB187,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB191,-1.095784314,ng/g,U,pcb
