"Comparison","Z","P.unadj","P.adj"
"1 - 2",-2.91401969592771,0.00356807394231383,0.0267605545673537
"1 - 3",-1.95889819913625,0.0501247099891106,0.150374129967332
"2 - 3",0.93760105840434,0.348449467264702,0.475158364451866
"1 - 4",-2.07005071623195,0.0384475953690641,0.19223797684532
"2 - 4",1.06982058635286,0.2847000741112,0.474500123518666
"3 - 4",0.0648434238579322,0.948298666941083,1
"1 - 5",-2.05013308070457,0.0403514460303319,0.151317922613745
"2 - 5",0.990436445858925,0.321960838795732,0.482941258193598
"3 - 5",0.0127971259233011,0.989789649489354,0.989789649489354
"4 - 5",-0.0544008223024716,0.956615823724102,1
"1 - 6",-3.44452212499811,0.000572069814174132,0.00858104721261197
"2 - 6",-0.269805699594759,0.787309737745941,0.984137172182427
"3 - 6",-1.27700228235602,0.201601441484998,0.37800270278437
"4 - 6",-1.45383438787462,0.145992227054773,0.364980567636933
"5 - 6",-1.35349315713064,0.175898134648522,0.376924574246832
