"","Aiston Preserve","Arroyo Beach","Blair Waterway","Blair Waterway #2","Brackenwood Ln","Broad Spit (Fisherman's Point)","Browns Point Lighthouse","Cap Sante","Chambers Bay Park","Cherry Point Aquatic Reserve, Conoco Phillips","Chimacum Creek delta","Chuckanut, Clark's Point","Comm Bay Skookum","Comm Bay, Dick Gilmur Launch","Comm Bay, Milwaukee Waterway","Des Moines Marina","Discovery Bay","Donkey Creek Delta","Eagle Harbor Dr","Eastsound, Fishing Bay","Edmonds Ferry","Edmonds Marina","Eld Inlet","Elliot Bay Myrtle Edwards","Elliott Bay, Harbor Island, Pier 17","Everett Harbor","Fidalgo Bay Aq Reserve, Weaverling Spit","Filucy Bay","Friday Harbor","Gig Harbor Boat Launch","Hood Canal Holly","Jamestown","Kingston Marina","Kitsap St Boat Launch","Kopachuck State Park","Lions Park","Locust Beach","Madrona Pont","Manchester, Stormwater Outfall","Maple Hollow Park","Maristone Island","Meyer's Point - Henderson Inlet","Miller Creek","Minter Bay","Mukilteo","N Avenue Park","North Camano","Oak Bay County Park","Penn Cove Reference","Pennrose Point State Park","Point Defiance Ferry","Port Angeles Yacht Club","Purdy - Dexters","Purdy, Burley Lagoon","Raft Island Park","Reach Island","Rich Passage","Rocky Point","S of Skunk Island","Salmon Bay, Commodore Park","Salmon Beach","Seattle Aquarium, Pier 59","Shilshole Bay","Silverdale, Dyes Inlet","Skiff Point","Smith Cove, Terminal 91","Squaxin Island","Suquamish Stormwater Outfall","Thea Foss Waterway","Three Tree Point","Tulalip Bay","Tulalip Reservation","West Bay Park"
"Chuckanut, Clark's Point",0.624565375302663,0.500268272425249,0.400878345498783,0.517852824184566,0.529647633358377,0.830312011044639,0.389764556962025,0.828290009250694,0.361699130434783,0.524965701219512,0.969188489764388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comm Bay Skookum",0.820941838649156,0.752715228426396,0.371038404726736,0.616134401972873,0.299161392405063,0.385857142857143,0.639459363957597,0.888078689919183,1,0.299161392405063,0.299161392405063,0.362121451104101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comm Bay, Dick Gilmur Launch",0.888109885447603,0.73128734439834,0.642493863237872,0.849270871143376,0.299161392405063,0.531409763313609,0.410625,0.978623188405797,0.824012575687005,0.975851866102347,0.508757477768795,0.63862087264151,0.383120567375887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comm Bay, Milwaukee Waterway",0.579165245901639,0.515507618283881,0.418976215098242,0.47992017167382,0.299161392405063,0.323695481335953,0.914582673885881,0.616279827798278,0.898062631357713,0.383120567375887,0.323695481335953,0.323695481335953,0.75453036437247,0.484853513971211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Des Moines Marina",0.531409763313609,0.421686734693878,0.533849375459221,0.468688729874776,0.299161392405063,0.323695481335953,0.868903225806452,0.547086402266289,0.981620571428572,0.385317482517482,0.299161392405063,0.323695481335953,0.684550964187328,0.529647633358377,0.824331168831169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Discovery Bay",0.930809543230016,0.788117874396135,0.888109885447603,0.894642225031606,0.393055970149254,0.457168344007319,0.409806896551724,0.941553413654618,0.702521809369952,0.939904435483871,0.552351738241309,0.574982917214192,0.544462697274032,0.921938353330575,0.409806896551724,0.50862987012987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Donkey Creek Delta",0.737521895929933,0.624565375302663,0.486953664700927,0.639459363957597,0.400878345498783,0.718940557601263,0.438215339233038,0.937862403885067,0.672610831937465,0.524907421576129,0.904468475991649,0.95104135486412,0.383120567375887,0.637780401416765,0.389764556962025,0.451449192782526,0.647179561200924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle Harbor Dr",0.480177777777778,0.332659926470588,0.304447976878613,0.323695481335953,0.941732107157137,0.884131962296487,0.343675627240143,0.604193446754883,0.299161392405063,0.299161392405063,0.463930755395683,0.558764824797844,0.299161392405063,0.362121451104101,0.299161392405063,0.299161392405063,0.413024202420242,0.542914572864322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastsound, Fishing Bay",0.690713740458015,0.607004394224733,0.665771476698484,0.732569358178054,0.662279096045198,0.954042386185243,0.36198969072165,0.850178894927536,0.550762569832402,0.767865336658354,0.870216549295775,0.938861929753734,0.524907421576129,0.853520842671448,0.344198230088496,0.4588,0.744817016914403,0.991701254275941,0.665771476698484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonds Ferry",0.619116748166259,0.507260975609756,0.378534306569343,0.541372648335745,0.299161392405063,0.327867052023121,0.996278799249531,0.655492254733219,0.978623188405797,0.385857142857143,0.299161392405063,0.332659926470588,0.888078689919183,0.506299918500408,0.8856875,0.950154150197628,0.42459939148073,0.422717479674797,0.299161392405063,0.409434782608696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
