model,AIC,moran_I,p_value
sdm,315.4718287084226,-0.10066953580917529,0.9579432802352562
sem,335.1451501376115,-0.09964681772167962,0.9555125580757458
sar,363.8322323253299,-0.07029300202913674,0.8695229272916409
