term,estimate,std_error,statistic,p_value,model,response,z_value
reporting_area10,1.5190052805683225,1.385842748900131,NA,0.27304036863689074,sar,ibr_combined,1.096087764484012
reporting_area11,2.746215957794941,1.5135192200065968,NA,0.06960735497580295,sar,ibr_combined,1.8144572738118063
reporting_area12,6.031124697867531,2.268351326140509,NA,0.007841619648619291,sar,ibr_combined,2.6588141917721364
reporting_area13,4.184692362257517,1.3319611231666846,NA,0.0016793985735952255,sar,ibr_combined,3.1417526303685035
(Intercept),-0.08783167349206726,2.120500783036082,NA,0.9669608691325278,sem,ibr_combined,-0.04142025044023421
chlordane_index,0.08580198072998543,0.14509634654799874,NA,0.5542893685376062,sem,ibr_combined,0.591344873742921
ddt_index,0.17943046063837056,0.11164909027316679,NA,0.10803398984644152,sem,ibr_combined,1.6070929033041483
hch_index,0.018826990938920707,0.1937744566713215,NA,0.9225998874497776,sem,ibr_combined,0.0971593019138476
heavy_metal_index,-0.28135068402350505,0.25129670240451685,NA,0.2628861285264201,sem,ibr_combined,-1.119595606832157
nutrient_metal_index,-0.037991882163966595,0.2389353435289205,NA,0.8736650404786106,sem,ibr_combined,-0.1590048655123644
pah_lmw_index,-0.11236583935861134,0.10089319143835865,NA,0.265403264316749,sem,ibr_combined,-1.1137108238593283
pah_hmw_index,0.5483062668783572,0.1292702556897375,NA,2.2198131685025047e-5,sem,ibr_combined,4.241550107198296
pah_add_index,0.26544298542481093,0.2521758497573359,NA,0.29251947354654195,sem,ibr_combined,1.0526106511794913
pbde_index,-0.34721363807477645,0.1261106287453982,NA,0.0059007461653117765,sem,ibr_combined,-2.753246427593014
pcb_index,-0.030996578325621648,0.024616043543537164,NA,0.20795727574381528,sem,ibr_combined,-1.2592022869475166
pesticide_index,-0.6750687149163253,0.24847475835095356,NA,0.006590641549706788,sem,ibr_combined,-2.716850272424199
z_benzo_a_pyrene,-9.783932448971553,2.3599632656641885,NA,3.3863135173062275e-5,sem,ibr_combined,-4.145798619546716
z_PCB153,-0.641089680129325,0.3341590381969684,NA,0.05504553236939613,sem,ibr_combined,-1.9185166547895012
z_zinc,0.9780519192813735,0.45409500060849145,NA,0.03125204040456886,sem,ibr_combined,2.153848683581134
z_copper,0.06315948845827789,0.3344685608378553,NA,0.8502218632953658,sem,ibr_combined,0.1888353521181817
z_mercury,1.0686428735315112,0.3575488513818761,NA,0.002800731755915331,sem,ibr_combined,2.988802423504807
reporting_area7,2.5900746402737647,1.0077535207653006,NA,0.0101655383014978,sem,ibr_combined,2.570146952507623
reporting_area8.1,2.553237132210112,1.3931896669204062,NA,0.0668537733867769,sem,ibr_combined,1.8326558061932423
reporting_area8.2,7.67142854174533,1.1073698501025806,NA,4.2801318045349035e-12,sem,ibr_combined,6.927611891397162
reporting_area9,4.668706827007453,1.3857582198423182,NA,7.542417109718258e-4,sem,ibr_combined,3.369063058878116
reporting_area10,2.695258585652355,0.9425721339527229,NA,0.0042434693333601725,sem,ibr_combined,2.85947195823587
reporting_area11,3.0874829860600435,1.0819295348139546,NA,0.004321574739794887,sem,ibr_combined,2.8536821361392617
reporting_area12,7.436885289337959,1.5485417991492156,NA,1.5669009676422263e-6,sem,ibr_combined,4.802508588030274
reporting_area13,4.499666329757855,0.8987058218889538,NA,5.533405713631367e-7,sem,ibr_combined,5.006828953550325
(Intercept),60.47763940021528,35.242805419223,NA,0.08615692555489951,sdm,ibr_combined,1.716027957502727
chlordane_index,0.019485227048500163,0.19746587672005547,NA,0.921395186515535,sdm,ibr_combined,0.09867642638897094
ddt_index,0.7798862324679796,0.1824173668495015,NA,1.9089293998408863e-5,sdm,ibr_combined,4.275285001298169
hch_index,0.4988470518801139,0.33181078509854217,NA,0.1327338158933402,sdm,ibr_combined,1.5034081900983562
heavy_metal_index,0.5586012770686603,0.24770003831941925,NA,0.02412377942688959,sdm,ibr_combined,2.2551521625052042
nutrient_metal_index,0.8741708670472746,0.3540882261931204,NA,0.013556925952309395,sdm,ibr_combined,2.4687939399896908
pah_lmw_index,0.3209968311637772,0.13685512046414233,NA,0.019000406841447104,sdm,ibr_combined,2.3455229886548685
pah_hmw_index,-0.005470805292780089,0.23975632853697423,NA,0.9817952988308465,sdm,ibr_combined,-0.022818189309803366
pah_add_index,-1.0270238112218681,0.3646001362629298,NA,0.004849720390938339,sdm,ibr_combined,-2.816849773422011
pbde_index,-0.24611469024344945,0.19136076919014694,NA,0.19839794343405215,sdm,ibr_combined,-1.2861292901623733
pcb_index,-0.12762320856088602,0.04268768496830295,NA,0.002792550600510424,sdm,ibr_combined,-2.989696177144546
pesticide_index,-1.6499110583361771,0.31746813451076183,NA,2.0243034382083636e-7,sdm,ibr_combined,-5.1970918620818205
z_benzo_a_pyrene,2.2172103795933,4.705434695814651,NA,0.6374964693675587,sdm,ibr_combined,0.471202029764741
z_PCB153,0.4246053608034161,0.4544202235141739,NA,0.3501031534425538,sdm,ibr_combined,0.9343892257254968
z_zinc,2.282954821311411,0.4690707578964724,NA,1.1332037210820545e-6,sdm,ibr_combined,4.866973229261239
z_copper,-1.4220705399729243,0.7484329465478058,NA,0.05742471398582505,sdm,ibr_combined,-1.9000640558814446
z_mercury,0.520867639401219,0.38088821601058315,NA,0.17146616688750638,sdm,ibr_combined,1.3675078868461148
reporting_area7,-36.01113144594946,10.577135679001222,NA,6.625609583921221e-4,sdm,ibr_combined,-3.4046203564772575
reporting_area8.1,-4.629371607172513,2.5082804334082356,NA,0.06494513699921467,sdm,ibr_combined,-1.8456355778696372
reporting_area8.2,-4.295406947530952,6.6283387697599325,NA,0.5169611975307165,sdm,ibr_combined,-0.6480367248468992
reporting_area9,-3.81706864385729,3.056690580626658,NA,0.2117533811398482,sdm,ibr_combined,-1.2487585979588243
reporting_area10,-3.3071691304721167,2.408604512869811,NA,0.16973232446098807,sdm,ibr_combined,-1.3730644083746573
reporting_area11,2.7841218630159275,4.660146186400733,NA,0.550218792884066,sdm,ibr_combined,0.5974323018321976
reporting_area12,6.873329796940872,3.13732424638445,NA,0.02846442634609425,sdm,ibr_combined,2.190825447787844
reporting_area13,8.401606644255361,4.759238784744017,NA,0.07750903893071914,sdm,ibr_combined,1.7653257220854603
lag.chlordane_index,-3.5059210268226866,1.0232339872950036,NA,6.118324390846919e-4,sdm,ibr_combined,-3.426314088814479
lag.ddt_index,6.729034059355283,1.3763421585231312,NA,1.0131313030736777e-6,sdm,ibr_combined,4.889070655639728
lag.hch_index,6.09269252373962,2.4193205273429514,NA,0.011790655295681907,sdm,ibr_combined,2.5183486251121074
lag.heavy_metal_index,3.093215588972544,1.5373965862461771,NA,0.04422174323291639,sdm,ibr_combined,2.0119828654785628
lag.nutrient_metal_index,6.096036961709968,2.416694324333557,NA,0.011653415992666005,sdm,ibr_combined,2.5224691845920773
lag.pah_lmw_index,2.7341789846255566,1.0734155973988213,NA,0.010859849073834082,sdm,ibr_combined,2.547176500184288
lag.pah_hmw_index,-3.8227743632973437,1.7238234304853468,NA,0.026581186634710763,sdm,ibr_combined,-2.2176136463239926
lag.pah_add_index,-7.624168671897698,2.5923864483668435,NA,0.0032717077867283617,sdm,ibr_combined,-2.940984619288064
lag.pbde_index,0.17710435042202607,1.361226552057447,NA,0.8964822094113223,sdm,ibr_combined,0.1301064471261885
lag.pcb_index,-1.0566400893086467,0.3245426580290305,NA,0.0011308060626411542,sdm,ibr_combined,-3.2557818307328024
lag.pesticide_index,-8.969414293080902,2.11670615177873,NA,2.2608329567352925e-5,sdm,ibr_combined,-4.23743951683782
lag.z_benzo_a_pyrene,74.78730344453402,34.01852672206697,NA,0.027918574602986856,sdm,ibr_combined,2.1984286402391833
lag.z_PCB153,9.199326423040379,3.069152903370973,NA,0.0027233756298370437,sdm,ibr_combined,2.9973503154360253
lag.z_zinc,13.27764804026525,3.283808854023243,NA,5.268879724518172e-5,sdm,ibr_combined,4.043368122355172
lag.z_copper,-9.36626867007875,5.77339885356315,NA,0.1047360257172878,sdm,ibr_combined,-1.6223144992482548
lag.z_mercury,11.195117638083817,2.2077063205241156,NA,3.958825685046463e-7,sdm,ibr_combined,5.070927022316114
lag.reporting_area7,-7.845499778651961,18.476571047631108,NA,0.6711145719448721,sdm,ibr_combined,-0.424618819066963
lag.reporting_area8.1,-30.285033264854107,21.57800155988812,NA,0.16046353753689546,sdm,ibr_combined,-1.4035142772976579
lag.reporting_area8.2,22.879933493009375,14.788850667713701,NA,0.12183746089701986,sdm,ibr_combined,1.5471069393485548
lag.reporting_area9,-42.404824526264164,25.984598162334915,NA,0.10269602322305116,sdm,ibr_combined,-1.6319215044753175
lag.reporting_area10,-43.02617668934092,22.813680767969522,NA,0.05929746650801704,sdm,ibr_combined,-1.8859813603489097
lag.reporting_area11,-36.0781693100093,25.301827687346606,NA,0.15389386392224713,sdm,ibr_combined,-1.425911588515478
lag.reporting_area12,77.88275029125192,30.013160733777152,NA,0.009460377392707553,sdm,ibr_combined,2.5949532933931145
lag.reporting_area13,-30.278172828193288,23.266997159625692,NA,0.19314359023476846,sdm,ibr_combined,-1.3013356481056273
