term,estimate,std_error,statistic,p_value,model,response,z_value
(Intercept),1.207750712385905,3.391167866676911,0.3561459532138731,0.7232601616111962,ols,ibr_combined,NA
chlordane_index,0.14603484443544892,0.23071829430674273,0.6329573685270655,0.5297045468432775,ols,ibr_combined,NA
ddt_index,-0.0463611566186558,0.1771434121498115,-0.26171538673675215,0.7946379050680236,ols,ibr_combined,NA
hch_index,0.04213971007912568,0.25616966410774117,0.16449922056892086,0.8700148809421203,ols,ibr_combined,NA
heavy_metal_index,-0.11199127202448186,0.40241560715861086,-0.2782975362591761,0.7819550008649258,ols,ibr_combined,NA
nutrient_metal_index,-0.22596984851788565,0.38073629766647515,-0.5935075008683179,0.5555714994192863,ols,ibr_combined,NA
pah_lmw_index,-0.1331637869611558,0.14530973512900333,-0.9164133899420808,0.3639385136762413,ols,ibr_combined,NA
pah_hmw_index,0.34973066231972955,0.17029353724844662,2.0536930994010443,0.04536179970494346,ols,ibr_combined,NA
pah_add_index,0.3432773285532474,0.3725814474252502,0.9213484217356743,0.36138275629438465,ols,ibr_combined,NA
pbde_index,-0.2334749522547438,0.1916612034896565,-1.218164907679628,0.22899446469213044,ols,ibr_combined,NA
pcb_index,-0.013469563985232887,0.04045832868482121,-0.3329243798023292,0.7406116524188759,ols,ibr_combined,NA
pesticide_index,-0.24508573339609704,0.33749559636236,-0.7261894259887025,0.47117737043394115,ols,ibr_combined,NA
z_benzo_a_pyrene,-6.1762117834034145,3.0661054867735436,-2.0143507162575247,0.04947890107141381,ols,ibr_combined,NA
z_PCB153,-0.19706672523201682,0.4436719285686716,-0.4441721743987118,0.658873623080777,ols,ibr_combined,NA
z_zinc,0.51283593021377,0.6629214986370809,0.7735997871062018,0.44288382449339503,ols,ibr_combined,NA
z_copper,0.15972094324726518,0.47380904254847067,0.33709982061164595,0.7374813490165653,ols,ibr_combined,NA
z_mercury,0.5997982920271149,0.5294466422482887,1.1328776956259061,0.26277862588619416,ols,ibr_combined,NA
reporting_area7,2.1385182747034355,1.9410916028161627,1.1017090958514495,0.2759704505464123,ols,ibr_combined,NA
reporting_area8.1,3.447183799601577,2.481925258918638,1.3889152331297425,0.17113929348938595,ols,ibr_combined,NA
reporting_area8.2,4.452181580503916,2.2431965164431342,1.9847487939056723,0.05278611456712016,ols,ibr_combined,NA
reporting_area9,3.5038451856124464,2.078018843266804,1.686146974540488,0.09812571624166942,ols,ibr_combined,NA
reporting_area10,1.5629117018382719,1.780022885187043,0.8780289932474901,0.3842130992935381,ols,ibr_combined,NA
reporting_area11,2.0778748219896657,1.9687009265968125,1.0554547894593498,0.2963937370253219,ols,ibr_combined,NA
reporting_area12,6.244177100407408,2.945069892688841,2.120213552795004,0.03907585187656472,ols,ibr_combined,NA
reporting_area13,2.910916645103693,1.7106091793334872,1.7016842188569847,0.09515242006326691,ols,ibr_combined,NA
(Intercept),4.768311700530978,2.9925553634723503,NA,0.11107243473910255,sar,ibr_combined,1.5933913065515235
chlordane_index,0.05404484155367718,0.17971872118273857,NA,0.7636287475717649,sar,ibr_combined,0.3007190413887055
ddt_index,-0.02676225947457563,0.13606312072124815,NA,0.8440701115743487,sar,ibr_combined,-0.1966900313083612
hch_index,0.0635324847225375,0.19715691459349413,NA,0.747268422481242,sar,ibr_combined,0.32224324900565254
heavy_metal_index,-0.16664057671029547,0.30912493110956774,NA,0.5898372154488145,sar,ibr_combined,-0.539071941276812
nutrient_metal_index,-0.11784848476368293,0.2933574813064239,NA,0.6878878021332224,sar,ibr_combined,-0.40172312715142705
pah_lmw_index,-0.14185203376610786,0.11187526164634785,NA,0.20481645875806387,sar,ibr_combined,-1.2679481744098213
pah_hmw_index,0.34087020862803147,0.131453774726548,NA,0.009512052693080975,sar,ibr_combined,2.593080414290989
pah_add_index,0.36679243960429225,0.28681973413699763,NA,0.20095845105957966,sar,ibr_combined,1.2788256732331262
pbde_index,-0.18858804400881807,0.14765476743288034,NA,0.20152357936465592,sar,ibr_combined,-1.2772228576672597
pcb_index,-0.020879380040474495,0.03107666694060342,NA,0.5016685128016962,sar,ibr_combined,-0.6718667764590418
pesticide_index,-0.23350135971028754,0.260351078536665,NA,0.369787699821319,sar,ibr_combined,-0.8968711058264495
z_benzo_a_pyrene,-6.121865965220782,2.3642678044470777,NA,0.009616331485270413,sar,ibr_combined,-2.589328482038218
z_PCB153,-0.11698920361710514,0.34484590918690233,NA,0.7344209055820063,sar,ibr_combined,-0.33925066384852604
z_zinc,0.41941215685264943,0.5131934831685717,NA,0.41378024929951085,sar,ibr_combined,0.8172593195515747
z_copper,0.09674927490838847,0.3640369055466049,NA,0.7904180701384496,sar,ibr_combined,0.2657677653948808
z_mercury,0.7925668583386382,0.4076536687370573,NA,0.0518693875177314,sar,ibr_combined,1.9442161793712585
reporting_area7,3.472005670456727,1.5252701168678358,NA,0.022826754211662914,sar,ibr_combined,2.2763218344476193
reporting_area8.1,3.2539038163417726,1.9064046958192582,NA,0.08785413353565708,sar,ibr_combined,1.706827424144295
reporting_area8.2,6.0889706643232415,1.732180875923608,NA,4.3941485091636423e-4,sar,ibr_combined,3.5152048778258047
reporting_area9,3.243752545558169,1.601411612436264,NA,0.042810070844766956,sar,ibr_combined,2.02555827644048
