"metric","x","y","pred","pred_var"
"ibr_combined",-13694185.1803574,5951626.87278628,4.44278865059607,5.61201484780544
"ibr_combined",-13692185.1803574,5951626.87278628,4.41583191363516,5.52858342452725
"ibr_combined",-13690185.1803574,5951626.87278628,4.39868080619666,5.46937161516599
"ibr_combined",-13688185.1803574,5951626.87278628,4.38562677058738,5.42119532385138
"ibr_combined",-13686185.1803574,5951626.87278628,4.37257145108113,5.37544353306785
"ibr_combined",-13684185.1803574,5951626.87278628,4.35819625195382,5.33044916925192
"ibr_combined",-13682185.1803574,5951626.87278628,4.34219149051923,5.29892005034829
"ibr_combined",-13680185.1803574,5951626.87278628,4.32457086983612,5.31489705929661
"ibr_combined",-13678185.1803574,5951626.87278628,4.3068483752554,5.3412222979977
"ibr_combined",-13676185.1803574,5951626.87278628,4.29042832112233,5.36933920490632
"ibr_combined",-13674185.1803574,5951626.87278628,4.2765515476599,5.39962609939059
"ibr_combined",-13696185.1803574,5953626.87278628,4.51012502810043,5.65119867740108
"ibr_combined",-13694185.1803574,5953626.87278628,4.46988643029155,5.53439000674384
"ibr_combined",-13692185.1803574,5953626.87278628,4.43908801588279,5.44359727526999
"ibr_combined",-13690185.1803574,5953626.87278628,4.42922380973431,5.40063328345894
"ibr_combined",-13688185.1803574,5953626.87278628,4.41991827678858,5.36235134719208
"ibr_combined",-13686185.1803574,5953626.87278628,4.40795622446753,5.32393910138906
"ibr_combined",-13684185.1803574,5953626.87278628,4.39302083901608,5.28894372085875
"ibr_combined",-13682185.1803574,5953626.87278628,4.37525529232252,5.26722045282904
"ibr_combined",-13680185.1803574,5953626.87278628,4.35530760182744,5.26674153730486
"ibr_combined",-13678185.1803574,5953626.87278628,4.33464728017561,5.27978532934011
"ibr_combined",-13676185.1803574,5953626.87278628,4.31532994063752,5.29932168861897
"ibr_combined",-13674185.1803574,5953626.87278628,4.29950911168055,5.32399332695591
"ibr_combined",-13672185.1803574,5953626.87278628,4.28850685627713,5.35393991408046
"ibr_combined",-13670185.1803574,5953626.87278628,4.2820224388125,5.38860423333348
"ibr_combined",-13696185.1803574,5955626.87278628,4.55509386520558,5.61198256491787
"ibr_combined",-13694185.1803574,5955626.87278628,4.51543617776947,5.49567147604967
"ibr_combined",-13692185.1803574,5955626.87278628,4.48501621049332,5.4053660375452
"ibr_combined",-13690185.1803574,5955626.87278628,4.47539117022596,5.36307681570784
"ibr_combined",-13688185.1803574,5955626.87278628,4.46583403397437,5.32625554600248
"ibr_combined",-13686185.1803574,5955626.87278628,4.45300756030095,5.29076033797372
"ibr_combined",-13684185.1803574,5955626.87278628,4.43642130871446,5.25965811168337
"ibr_combined",-13682185.1803574,5955626.87278628,4.41610450515659,5.23780830340984
"ibr_combined",-13680185.1803574,5955626.87278628,4.39266687022195,5.22806364633327
"ibr_combined",-13678185.1803574,5955626.87278628,4.36763285805748,5.22873687667863
"ibr_combined",-13676185.1803574,5955626.87278628,4.34376508647498,5.23750798880638
"ibr_combined",-13674185.1803574,5955626.87278628,4.32483248040709,5.25446912999255
"ibr_combined",-13672185.1803574,5955626.87278628,4.31353677634347,5.28038878676256
"ibr_combined",-13670185.1803574,5955626.87278628,4.30900200698919,5.31381034072787
"ibr_combined",-13668185.1803574,5955626.87278628,4.3079839333408,5.35160803543174
"ibr_combined",-13666185.1803574,5955626.87278628,4.30759703447639,5.39115359386104
"ibr_combined",-13696185.1803574,5957626.87278628,4.61209742563167,5.59712936319152
"ibr_combined",-13694185.1803574,5957626.87278628,4.5796099660492,5.49382019925743
"ibr_combined",-13692185.1803574,5957626.87278628,4.55404712741153,5.41132941640895
"ibr_combined",-13690185.1803574,5957626.87278628,4.53752090936188,5.3535745927716
"ibr_combined",-13688185.1803574,5957626.87278628,4.52387888411178,5.30879565375768
"ibr_combined",-13686185.1803574,5957626.87278628,4.5085084765052,5.27018109704586
"ibr_combined",-13684185.1803574,5957626.87278628,4.48951287601262,5.23726572974383
"ibr_combined",-13682185.1803574,5957626.87278628,4.46616294771674,5.2115553786567
"ibr_combined",-13680185.1803574,5957626.87278628,4.43852031430806,5.19390216708055
"ibr_combined",-13678185.1803574,5957626.87278628,4.40769967600467,5.18372755990085
"ibr_combined",-13676185.1803574,5957626.87278628,4.3768074410157,5.18087170382051
"ibr_combined",-13674185.1803574,5957626.87278628,4.35247941119836,5.18847106845674
"ibr_combined",-13672185.1803574,5957626.87278628,4.34151080342767,5.21077075811175
"ibr_combined",-13670185.1803574,5957626.87278628,4.34099485199042,5.24442363185384
"ibr_combined",-13668185.1803574,5957626.87278628,4.34365451150642,5.28270715690942
"ibr_combined",-13666185.1803574,5957626.87278628,4.34544349119613,5.32195022791822
"ibr_combined",-13664185.1803574,5957626.87278628,4.34478793868614,5.36074484659855
"ibr_combined",-13698185.1803574,5959626.87278628,4.70541318361153,5.70096032611354
"ibr_combined",-13696185.1803574,5959626.87278628,4.67629233924201,5.59540285212519
"ibr_combined",-13694185.1803574,5959626.87278628,4.64917768684762,5.49985892178911
"ibr_combined",-13692185.1803574,5959626.87278628,4.62626804454987,5.41919972130981
"ibr_combined",-13690185.1803574,5959626.87278628,4.60787735698201,5.35450827695214
"ibr_combined",-13688185.1803574,5959626.87278628,4.59143127968796,5.30188980654648
"ibr_combined",-13686185.1803574,5959626.87278628,4.5737878790335,5.25751019332246
"ibr_combined",-13684185.1803574,5959626.87278628,4.55268274957491,5.21991640584983
"ibr_combined",-13682185.1803574,5959626.87278628,4.52672120372365,5.18894623030094
"ibr_combined",-13680185.1803574,5959626.87278628,4.49524445391189,5.16426314600174
"ibr_combined",-13678185.1803574,5959626.87278628,4.45841043774244,5.14478993528573
"ibr_combined",-13676185.1803574,5959626.87278628,4.41792562090561,5.12971749290638
"ibr_combined",-13674185.1803574,5959626.87278628,4.38246743781915,5.12404862423903
"ibr_combined",-13672185.1803574,5959626.87278628,4.37468783018945,5.14554445873856
"ibr_combined",-13670185.1803574,5959626.87278628,4.38186982564448,5.18254468567663
"ibr_combined",-13668185.1803574,5959626.87278628,4.38847685503297,5.22133621323752
"ibr_combined",-13666185.1803574,5959626.87278628,4.39161756750447,5.25935595004963
"ibr_combined",-13664185.1803574,5959626.87278628,4.39077357561137,5.29619181602497
"ibr_combined",-13662185.1803574,5959626.87278628,4.3859810280279,5.3318442331072
"ibr_combined",-13660185.1803574,5959626.87278628,4.37751607112004,5.36636021988615
"ibr_combined",-13698185.1803574,5961626.87278628,4.76903579751683,5.70004378922701
"ibr_combined",-13696185.1803574,5961626.87278628,4.74430712831718,5.59963324509192
"ibr_combined",-13694185.1803574,5961626.87278628,4.72131085951735,5.50800944271466
"ibr_combined",-13692185.1803574,5961626.87278628,4.70092516224554,5.42746399959514
"ibr_combined",-13690185.1803574,5961626.87278628,4.68297684670252,5.35849085682583
"ibr_combined",-13688185.1803574,5961626.87278628,4.66593263925215,5.29965388094564
"ibr_combined",-13686185.1803574,5961626.87278628,4.64756507136198,5.24917305927116
"ibr_combined",-13684185.1803574,5961626.87278628,4.62569672772872,5.2060666881396
"ibr_combined",-13682185.1803574,5961626.87278628,4.59857857155835,5.16991855724775
"ibr_combined",-13680185.1803574,5961626.87278628,4.56512151764082,5.14001845018892
"ibr_combined",-13678185.1803574,5961626.87278628,4.52500356098641,5.11481434903509
"ibr_combined",-13676185.1803574,5961626.87278628,4.47853486504608,5.09213589460422
"ibr_combined",-13674185.1803574,5961626.87278628,4.42727374516178,5.07062587209304
"ibr_combined",-13672185.1803574,5961626.87278628,4.42746398410252,5.09586843372893
"ibr_combined",-13670185.1803574,5961626.87278628,4.43909861220264,5.13344223646741
"ibr_combined",-13668185.1803574,5961626.87278628,4.44590848681549,5.16940424083804
"ibr_combined",-13666185.1803574,5961626.87278628,4.44785744450362,5.20388718441294
"ibr_combined",-13664185.1803574,5961626.87278628,4.4450549855098,5.23722764882787
"ibr_combined",-13662185.1803574,5961626.87278628,4.43773630042599,5.26967800202524
"ibr_combined",-13660185.1803574,5961626.87278628,4.4262939972115,5.30129584672421
"ibr_combined",-13658185.1803574,5961626.87278628,4.41126641531227,5.3319825193458
"ibr_combined",-13656185.1803574,5961626.87278628,4.3932944622458,5.36161735549938
"ibr_combined",-13698185.1803574,5963626.87278628,4.83527395597171,5.70396724704225
"ibr_combined",-13696185.1803574,5963626.87278628,4.81447084492244,5.60695048320688
"ibr_combined",-13694185.1803574,5963626.87278628,4.79509172985594,5.5172303187851
"ibr_combined",-13692185.1803574,5963626.87278628,4.77748515792808,5.43599382736262
"ibr_combined",-13690185.1803574,5963626.87278628,4.76135045039628,5.36354422514799
"ibr_combined",-13688185.1803574,5963626.87278628,4.74557391357976,5.29939407079525
"ibr_combined",-13686185.1803574,5963626.87278628,4.72839116977216,5.24297454329661
"ibr_combined",-13684185.1803574,5963626.87278628,4.70769349927802,5.19425351726709
"ibr_combined",-13682185.1803574,5963626.87278628,4.6814653735864,5.15359367047255
"ibr_combined",-13680185.1803574,5963626.87278628,4.64854181087423,5.1208312121801
"ibr_combined",-13678185.1803574,5963626.87278628,4.60941440278335,5.09469946009512
"ibr_combined",-13676185.1803574,5963626.87278628,4.56703672503318,5.07424342520323
"ibr_combined",-13674185.1803574,5963626.87278628,4.5307564044145,5.06386108376012
"ibr_combined",-13672185.1803574,5963626.87278628,4.51658158767398,5.07468783296663
