direct,indirect,total,model,response
0.05654526531999232,-0.02731686413956655,0.029228401180425773,sar,ibr_combined
-0.028000434806518447,0.01352693402586299,-0.014473500780655457,sar,ibr_combined
0.0664718611767271,-0.03211237564441635,0.034359485532310746,sar,ibr_combined
-0.1743503237732977,0.08422816800402731,-0.09012215576927039,sar,ibr_combined
-0.12330083032814673,0.05956629633460862,-0.06373453399353811,sar,ibr_combined
-0.1484149209230003,0.07169884530906402,-0.07671607561393627,sar,ibr_combined
0.3566408158937741,-0.17229220977675513,0.18434860611701898,sar,ibr_combined
0.38376235767464845,-0.18539455296837468,0.19836780470627377,sar,ibr_combined
-0.1973132065539648,0.09532147432459197,-0.10199173222937284,sar,ibr_combined
-0.021845379691473123,0.01055344361251462,-0.011291936078958504,sar,ibr_combined
-0.2443044693596446,0.11802282579133569,-0.1262816435683089,sar,ibr_combined
-6.405098531245251,3.0942857087753697,-3.3108128224698814,sar,ibr_combined
-0.12240179391651344,0.05913197428528885,-0.06326981963122459,sar,ibr_combined
0.43881656428040156,-0.2119910906917419,0.22682547358865965,sar,ibr_combined
0.1012254502361378,-0.048901740153111835,0.052323710083025964,sar,ibr_combined
0.8292355384940862,-0.40060143703551254,0.4286341014585736,sar,ibr_combined
3.6326405293186683,-1.7549187760588023,1.877721753259866,sar,ibr_combined
3.404448034842325,-1.6446796015849827,1.7597684332573422,sar,ibr_combined
6.37068130540909,-3.077658840426504,3.2930224649825863,sar,ibr_combined
3.393827108158252,-1.639548660742752,1.7542784474155,sar,ibr_combined
1.5892831608525846,-0.7677783796508472,0.8215047812017374,sar,ibr_combined
2.8732716295464136,-1.3880697224819567,1.4852019070644569,sar,ibr_combined
6.310159053388408,-3.0484207048104874,3.2617383485779206,sar,ibr_combined
4.378300187472692,-2.115144932234381,2.2631552552383107,sar,ibr_combined
0.49591610550185006,-1.5174871654806337,-1.0215710599787837,sdm,ibr_combined
0.12988607599765445,2.070325286652685,2.2002113626503395,sdm,ibr_combined
-0.1567522113189398,2.0881590858106747,1.931406874491735,sdm,ibr_combined
0.32455017507809986,0.7454796894992832,1.0700298645773831,sdm,ibr_combined
0.33955795105809017,1.702803649392762,2.0423616004508522,sdm,ibr_combined
0.058214585908067995,0.8369916865721552,0.8952062724802231,sdm,ibr_combined
0.5053740782920633,-1.6270997314615756,-1.1217256531695123,sdm,ibr_combined
-0.3369511478735441,-2.1979608317571606,-2.5349119796307047,sdm,ibr_combined
-0.34949311953608386,0.3292721919040782,-0.02022092763200565,sdm,ibr_combined
-0.0272251319454746,-0.31977942571106016,-0.34700455765653476,sdm,ibr_combined
-0.9809808534901912,-2.1306196687994654,-3.1116005222896566,sdm,ibr_combined
-7.094022081341295,29.657346728122327,22.563324646781034,sdm,ibr_combined
-0.6715986504754408,3.4915359039368683,2.8199372534614273,sdm,ibr_combined
1.241131277335003,3.3183278586225136,4.559459135957517,sdm,ibr_combined
-0.6262070748975876,-2.534916707429621,-3.1611237823272087,sdm,ibr_combined
-0.8118166514048699,4.244752803388915,3.432936151984045,sdm,ibr_combined
-46.61037548839542,33.75981181241535,-12.850563675980073,sdm,ibr_combined
-2.066118310608428,-8.164256674628586,-10.230374985237015,sdm,ibr_combined
-8.75325690605322,14.198765033149066,5.445508127095845,sdm,ibr_combined
0.6342061404510959,-14.177822346745621,-13.543616206294525,sdm,ibr_combined
1.3924022311374973,-14.96867551417792,-13.576273283040424,sdm,ibr_combined
8.522817857643926,-18.278407030865438,-9.755589173221514,sdm,ibr_combined
-1.3465140812902323,26.18114851825586,24.834634436965626,sdm,ibr_combined
15.180071314137832,-21.590189896177684,-6.410118582039852,sdm,ibr_combined
