"site_name","latitude","longitude","1-methylnaphthalene","1-methylphenanthrene","1_7-dimethylphenanthrene","2-methylnaphthalene","235-trimethylnaphthalene","26-dimethylnaphthalene","3-methylphenanthrene","9-methylphenanthrene","Retene","z_1-methylnaphthalene","z_1-methylphenanthrene","z_1_7-dimethylphenanthrene","z_2-methylnaphthalene","z_235-trimethylnaphthalene","z_26-dimethylnaphthalene","z_3-methylphenanthrene","z_9-methylphenanthrene","z_Retene","ai_z_1-methylnaphthalene","ai_z_1-methylphenanthrene","ai_z_1_7-dimethylphenanthrene","ai_z_2-methylnaphthalene","ai_z_235-trimethylnaphthalene","ai_z_26-dimethylnaphthalene","ai_z_3-methylphenanthrene","ai_z_9-methylphenanthrene","ai_z_Retene","pah_add_index"
"Maristone Island",48.018181,-122.699838,0,0,0,0,0,0,0,0,1.4,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.39637453050775,-0.301703670812341,-1.18770952045804,0.997410469865908,0,0,1.02905319506303,0,0,0.0745064906969454,0,0.0762982561322083,2.1772684117581
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,0,0,0,0,0,0,0,0,2.1,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.39637453050775,-0.301703670812341,-0.920665623995313,0.997410469865908,0,0,1.02905319506303,0,0,0.0745064906969454,0,0.190745640330521,2.29171579595641
"Miller Creek",47.443611,-122.361944,0,0.62,1,0.58,0,0,0.84,0,4.4,-0.19145262603967,-0.203674901198179,-0.207783431561675,0.378121364488962,-0.181678694288547,-0.239741722128221,-0.254134866449945,-0.301703670812341,-0.0432356784749183,0.997410469865908,0.196003371393115,0.49144614844294,0.253922216963606,0,0,0.0677331733608594,0,1.06817558585091,3.07469096587734
"Minter Bay",47.35399,-122.69176,0,0,0,0,0,0,0.59,0,2.5,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.296468099800482,-0.301703670812341,-0.768069111730896,0.997410469865908,0,0,1.02905319506303,0,0,0.0253999400103223,0,0.343342152594937,2.3952057575342
"Mukilteo",47.949831,-122.301703,0,0.77,0.96,0,0,0,1.2,0,5.3,-0.19145262603967,-0.156254730699844,-0.227441277499393,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.193175010425171,-0.301703670812341,0.300106474120018,0.997410469865908,0.243423541891449,0.471788302505222,1.02905319506303,0,0,0.128693029385633,0,1.41151773844585,4.2818862771571
"N Avenue Park",48.52108,-122.61531,0,3.9,5.7,0,1.1,1.1,7.9,5.4,5,-0.19145262603967,0.833246160365396,2.10201346612014,-0.397009613610466,2.05540970553312,0.630033654986036,0.941355643369225,0.855069846928812,0.185659089921706,0.997410469865908,1.23292443295669,2.80124304612476,1.02905319506303,2.23708839982167,0.869775377114257,1.26322368318003,1.15677351774115,1.29707035424754,12.884562476115
"North Camano",48.25523,-122.50817,0,0,0.69,0,0,0,0.7,0,5.7,-0.19145262603967,-0.399678272591293,-0.360131737578986,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.277841477126246,-0.301703670812341,0.452702986384435,0.997410469865908,0,0.339097842425628,1.02905319506303,0,0,0.0440265626845587,0,1.56411425071027,3.9737023207494
"Oak Bay County Park",48.022466,-122.728123,0,0,0,0,0,0,0,0,1.6,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.39637453050775,-0.301703670812341,-1.11141126432583,0.997410469865908,0,0,1.02905319506303,0,0,0.0745064906969454,0,0,2.10097015562589
"Penn Cove Baseline",48.218047,-122.712359,0.53,0,0,0.77,0,0,0.44,0,1.6,0.805957843826238,-0.399678272591293,-0.699229580004615,0.632043581452568,-0.181678694288547,-0.239741722128221,-0.321868039810804,-0.301703670812341,-1.11141126432583,0,0,0,0,0,0,0,0,0,0
"Penn Cove Reference",48.214071,-122.719097,0,0,0.56,0,0,0,0.61,0,3.3,-0.19145262603967,-0.399678272591293,-0.424019736876569,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.293081441132439,-0.301703670812341,-0.462876087202064,0.997410469865908,0,0.275209843128046,1.02905319506303,0,0,0.0287865986783652,0,0.64853517712377,2.97899528385912
"Penrose Point State Park",47.2609094,-122.7447771,0,0,0.69,0.58,0,0,0.64,0,2.8,-0.19145262603967,-0.399678272591293,-0.360131737578986,0.378121364488962,-0.181678694288547,-0.239741722128221,-0.288001453130374,-0.301703670812341,-0.653621727532584,0.997410469865908,0,0.339097842425628,0.253922216963606,0,0,0.0338665866804297,0,0.457789536793249,2.08208665272882
"Point Defiance Ferry",47.3061098,-122.514771,0,1.4,1.4,0.73,0,0,2.3,1.6,3.9,-0.19145262603967,0.0429099853931592,-0.0112049721844991,0.578586272618125,-0.181678694288547,-0.239741722128221,-0.00690878368280773,0.0410440381480009,-0.233981318805439,0.997410469865908,0.442588257984452,0.688024607820116,0.0534573088344433,0,0,0.314959256127996,0.342747708960342,0.877429945520394,3.71661755511365
"Port Angeles Yacht Club",48.128267,-123.457133,0,2.7,3.4,0,0,0.61,4.7,3.1,15,-0.19145262603967,0.453884796378722,0.971687324701381,-0.397009613610466,-0.181678694288547,0.242588259726049,0.399490256482349,0.362370015298321,4.00057189653212,0.997410469865908,0.853563068970015,1.670916904706,1.02905319506303,0,0.48232998185427,0.721358296293153,0.664073686110662,5.11198316085795,11.530688763721
"Purdy, Dexters",47.385334,-122.628902,0,0,0,0,0,0,0.59,0,2.8,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.296468099800482,-0.301703670812341,-0.653621727532584,0.997410469865908,0,0,1.02905319506303,0,0,0.0253999400103223,0,0.457789536793249,2.50965314173251
"Purdy, Burley Lagoon",47.387021,-122.6367,0,0,0,0,0,0,0.72,0,3.1,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.274454818458203,-0.301703670812341,-0.539174343334272,0.997410469865908,0,0,1.02905319506303,0,0,0.0474132213526016,0,0.572236920991562,2.6461138072731
"Raft Island Park",47.32622,-122.66715,0,0,0,0,0,0,0,0,1.5,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.39637453050775,-0.301703670812341,-1.14956039239194,0.997410469865908,0,0,1.02905319506303,0,0,0.0745064906969454,0,0.0381491280661042,2.13911928369199
"Reach Island",47.346817,-122.822363,0,0.58,1.1,0,0,0,0.69,0,5.8,-0.19145262603967,-0.216320279997734,-0.158638816717381,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.279534806460267,-0.301703670812341,0.490852114450539,0.997410469865908,0.183357992593559,0.540590763287234,1.02905319506303,0,0,0.0423332333505372,0,1.60226337877637,4.39500903293664
"Rich Passage",47.578117,-122.524833,0,0.65,0.87,0.74,0,0,0.97,0,2.9,-0.19145262603967,-0.194190867098512,-0.271671430859257,0.591950599826735,-0.181678694288547,-0.239741722128221,-0.232121585107665,-0.301703670812341,-0.61547259946648,0.997410469865908,0.205487405492781,0.427558149145358,0.0400929816258325,0,0,0.0897464547031388,0,0.495938664859353,2.25623412569237
"Rocky Point",47.60253,-122.66991,0,0.69,1.3,0,0,0,0.99,0.51,4.2,-0.19145262603967,-0.181545488298956,-0.060349587028793,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.228734926439622,-0.192452838581232,-0.119533934607127,0.997410469865908,0.218132784292337,0.638879992975822,1.02905319506303,0,0,0.0931331133711818,0.109250832231109,0.991877329718707,4.0777377175181
"South of Skunk Island",48.02655,-122.75089,0,0.67,0.91,0,0,0,0.98,0,3.3,-0.19145262603967,-0.187868177698734,-0.25201358492154,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.230428255773644,-0.301703670812341,-0.462876087202064,0.997410469865908,0.211810094892559,0.447215995083075,1.02905319506303,0,0,0.0914397840371603,0,0.64853517712377,3.42546471606551
"Salmon Bay, Commodore Park",47.666244,-122.401894,0,0.76,1.3,0,0,0,1.3,0.89,5.5,-0.19145262603967,-0.159416075399733,-0.060349587028793,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.176241717084956,-0.111050257703151,0.376404730252227,0.997410469865908,0.24026219719156,0.638879992975822,1.02905319506303,0,0,0.145626322725848,0.19065341310919,1.48781599457806,4.72970158550942
"Salmon Beach",47.294692,-122.530504,0,0,1.3,0,0,0,1.2,0,4.6,-0.19145262603967,-0.399678272591293,-0.060349587028793,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.193175010425171,-0.301703670812341,0.0330625776572896,0.997410469865908,0,0.638879992975822,1.02905319506303,0,0,0.128693029385633,0,1.14447384198312,3.93851052927352
"Seattle Aquarium, Pier 59",47.607334,-122.344055,0,3.9,4.1,0.7,0,0.86,6.1,5.1,6.7,-0.19145262603967,0.833246160365396,1.31569962861144,0.538493290992292,-0.181678694288547,0.440264481797471,0.636556363245357,0.790804651498748,0.834194267045476,0.997410469865908,1.23292443295669,2.01492920861605,0.0935502904602759,0,0.680006203925692,0.958424403056161,1.09250832231109,1.94560553137131,9.01535886256318
"Shilshole Bay",47.6707,-122.40605,0,1.6,2,0.86,0,0,3,1.8,6.5,-0.19145262603967,0.106136879390938,0.283662716881265,0.752322526330065,-0.181678694288547,-0.239741722128221,0.111624269698696,0.0838875017680436,0.757896010913268,0.997410469865908,0.505815151982231,0.98289229688588,0.120278944877497,0,0,0.433492309509501,0.385591172580384,1.8693072752391,5.2947876209405
"Silverdale, Dyes Inlet",47.6428,-122.6967,0,0.61,0.83,0.59,0,0,0.99,0,2.9,-0.19145262603967,-0.206836245898067,-0.291329276796975,0.391485691697573,-0.181678694288547,-0.239741722128221,-0.228734926439622,-0.301703670812341,-0.61547259946648,0.997410469865908,0.192842026693226,0.40790030320764,0.240557889754995,0,0,0.0931331133711818,0,0.495938664859353,2.4277824677523
"Skiff Point",47.6614139,-122.498892,0,0.96,1.6,0,0,0,1.4,0,5.3,-0.19145262603967,-0.0961891814019544,0.087084257504089,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.159308423744741,-0.301703670812341,0.300106474120018,0.997410469865908,0.303489091189339,0.786313837508704,1.02905319506303,0,0,0.162559616066063,0,1.41151773844585,4.6903439481389
"Smith Cove, Terminal 91",47.6325,-122.3786,1.2,7.8,8,1.4,0.79,1.5,12,11,9,2.0668352302605,2.06617059332208,3.2323396075389,1.47399619559505,1.42495752012883,0.946315610300311,1.63562067031803,2.05468682829001,1.71162421256587,1.26087738643426,2.46584886591338,3.93156918754352,0.841952614142482,1.60663621441738,1.18605733242853,1.95748871012884,2.35639049910235,2.8230354768917,18.4298562870024
"Squaxin Island",47.176735,-122.905337,0,0.43,0.75,0,0,0,0.61,0,3.5,-0.19145262603967,-0.263740450496068,-0.33064496867241,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.293081441132439,-0.301703670812341,-0.386577831069855,0.997410469865908,0.135937822095225,0.368584611332205,1.02905319506303,0,0,0.0287865986783652,0,0.724833433255978,3.28460613029071
"Suquamish Stormwater Outfall",47.729875,-122.550882,0.5,0.75,0.95,0.67,0,0,1.2,0.59,2.8,0.749500647418734,-0.162577420099622,-0.232355738983822,0.49840030936646,-0.181678694288547,-0.239741722128221,-0.193175010425171,-0.175315453133215,-0.653621727532584,0.0564571964075044,0.237100852491671,0.466873841020793,0.133643272086108,0,0,0.128693029385633,0.126388217679126,0.457789536793249,1.60694594586408
