"site_name","latitude","longitude","1-methylnaphthalene","1-methylphenanthrene","1_7-dimethylphenanthrene","2-methylnaphthalene","235-trimethylnaphthalene","26-dimethylnaphthalene","3-methylphenanthrene","9-methylphenanthrene","Retene","z_1-methylnaphthalene","z_1-methylphenanthrene","z_1_7-dimethylphenanthrene","z_2-methylnaphthalene","z_235-trimethylnaphthalene","z_26-dimethylnaphthalene","z_3-methylphenanthrene","z_9-methylphenanthrene","z_Retene","ai_z_1-methylnaphthalene","ai_z_1-methylphenanthrene","ai_z_1_7-dimethylphenanthrene","ai_z_2-methylnaphthalene","ai_z_235-trimethylnaphthalene","ai_z_26-dimethylnaphthalene","ai_z_3-methylphenanthrene","ai_z_9-methylphenanthrene","ai_z_Retene","pah_add_index"
"Aiston Preserve",48.6793778,-122.6300583,0,0,0,0,0,0,0,0,1.5,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.39637453050775,-0.301703670812341,-1.14956039239194,0.997410469865908,0,0,1.02905319506303,0,0,0.0745064906969454,0,0.0381491280661042,2.13911928369199
"Arroyo Beach",47.50159,-122.38577,0,0.84,1.5,0,0,0,1.2,0.68,7,-0.19145262603967,-0.134125317800622,0.0379396426597949,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.193175010425171,-0.156035894504196,0.948641651243788,0.997410469865908,0.265552954790671,0.73716922266441,1.02905319506303,0,0,0.128693029385633,0.145667776308145,2.06005291556962,5.36359956364742
"Blair Waterway",47.2758,-122.4174,0,2.1,2.7,0,0,0.83,2,1.5,13,-0.19145262603967,0.264204114385385,0.627675020791323,-0.397009613610466,-0.181678694288547,0.4165433351489,-0.0577086637034523,0.0196223063379795,3.23758933521003,0.997410469865908,0.663882386976679,1.32690460079594,1.02905319506303,0,0.656285057277121,0.264159376107352,0.32132597715032,4.34900059953587,9.60802166277222
"Blair Waterway Two",47.2632,-122.3856,0,1.6,3,0,0,0,2.1,1.6,6.7,-0.19145262603967,0.106136879390938,0.775108865324205,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.0407753703632374,0.0410440381480009,0.834194267045476,0.997410469865908,0.505815151982231,1.47433844532882,1.02905319506303,0,0,0.281092669447567,0.342747708960342,1.94560553137131,6.57606317201921
"Brackenwood Ln",47.68203,-122.50668,0,0.85,1.4,0,0,0,1.3,0.68,5.9,-0.19145262603967,-0.130963973100733,-0.0112049721844991,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.176241717084956,-0.156035894504196,0.529001242516643,0.997410469865908,0.26871429949056,0.688024607820116,1.02905319506303,0,0,0.145626322725848,0.145667776308145,1.64041250684248,4.91490917811609
"Broad Spit",47.80934,-122.81556,0,0,0,0,0,0,0,0,2.3,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.39637453050775,-0.301703670812341,-0.844367367863105,0.997410469865908,0,0,1.02905319506303,0,0,0.0745064906969454,0,0.267043896462729,2.36801405208862
"Browns Point Lighthouse",47.304906,-122.44427,0,1.2,1.4,0.61,0,0,1.2,0.79,5.7,-0.19145262603967,-0.0203169086046197,-0.0112049721844991,0.418214346114795,-0.181678694288547,-0.239741722128221,-0.193175010425171,-0.132471989513172,0.452702986384435,0.997410469865908,0.379361363986673,0.688024607820116,0.213829235337773,0,0,0.128693029385633,0.169231681299169,1.56411425071027,4.14066463840554
"Cap Sante",48.52093,-122.600725,0,0,0,0,0,0,0.8,0,1.9,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.260908183786031,-0.301703670812341,-0.996963880127521,0.997410469865908,0,0,1.02905319506303,0,0,0.0609598560247736,0,0.114447384198312,2.20187090515203
"Chambers Bay Park",47.2009,-122.58342,0,0,0.66,0.5,0,0,0.55,0,3.9,-0.19145262603967,-0.399678272591293,-0.374875122032275,0.271206746820076,-0.181678694288547,-0.239741722128221,-0.303241417136568,-0.301703670812341,-0.233981318805439,0.997410469865908,0,0.32435445797234,0.360836834632492,0,0,0.0186266226742364,0,0.877429945520394,2.57865833066537
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,0,0,0,0,0,0,0.96,0,2.5,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.233814914441687,-0.301703670812341,-0.768069111730896,0.997410469865908,0,0,1.02905319506303,0,0,0.0880531253691173,0,0.343342152594937,2.457858942893
"Chimacum Creek delta",48.04887,-122.7711,0,0,0,0,0,0,0.66,0,3.4,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.284614794462331,-0.301703670812341,-0.42472695913596,0.997410469865908,0,0,1.02905319506303,0,0,0.0372532453484727,0,0.686684305189874,2.75040121546729
"Chuckanut, Clark's Point",48.691084,-122.504012,0,0,0.62,0,0,0,0.71,0,9,-0.19145262603967,-0.399678272591293,-0.394532967969992,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.276148147792224,-0.301703670812341,1.71162421256587,0.997410469865908,0,0.304696612034623,1.02905319506303,0,0,0.0457198920185801,0,2.8230354768917,5.19991564587385
"Commencement Bay Skookum",47.28915,-122.4096,0,1.3,1.9,0,0,0,1.6,1.2,7.5,-0.19145262603967,0.0112965383942698,0.234518102036971,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.125441837064312,-0.0446428890920845,1.13938729157431,0.997410469865908,0.410974810985563,0.933747682041586,1.02905319506303,0,0,0.196426202746492,0.257060781720256,2.25079855590014,6.07547169832298
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,0,1.3,1.5,1,0,0,1.7,1.3,5.1,-0.19145262603967,0.0112965383942698,0.0379396426597949,0.939423107250617,-0.181678694288547,-0.239741722128221,-0.108508543724097,-0.0232211572820632,0.22380821798781,0.997410469865908,0.410974810985563,0.73716922266441,0.307379525798049,0,0,0.213359496086707,0.278482513530278,1.33521948231364,4.27999552124456
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,0,1.3,1.5,0.81,0,0,1.3,0.82,7.3,-0.19145262603967,0.0112965383942698,0.0379396426597949,0.685500890287011,-0.181678694288547,-0.239741722128221,-0.176241717084956,-0.126045469970166,1.0630890354421,0.997410469865908,0.410974810985563,0.73716922266441,0.0534573088344434,0,0,0.145626322725848,0.175658200842175,2.17450029976793,4.69479663568628
"Des Moines Marina",47.402778,-122.331667,4.3,23,11,5.7,4,9.7,43,34,6.5,7.9007455257026,6.87141453715328,4.70667805286772,7.2206568952977,7.95318821415387,7.43009569424295,6.88494160578464,6.98168514459492,0.757896010913268,7.09478768187636,7.27109280974457,5.40590763287234,6.58861331384514,8.13486690844242,7.66983741637117,7.20680964559545,7.28338881540726,1.8693072752391,58.5246114993938
"Discovery Bay",48.064974,-122.857218,0,0.62,1.3,0,0,0,1.1,0.49,5.2,-0.19145262603967,-0.203674901198179,-0.060349587028793,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.210108303765386,-0.196737184943236,0.261957346053914,0.997410469865908,0.196003371393115,0.638879992975822,1.02905319506303,0,0,0.111759736045418,0.104966485869105,1.37336861037975,4.45144186159215
"Donkey Creek Delta",47.337909,-122.59023,0,0.67,0.85,0.62,0,0,1,0.57,2.9,-0.19145262603967,-0.187868177698734,-0.281500353828116,0.431578673323406,-0.181678694288547,-0.239741722128221,-0.227041597105601,-0.179599799495219,-0.61547259946648,0.997410469865908,0.211810094892559,0.417729226176499,0.200464908129162,0,0,0.0948264427052033,0.122103871317122,0.495938664859353,2.54028367794581
"Eagle Harbor Dr",47.618875,-122.527234,0,1,1.3,0.65,0,0,1.8,1,2.7,-0.19145262603967,-0.0835438026023986,-0.060349587028793,0.471671654949238,-0.181678694288547,-0.239741722128221,-0.091575250383882,-0.0874863527121272,-0.691770855598688,0.997410469865908,0.316134469988895,0.638879992975822,0.16037192650333,0,0,0.230292789426922,0.214217318100214,0.419640408727145,2.97694737558824
"Eastsound, Fishing Bay",48.69395,-122.909933,0,0.81,1.3,0,0,0,1.7,0.75,4.1,-0.19145262603967,-0.143609351900289,-0.060349587028793,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.108508543724097,-0.141040682237181,-0.157683062673231,0.997410469865908,0.256068920691005,0.638879992975822,1.02905319506303,0,0,0.213359496086707,0.16066298857516,0.953728201652603,4.24916326491024
"Edmonds Ferry",47.8142069,-122.3822018,0,0.96,1.4,0,0,0,1.3,0.77,9.5,-0.19145262603967,-0.0961891814019544,-0.0112049721844991,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.176241717084956,-0.136756335875176,1.90236985289639,0.997410469865908,0.303489091189339,0.688024607820116,1.02905319506303,0,0,0.145626322725848,0.164947334937164,3.01378111722222,6.34233213882363
"Edmonds Marina",47.81094,-122.387955,0,1.1,1.4,0,0,0,1.8,1,4.9,-0.19145262603967,-0.0519303556035091,-0.0112049721844991,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.091575250383882,-0.0874863527121272,0.147509961855602,0.997410469865908,0.347747916987784,0.688024607820116,1.02905319506303,0,0,0.230292789426922,0.214217318100214,1.25892122618144,4.76566752344541
"Eld Inlet",47.0769,-123.0034725,0,0.53,0.81,0,0,0,0.73,0,3.5,-0.19145262603967,-0.232127003497179,-0.301158199765834,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.272761489124181,-0.301703670812341,-0.386577831069855,0.997410469865908,0.167551269094114,0.398071380238781,1.02905319506303,0,0,0.0491065506866231,0,0.724833433255978,3.36602629820444
"Elliot Bay Myrtle Edwards",47.62052,-122.36373,1.1,13,10,2,0.81,2.1,27,19,7.9,1.87864457556882,3.71006983726434,4.21523190442478,2.2758558281117,1.46563185467104,1.42073854327172,4.17561467135026,3.76842537309172,1.29198380383873,1.07268673174258,4.10974810985563,4.9144614844294,1.64381224665913,1.64731054895959,1.66048026539994,4.49748271116107,4.07012904390406,2.40339506816456,26.019506210276
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,0,4.4,5.1,1.1,0,0.94,7.4,5.7,9.1,-0.19145262603967,0.991313395359843,1.80714577705438,1.07306637933673,-0.181678694288547,0.503520872860326,0.85668917666815,0.919335042358877,1.74977334063197,0.997410469865908,1.39099166795114,2.50637535705899,0.441022797884157,0,0.743262594988547,1.17855721647895,1.22103871317122,2.86118460495781,11.3398434223567
"Everett Harbor",47.97252,-122.22982,0,0,0,0,0,0,1.1,0,4.8,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.210108303765386,-0.301703670812341,0.109360833789498,0.997410469865908,0,0,1.02905319506303,0,0,0.111759736045418,0,1.22077209811533,3.35899549908969
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,0,0,1.2,0,0,0,1.5,0,2.2,-0.19145262603967,-0.399678272591293,-0.109494201873087,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.142375130404527,-0.301703670812341,-0.882516495929209,0.997410469865908,0,0.589735378131528,1.02905319506303,0,0,0.179492909406278,0,0.228894768396625,3.02458672086337
"Filucy Bay",47.19483,-122.748665,0,0,0,0,0,0,0.58,0,2.7,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.298161429134503,-0.301703670812341,-0.691770855598688,0.997410469865908,0,0,1.02905319506303,0,0,0.0237066106763009,0,0.419640408727145,2.46981068433239
"Friday Harbor",48.5069444,-123.0194444,0,0.85,1.1,0,0,0,1.7,0.89,2.8,-0.19145262603967,-0.130963973100733,-0.158638816717381,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.108508543724097,-0.111050257703151,-0.653621727532584,0.997410469865908,0.26871429949056,0.540590763287234,1.02905319506303,0,0,0.213359496086707,0.19065341310919,0.457789536793249,3.69757117369588
"Gig Harbor Boat Launch",47.3372,-122.58284,0,0.7,0.84,0,0,0,1.2,0,2.6,-0.19145262603967,-0.178384143599067,-0.286414815312545,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.193175010425171,-0.301703670812341,-0.729919983664792,0.997410469865908,0.221294128992226,0.412814764692069,1.02905319506303,0,0,0.128693029385633,0,0.381491280661041,3.17075686865991
"Hood Canal Holly",47.570193,-122.971775,0,0,0,0,0,4.5,0,0,1.4,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,3.31843027515737,-0.39637453050775,-0.301703670812341,-1.18770952045804,0.997410469865908,0,0,1.02905319506303,0,3.5581719972856,0.0745064906969454,0,0.0762982561322083,5.73544040904369
"Jamestown",48.027069,-122.999191,0,0,0,0,0,0,0,0,1.5,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.39637453050775,-0.301703670812341,-1.14956039239194,0.997410469865908,0,0,1.02905319506303,0,0,0.0745064906969454,0,0.0381491280661042,2.13911928369199
"Kingston Marina",47.7947,-122.5003,0,2.7,0.54,0.52,0,0,0.86,0,2.4,-0.19145262603967,0.453884796378722,-0.433848659845427,0.297935401237297,-0.181678694288547,-0.239741722128221,-0.250748207781902,-0.301703670812341,-0.806218239797001,0.997410469865908,0.853563068970015,0.265380920159188,0.334108180215271,0,0,0.0711198320289024,0,0.305193024528833,2.82677549576812
"Kitsap St Boat Launch",47.541533,-122.640383,0,1.5,2.7,0,0,0.6,2.2,1.4,5.9,-0.19145262603967,0.0745234323920487,0.627675020791323,-0.397009613610466,-0.181678694288547,0.234681210843192,-0.0238420770230225,-0.00179942547204183,0.529001242516643,0.997410469865908,0.474201704983342,1.32690460079594,1.02905319506303,0,0.474422932971413,0.298025962787782,0.299904245340299,1.64041250684248,6.54033561865019
"Kopachuck State Park",47.3115,-122.68725,0,0,0.5,0,0,0,0.51,0,2.1,-0.19145262603967,-0.399678272591293,-0.453506505783145,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.310014734472654,-0.301703670812341,-0.920665623995313,0.997410469865908,0,0.24572307422147,1.02905319506303,0,0,0.0118533053381504,0,0.190745640330521,2.47478568481908
"Lions Park",47.583016,-122.64217,0,0,0.84,0,0,0,0.82,0,2.6,-0.19145262603967,-0.399678272591293,-0.286414815312545,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.257521525117988,-0.301703670812341,-0.729919983664792,0.997410469865908,0,0.412814764692069,1.02905319506303,0,0,0.0643465146928165,0,0.381491280661041,2.88511622497487
"Locust Beach",48.76652,-122.5395,0,0,0,0,0,0,0,0,5.5,-0.19145262603967,-0.399678272591293,-0.699229580004615,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.39637453050775,-0.301703670812341,0.376404730252227,0.997410469865908,0,0,1.02905319506303,0,0,0.0745064906969454,0,1.48781599457806,3.58878615020395
"Madrona Pont",47.579985,-122.67853,0,0,0.83,0,0,0,0.82,0,2.6,-0.19145262603967,-0.399678272591293,-0.291329276796975,-0.397009613610466,-0.181678694288547,-0.239741722128221,-0.257521525117988,-0.301703670812341,-0.729919983664792,0.997410469865908,0,0.40790030320764,1.02905319506303,0,0,0.0643465146928165,0,0.381491280661041,2.88020176349044
"Manchester, Stormwater Outfall",47.556111,-122.542778,0,0.65,0.81,0.6,0,0,0.99,0,2.9,-0.19145262603967,-0.194190867098512,-0.301158199765834,0.404850018906184,-0.181678694288547,-0.239741722128221,-0.228734926439622,-0.301703670812341,-0.61547259946648,0.997410469865908,0.205487405492781,0.398071380238781,0.227193562546384,0,0,0.0931331133711818,0,0.495938664859353,2.41723459637439
"Maple Hollow Park",47.29954,-122.74554,0,0,0.61,0.55,0,0,0.56,0,3.3,-0.19145262603967,-0.399678272591293,-0.399447429454422,0.33802838286313,-0.181678694288547,-0.239741722128221,-0.301548087802546,-0.301703670812341,-0.462876087202064,0.997410469865908,0,0.299782150550193,0.294015198589438,0,0,0.0203199520082579,0,0.64853517712377,2.26006294813757
