site_name,latitude,longitude,benz_a_anthracene,benzo_a_pyrene,benzo_b_fluoranthene,benzo_e_pyrene,benzo_ghi_perylene,benzo_k_fluoranthene,C1-benzanthracenes_chrysenes,C1-fluoranthenes_pyrenes,C2-benzanthracenes_chrysenes,C2-fluoranthenes_pyrenes,C3-benzanthracenes_chrysenes,C3-fluoranthenes_pyrenes,C4-benzanthracenes_chrysenes,C4-fluoranthenes_pyrenes,chrysene,dibenz_ah_anthracene,fluoranthene,indeno_123cd_pyrene,perylene,pyrene,z_benz_a_anthracene,z_benzo_a_pyrene,z_benzo_b_fluoranthene,z_benzo_e_pyrene,z_benzo_ghi_perylene,z_benzo_k_fluoranthene,z_C1-benzanthracenes_chrysenes,z_C1-fluoranthenes_pyrenes,z_C2-benzanthracenes_chrysenes,z_C2-fluoranthenes_pyrenes,z_C3-benzanthracenes_chrysenes,z_C3-fluoranthenes_pyrenes,z_C4-benzanthracenes_chrysenes,z_C4-fluoranthenes_pyrenes,z_chrysene,z_dibenz_ah_anthracene,z_fluoranthene,z_indeno_123cd_pyrene,z_perylene,z_pyrene,ai_z_benz_a_anthracene,ai_z_benzo_a_pyrene,ai_z_benzo_b_fluoranthene,ai_z_benzo_e_pyrene,ai_z_benzo_ghi_perylene,ai_z_benzo_k_fluoranthene,ai_z_C1-benzanthracenes_chrysenes,ai_z_C1-fluoranthenes_pyrenes,ai_z_C2-benzanthracenes_chrysenes,ai_z_C2-fluoranthenes_pyrenes,ai_z_C3-benzanthracenes_chrysenes,ai_z_C3-fluoranthenes_pyrenes,ai_z_C4-benzanthracenes_chrysenes,ai_z_C4-fluoranthenes_pyrenes,ai_z_chrysene,ai_z_dibenz_ah_anthracene,ai_z_fluoranthene,ai_z_indeno_123cd_pyrene,ai_z_perylene,ai_z_pyrene,pah_hmw_index
Chimacum Creek delta,48.04887,-122.7711,0.56,0,0.51,0,0,0.64,0,0.94,0,0,0,0,0,0,1.3,0,2.8,0,0.51,1.9,-0.315693795,-0.302027749,-0.342087318,-0.362598028,-0.410055899,-0.358920426,-0.426388469,-0.313432808,-0.546982565,-0.43123872,-0.550833887,-0.483570098,-0.346068858,-0.395481464,-0.348700113,-0.283220912,-0.287970225,-0.359927918,-0.195905575,-0.282571675,0.032888033,0,0.039923234,0,0,0.050537344,0,NA,0,0,0,0,0,0,0.03705821,0,0.018387217,0,0.193178351,0.021608729,0.393581118
"Chuckanut, Clark's Point",48.691084,-122.504012,1.1,0,0.79,0,0,0.94,0.62,1.2,0,0.73,0,0,0,0,2.1,0,3.1,0,0.43,1.8,-0.283980335,-0.302027749,-0.32016868,-0.362598028,-0.410055899,-0.335231046,-0.347565762,-0.299773622,-0.546982565,-0.327602867,-0.550833887,-0.483570098,-0.346068858,-0.395481464,-0.306347872,-0.283220912,-0.283727021,-0.359927918,-0.226208062,-0.284870476,0.064601493,0,0.061841872,0,0,0.074226723,0.078822707,NA,0,0.103635852,0,0,0,0,0.079410451,0,0.022630421,0,0.162875865,0.019309928,0.667355314
Commencement Bay Skookum,47.28915,-122.4096,4.8,0,2.6,2.7,0,2.9,3.3,4.9,2.2,2.6,1.1,2.1,0,0,6.8,0,13,0,0,7.4,-0.066684402,-0.302027749,-0.17848034,-0.124857699,-0.410055899,-0.180460431,-0.006848252,-0.105392885,0.138875959,-0.062124725,0.310823217,0.004493282,-0.346068858,-0.395481464,-0.05752846,-0.283220912,-0.143701289,-0.359927918,-0.389083926,-0.156137624,0.281897426,0,0.203530212,0.237740329,0,0.228997338,0.419540217,NA,0.685858524,0.369113995,0.861657105,0.48806338,0,0,0.328229863,0,0.162656153,0,0,0.14804278,4.415327323
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,3.1,0,1.7,2.8,0,2,2.5,4.5,1.9,2.5,0.99,1.9,0,0.82,5.2,0,14,0,0,8.8,-0.166523074,-0.302027749,-0.248933106,-0.116052502,-0.410055899,-0.25152857,-0.108554972,-0.126407019,0.045349797,-0.076321417,0.224657507,-0.041988945,-0.346068858,0.013087493,-0.142232941,-0.283220912,-0.129557276,-0.359927918,-0.389083926,-0.123954411,0.182058754,0,0.133077447,0.246545527,0,0.157929199,0.317833498,NA,0.592332361,0.354917303,0.775491394,0.441581154,0,0.408568957,0.243525382,0,0.176800167,0,0,0.180225993,4.210887135
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,1.9,0,1.1,1.3,0,1.1,2.2,2.9,2,1.7,1,1.6,0,0,3.5,0,6.9,0,0,4.5,-0.236997431,-0.302027749,-0.295901616,-0.248130462,-0.410055899,-0.32259671,-0.146694991,-0.210463553,0.076525184,-0.189894954,0.232490753,-0.111712285,-0.346068858,-0.395481464,-0.232231452,-0.283220912,-0.229979771,-0.359927918,-0.389083926,-0.222802851,0.111584398,0,0.086108936,0.114467566,0,0.086861059,0.279693478,NA,0.623507749,0.241343766,0.783324641,0.371857814,0,0,0.153526871,0,0.076377672,0,0,0.081377553,3.010031502
Des Moines Marina,47.402778,-122.331667,110,27,79,57,5.7,56,33,110,12,33,4.7,17,1.2,8.2,120,3,460,6.4,9.9,270,6.111567521,5.318836073,5.802176668,4.65636448,3.747887575,4.012559795,3.769013699,5.416070738,3.194063929,4.253669679,3.130791924,3.467419171,2.427412636,3.690208109,5.935313558,5.027171185,6.178672666,4.488946648,3.360848775,5.880513606,6.460149349,5.620863823,6.18418722,5.018962508,4.157943474,4.422017564,4.195402168,NA,3.741046494,4.684908399,3.681625812,3.95098927,2.773481494,4.085689573,6.321071881,5.310392097,6.485030108,4.848874566,3.749932702,6.184694009,91.87726251
Discovery Bay,48.064974,-122.857218,2,0,1.5,0.55,0,1.5,0.68,1.8,0,0.83,0,0.44,0,0,2.4,0,6,0,0.44,3.1,-0.231124567,-0.302027749,-0.264589276,-0.314169443,-0.410055899,-0.29101087,-0.339937758,-0.268252421,-0.546982565,-0.313406175,-0.550833887,-0.3813092,-0.346068858,-0.395481464,-0.290465782,-0.283220912,-0.242709383,-0.359927918,-0.222420251,-0.254986064,0.117457261,0,0.117421276,0.048428586,0,0.118446899,0.086450711,NA,0,0.117832545,0,0.102260899,0,0,0.095292541,0,0.06364806,0,0.166663676,0.04919434,1.083096793
Donkey Creek Delta,47.337909,-122.59023,2.5,0.71,3,1.9,0.81,3.9,2,2.9,1.3,1.5,0.74,1.2,0,0.65,5,0,8,0.69,0.75,5.3,-0.201760252,-0.154219849,-0.147168,-0.195299278,0.180809752,-0.101495832,-0.172121671,-0.210463553,-0.141702528,-0.218288338,0.028826347,-0.204676738,-0.346068858,-0.071615827,-0.152821001,-0.283220912,-0.214421356,0.162841371,-0.104998116,-0.204412443,0.146821576,0.147807901,0.234842553,0.16729875,0.590865652,0.307961937,0.254266798,NA,0.405280037,0.212950382,0.579660234,0.27889336,0,0.323865637,0.232937322,0,0.091936087,0.522769289,0.284085811,0.09976796,4.882011285
Eagle Harbor Dr,47.618875,-122.527234,4.9,2.2,9,6.3,1.7,11,4.1,5.7,2.5,3.2,1.2,2.7,0,1.3,8.6,0,16,1.9,1.2,11,-0.060811539,0.155968562,0.322517106,0.192129407,0.830032505,0.459152824,0.094858467,-0.063364618,0.232402122,0.023055428,0.389155682,0.143939962,-0.346068858,0.25224981,0.037764081,-0.283220912,-0.10126925,1.079581719,0.065453371,-0.073380791,0.287770289,0.457996311,0.704527658,0.554727435,1.240088405,0.868610593,0.521246936,NA,0.779384686,0.454294148,0.939989569,0.627510061,0,0.647731274,0.423522404,0,0.205088193,1.439509637,0.454537297,0.230799613,10.83733451
"Eastsound, Fishing Bay",48.69395,-122.909933,3.7,0,3,2,0,3.9,1.8,3.5,0.94,1.7,0,1.2,0,0,6.4,0,14,0,0,7.2,-0.131285896,-0.302027749,-0.147168,-0.186494081,-0.410055899,-0.101495832,-0.197548351,-0.178942353,-0.253933923,-0.189894954,-0.550833887,-0.204676738,-0.346068858,-0.395481464,-0.07870458,-0.283220912,-0.129557276,-0.359927918,-0.389083926,-0.160735226,0.217295933,0,0.234842553,0.176103948,0,0.307961937,0.228840118,NA,0.293048642,0.241343766,0,0.27889336,0,0,0.307053743,0,0.176800167,0,0,0.143445178,2.605629344
Edmonds Ferry,47.8142069,-122.3822018,4,0.74,2.8,1.9,0,2.5,1.6,3.9,0.89,1.5,0,1.1,0,0,4.9,0,12,0,0.76,7.6,-0.113667307,-0.147974445,-0.16282417,-0.195299278,-0.410055899,-0.212046271,-0.222975031,-0.157928219,-0.269521616,-0.218288338,-0.550833887,-0.227917852,-0.346068858,-0.395481464,-0.158115031,-0.283220912,-0.157845303,-0.359927918,-0.101210305,-0.151540022,0.234914522,0.154053305,0.219186382,0.16729875,0,0.197411498,0.203413438,NA,0.277460948,0.212950382,0,0.255652247,0,0,0.227643292,0,0.14851214,0,0.287873622,0.152640381,2.739010908
Edmonds Marina,47.81094,-122.387955,5.7,1.4,3.8,2.5,0.57,4,2.4,5.3,1.2,2.1,0,1.5,0,0.65,7.2,0,16,0,0.89,8.4,-0.013828635,-0.010575551,-0.084543319,-0.142468094,0.005738448,-0.093599372,-0.121268312,-0.084378751,-0.172877915,-0.133108185,-0.550833887,-0.134953398,-0.346068858,-0.071615827,-0.03635234,-0.283220912,-0.10126925,-0.359927918,-0.051968764,-0.133149615,0.334753194,0.291452198,0.297467233,0.220129935,0.415794347,0.315858397,0.305120158,NA,0.374104649,0.298130534,0,0.3486167,0,0.323865637,0.349405983,0,0.205088193,0,0.337115162,0.171030789,4.587933111
Eld Inlet,47.0769,-123.0034725,0.46,0,0.8,0.54,0,0.96,0.55,0.99,0.44,0.69,0.34,0.52,0,0,1.4,0,3.2,0,0.97,1.8,-0.321566658,-0.302027749,-0.319385872,-0.315049962,-0.410055899,-0.333651754,-0.3564651,-0.310806042,-0.40981086,-0.333281544,-0.28450351,-0.362716309,-0.346068858,-0.395481464,-0.343406083,-0.283220912,-0.28231262,-0.359927918,-0.021666278,-0.284870476,0.02701517,0,0.062624681,0.047548066,0,0.075806015,0.069923369,NA,0.137171705,0.097957176,0.266330378,0.120853789,0,0,0.04235224,0,0.024044823,0,0.367417649,0.019309928,1.358354989
Elliot Bay Myrtle Edwards,47.62052,-122.36373,89,26,66,68,7.2,81,49,110,17,41,4.9,24,1.3,11,100,2.5,380,6.3,18,250,4.878266281,5.110655932,4.784525606,5.624936192,4.842083226,5.986674779,5.803148083,5.416070738,4.752833301,5.389405048,3.287456853,5.094297106,2.658536094,5.085321622,4.876507547,4.142105835,5.0471516,4.413182983,6.428975531,5.42075342,5.22684811,5.412683681,5.166536158,5.98753422,5.252139125,6.396132548,6.229536553,NA,5.299815866,5.820643768,3.83829074,5.577867204,3.004604952,5.480803086,5.26226587,4.425326747,5.353509042,4.773110901,6.818059458,5.724933824,101.0506419
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,29,8.1,26,19,3.3,26,15,28,6.9,14,2.8,10,0.76,4.7,30,1.4,83,3.3,4.7,45,1.354548455,1.384231397,1.653291571,1.310389474,1.997174533,1.643621814,1.480612516,1.108173335,1.604119169,1.556298177,1.642475107,1.840541237,1.410469422,1.946316218,1.170686512,2.194962067,0.846379643,2.14027303,1.391187154,0.708211524,1.703130283,1.686259147,2.035302123,1.672987503,2.407230432,2.053079583,1.907000986,NA,2.151101734,1.987536896,2.193308994,2.324111335,1.75653828,2.341797682,1.556444835,2.478182978,1.152737086,2.500200948,1.780271081,1.012391927,36.69961383
Everett Harbor,47.97252,-122.22982,1.8,0,0.98,0.84,0,1.5,1,2.1,0.78,0.8,0,0,0,0,2.9,0,6.9,0,1.3,4.5,-0.242870294,-0.302027749,-0.305295318,-0.28863437,-0.410055899,-0.29101087,-0.29925507,-0.252491821,-0.303814542,-0.317665183,-0.550833887,-0.483570098,-0.346068858,-0.395481464,-0.263995632,-0.283220912,-0.229979771,-0.359927918,0.103331479,-0.222802851,0.105711535,0,0.076715234,0.073963658,0,0.118446899,0.127133399,NA,0.243168022,0.113573537,0,0,0,0,0.121762691,0,0.076377672,0,0.492415405,0.081377553,1.630645605
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,1.2,0,1.2,1.4,0,1.1,2.2,2.9,3,3.4,2.2,4,1.1,1.3,3.4,0,7.4,0,0,4,-0.278107472,-0.302027749,-0.288073531,-0.239325265,-0.410055899,-0.32259671,-0.146694991,-0.210463553,0.388279059,0.051448812,1.172480322,0.446074436,2.196289179,0.25224981,-0.237525482,-0.283220912,-0.222907764,-0.359927918,-0.389083926,-0.234296855,0.070474357,0,0.093937021,0.123272763,0,0.086861059,0.279693478,NA,0.935261623,0.482687532,1.72331421,0.929644534,2.542358036,0.647731274,0.148232841,0,0.083449679,0,0,0.069883548,8.216801955
Filucy Bay,47.19483,-122.748665,0.62,0,0.65,0,0,0.85,0.58,0.95,0,0,0,0,0,0,1.9,0,2.9,0,0,1.6,-0.312170078,-0.302027749,-0.331127999,-0.362598028,-0.410055899,-0.34233786,-0.352651098,-0.312907455,-0.546982565,-0.43123872,-0.550833887,-0.483570098,-0.346068858,-0.395481464,-0.316935932,-0.283220912,-0.286555824,-0.359927918,-0.389083926,-0.289468078,0.036411751,0,0.050882553,0,0,0.067119909,0.073737371,NA,0,0,0,0,0,0,0.068822391,0,0.019801619,0,0,0.014712326,0.33148792
