latitude,longitude,site_name,,,,,,,,,,,,chlordane_index,ddt_index,hch_index,heavy_metal_index,nutrient_metal_index,total_metal_index,pah_lmw_index,pah_hmw_index,pah_add_index,pbde_index,pcb_index
47.3372,-122.58284,Gig Harbor Boat Launch,,,,,,,,,,,,0,1.035648991,0,7.898132251,2.437937698,10.33606995,2.78210724,3.727344365,3.170756869,0,21.76587189
47.570193,-122.971775,Hood Canal Holly,,,,,,,,,,,,0,0,0,4.383534424,1.673693635,6.057228059,2.845569566,0.045875216,5.735440409,0,15.30555999
48.027069,-122.999191,Jamestown,,,,,,,,,,,,0,0,0,7.739782859,1.345817222,9.085600081,2.277632043,0.040423786,2.139119284,0,24.03857658
47.7947,-122.5003,Kingston Marina,,,,,,,,,,,,0,0.883347669,0,10.49679076,1.59646523,12.09325599,1.302350026,0.778271513,2.826775496,0.725741309,9.083836439
47.541533,-122.640383,Kitsap St Boat Launch,,,,,,,,,,,,0,4.224805176,3.270551557,7.536081506,5.501809983,13.03789149,12.56911698,8.099808123,6.540335619,4.562570309,73.72371161
47.3115,-122.68725,Kopachuck State Park,,,,,,,,,,,,0,0.670125818,0,8.251370043,1.361164543,9.612534587,1.240546126,0.245672961,2.474785685,0,13.25082025
47.583016,-122.64217,Lions Park,,,,,,,,,,,,0,1.401172164,0,7.804731057,1.646367368,9.451098424,2.935148797,1.294272453,2.885116225,3.296422016,22.19833782
48.76652,-122.5395,Locust Beach,,,,,,,,,,,,0,2.450692672,0,7.288590387,1.091049831,8.379640218,2.73826912,0.030596212,3.58878615,0,15.52144023
47.579985,-122.67853,Madrona Pont,,,,,,,,,,,,0,1.309791371,0,6.587038565,3.08772696,9.674765525,2.728050368,1.368938272,2.880201763,0.753654436,22.17701154
47.556111,-122.542778,"Manchester, Stormwater Outfall",,,,,,,,,,,,0,1.066109255,0,7.745301558,1.743205567,9.488507126,1.621229448,1.407038279,2.417234596,0.809480691,9.804965173
47.29954,-122.74554,Maple Hollow Park,,,,,,,,,,,,0,0.700586082,0,5.289114438,0.763476722,6.05259116,0.866298445,0.342854715,2.260062948,0,15.10222153
48.018181,-122.699838,Maristone Island,,,,,,,,,,,,0,0.578745024,0,7.455291843,1.844016705,9.299308548,2.352534558,0.024910274,2.177268412,0,21.18755686
47.117944,-122.833528,"Meyer's Point, Henderson Inlet",,,,,,,,,,,,0,0.578745024,0,9.312986437,2.090529538,11.40351597,2.722507703,0.086061389,2.291715796,0,20.57702262
47.443611,-122.361944,Miller Creek,,,,,,,,,,,,2.140380845,1.628618513,0,7.536116186,0.854856355,8.390972541,1.942712138,1.167838825,3.074690966,0,17.19305273
47.35399,-122.69176,Minter Bay,,,,,,,,,,,,0,0.791966875,0,5.103270364,1.599987627,6.703257991,1.300641075,0.346873843,2.395205758,0,12.39972258
47.949831,-122.301703,Mukilteo,,,,,,,,,,,,0,0.913807933,0,10.84157916,2.454716389,13.29629555,4.674498328,1.72686789,4.281886277,1.531529716,14.22586784
48.52108,-122.61531,N Avenue Park,,,,,,,,,,,,0,5.902490115,2.390018445,7.785405728,3.430916964,11.21632269,39.48561448,25.91782327,12.88456248,1.999177955,17.76149665
48.25523,-122.50817,North Camano,,,,,,,,,,,,0,2.419076448,0,8.386260115,1.721518068,10.10777818,4.584046016,0.333855397,3.973702321,0,20.29261215
48.022466,-122.728123,Oak Bay County Park,,,,,,,,,,,,0,0.54828476,0,7.927941805,1.511142629,9.439084434,2.303443384,0.05405697,2.100970156,0,22.32137448
48.218047,-122.712359,Penn Cove Baseline,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
48.214071,-122.719097,Penn Cove Reference,,,,,,,,,,,,0,2.113317844,0,7.14452194,1.286037506,8.430559446,2.219137111,0,2.978995284,0,15.02537926
47.2609094,-122.7447771,Penrose Point State Park,,,,,,,,,,,,0,0.639665553,0,7.558316458,0.612764434,8.171080892,0.987997442,0.101918675,2.082086653,0.6140888,21.36300766
47.3061098,-122.514771,Point Defiance Ferry,,,,,,,,,,,,0,1.659078777,0,7.467503458,3.647746801,11.11525026,6.807867147,0.483049579,3.716617555,1.060698836,13.3146413
48.128267,-123.457133,Port Angeles Yacht Club,,,,,,,,,,,,0,4.145118165,0,6.481131922,1.603390944,8.084522866,22.42258939,5.130767026,11.53068876,0,28.22343974
47.387021,-122.6367,"Purdy, Burley Lagoon",,,,,,,,,,,,0,1.005188726,0,6.606761951,1.227565735,7.834327687,2.830861227,20.3991163,2.646113807,1.425829061,28.09858805
47.385334,-122.628902,"Purdy, Dexters",,,,,,,,,,,,0,0.883347669,0,6.536343532,0.580263461,7.116606993,1.394046151,0.72873434,2.509653142,0,14.77604353
47.32622,-122.66715,Raft Island Park,,,,,,,,,,,,0,0.609205289,0,8.605832388,1.621121594,10.22695398,1.1329325,0.367244374,2.139119284,0,12.63742924
