latitude,longitude,site_name,reporting_area,site_number,p450,sod,shell,ci1,ci2,ci3,weight_initial,weight_change,weight_final,length,height,width,ibr_bio,ibr_morph,ibr_combined,chlordane,ddt,hch,heavy_metal,nutrient_metal,total_metal,pah_lmw,pah_hmw,pah_add,pbde,pcb,pesticide
48.6793778,-122.6300583,Aiston Preserve,7,77,0.711128245,-5.833481218,0.413210544,-0.062305683,-0.033813577,-0.131833629,-0.30588988,-0.312478741,-0.281382962,-0.085830521,-0.147249734,-0.101931032,2.522293083,7.947810073,10.47010316,0,0.913807933,0,10.11160417,1.286763023,11.39836719,1.86765393,0.005649625,2.139119284,0,13.19783118,0
47.50159,-122.38577,Arroyo Beach,11,13,0.984450633,-0.937863382,0.565545597,-0.012980228,-0.076386254,-0.077366443,0.00043657,-0.065689017,0.108902625,-0.00651237,-0.031338969,-0.044733471,1.699972254,6.009459128,7.709431383,5.496493742,1.218410577,0,6.620491767,2.414090673,9.03458244,4.965709481,2.314961583,5.363599564,3.024165668,16.70811458,0
47.2758,-122.4174,Blair Waterway,11,41,0.904075545,-0.697353189,0.390899338,0.027305211,0.040877137,-0.01348867,-0.037769364,-0.035833931,-0.155454942,-0.051992376,-0.020407147,-0.083879026,1.260654622,5.088730234,6.349384857,8.654466903,6.26324646,2.012647112,8.282830359,2.237846406,10.52067676,14.23481608,4.974135826,9.608021663,14.05814798,17.1068985,0
47.2632,-122.3856,Blair Waterway Two,11,42,0.76736796,-1.113028587,0.498449688,-0.067709709,-0.104703926,-0.145317153,-0.378574972,-0.533363235,-0.14504663,-0.128666677,-0.123186299,-0.236099596,1.28822189,10.43808947,11.72631136,0,9.855249892,2.012647112,4.685947408,0.763614778,5.449562187,18.92230897,8.786300782,6.576063172,4.95243102,17.31854006,3.46431662
47.68203,-122.50668,Brackenwood Lane,10,23,-0.329821772,-0.818153192,0.175460551,0.034528587,-0.013834577,-0.145050333,0.045393499,0.09534337,0.101881746,0.06127483,-0.070132795,-0.000548736,1.133828729,4.126246773,5.260075502,0,1.127029784,0,7.149746805,0.805973096,7.955719901,4.698216875,1.573226289,4.914909178,0.949046327,19.27573878,0
47.80934,-122.81556,Broad Spit,12,30,-0.587177124,-0.602400316,0.10596975,-0.00785815,0.011659058,-0.082240432,-0.080813778,-0.093760313,-0.102178226,-0.016739487,-0.049590847,-0.122459091,0.888060191,5.441527054,6.329587244,0,0,0,4.898880653,3.488904464,8.387785117,0.941057984,0.059126699,2.368014052,0,8.463128429,0
47.304906,-122.44427,Browns Point Lighthouse,11,54,2.122004509,-2.694473596,0.453093777,0.128933497,0.006611119,0.011632708,0.010774454,-0.028458246,0.04966835,0.003904535,-0.11651979,-0.061332952,2.137998872,4.99021666,7.128215531,4.414928496,4.523874106,0,7.182151453,1.791750164,8.973901617,5.24726184,2.484056677,4.140664638,0,16.34937702,1.520919492
48.52093,-122.600725,Cap Sante,7,64,0.132164462,0.057282409,0.397829418,0.078093336,-0.026832182,-0.17556505,-0.510831551,-0.565266028,-0.508295221,-0.122132451,-0.252718819,-0.169664328,1.246883248,11.41732228,12.66420553,0,3.005963896,2.138437556,7.703035218,0.989468613,8.692503831,7.813565022,3.304284261,2.201870905,0,13.90623614,0
47.2009,-122.58342,Chambers Bay Park,13,56,0.916539517,-0.168857495,0.777530909,-0.070703205,-0.134824691,-0.299111481,-0.207585411,-0.343161419,0.07115703,-0.023175584,-0.17873413,-0.15009606,1.527073529,9.326547917,10.85362144,0,0.852887404,0,7.099151142,0.74916792,7.848319061,1.391544039,0.93444923,2.578658331,0,11.38149971,1.013946328
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips",7,75,0.769887961,-2.494987847,0.564738671,0.046469845,-0.089371729,-0.201922458,-0.35482636,-0.489401725,-0.079428446,-0.093399075,-0.201059879,-0.228624574,1.27754274,10.25667717,11.53421991,0,1.005188726,1.761066223,6.704010387,1.323529208,8.027539595,3.203084453,3.015825558,2.457858943,0,13.35134807,0
48.04887,-122.7711,Chimacum Creek delta,9,8,0.312454928,-2.404401088,0.57963248,-0.08418084,-0.164338698,-0.117826441,-0.102614763,-0.281971349,0.106515219,-0.069546692,-0.023934894,-0.15594816,1.559678866,7.801742696,9.361421561,0,0,0,7.067089176,9.658848982,16.72593816,2.480227112,0.393581118,2.750401215,0,17.22049271,0
