"site_name","latitude","longitude","mercury","arsenic","cadmium","copper","lead","zinc","z_arsenic","z_cadmium","z_mercury","z_copper","z_lead","z_zinc","ai_z_arsenic","ai_z_cadmium","ai_z_mercury","ai_z_copper","ai_z_lead","ai_z_zinc","heavy_metal_index","nutrient_metal_index","total_metal_index"
"Aiston Preserve",48.6793778,-122.6300583,0.00552,1.21,0.276,0.825,0.0296,12.9,-1.47024195402678,-1.3724253725763,-0.0502869676271404,-0.671631003518226,-0.782501434538362,-0.695260387286404,2.36976540608749,3.94278682830601,3.79905193387522,0.450952245219381,0.0177143397495857,0.818096438522772,10.1116041682687,1.28676302349174,11.3983671917605
"Arroyo Beach",47.50159,-122.38577,0.00612,1.64,0.332,0.956,0.0412,17.7,1.71413031040328,0.976468908116641,0.362653459967992,-0.420249113629976,-0.268785581800379,1.80592617635009,0.814606858342574,1.59389254761307,4.21199236147035,0.19957035533113,0.531430192487569,1.68309012511373,6.62049176742599,2.41409067293243,9.03458244035841
"Blair Waterway",47.2758,-122.4174,0.00561,1.42,0.284,1.02,0.0447,17.3,0.084916593718134,-1.03686904676303,0.0116540965121299,-0.297436587272357,-0.113785108991505,1.59749396271372,0.814606858342576,3.60723050249273,3.86099299801449,0.0767578289735116,0.686430665296442,1.47465791147735,8.2828303588498,2.23784640574731,10.5206767645971
"Blair Waterway Two",47.2632,-122.3856,0,1.39,0.283,1.35,0.0307,14.2,-0.137248913102569,-1.07881358748969,-3.84933890150236,0.335815501759113,-0.733787000227001,-0.0178556929681859,1.03677236516328,3.64917504321939,0,0.556494260057959,0.0664287740609462,0.140691744204554,4.68594740838267,0.763614778323459,5.44956218670613
"Brackenwood Ln",47.68203,-122.50668,0.00633,1.47,0.314,1.05,0.0372,15.3,0.455192438419305,0.221467175036766,0.507182609626288,-0.239868215542224,-0.445928979296235,0.555332894531846,0.444331013641405,2.34889428069294,4.35652151112864,0.0191894572433779,0.354286794991712,0.432496843295478,7.14974680546299,0.805973095530568,7.95571990099356
"Broad Spit",47.80934,-122.81556,0,1.18,0.315,0.774,0.0107,10.4,-1.69240746084748,0.263411715763426,-3.84933890150236,-0.769497235459453,-1.61950398770628,-1.99796172251375,2.59193091290819,2.30694973996628,0,0.548818477160608,0.819288213418335,2.12079777375011,4.89888065287448,3.48890446432906,8.38778511720353
"Browns Point Lighthouse",47.304906,-122.44427,0.0058,1.49,0.301,1.22,0.0459,15.9,0.603302776299773,-0.323811854409811,0.142418565250588,0.0863525575952004,-0.0606420897427478,0.867981214986408,0.296220675760937,2.89417331013952,3.99175746675294,0.307031315894046,0.7395736845452,0.74514516375004,7.1821514526534,1.79175016418929,8.97390161684269
"Cap Sante",48.52093,-122.600725,0.00486,1.27,0.312,0.869,0.0295,13.3,-1.02591094038538,0.137578093583446,-0.504521437981786,-0.587197391647364,-0.786930019475758,-0.486828173650029,1.92543439244609,2.43278336214626,3.34481746352057,0.366518633348518,0.0132857548121892,0.609664224886397,7.70303521811292,0.989468613047104,8.69250383116002
"Chambers Bay Park",47.2009,-122.58342,0.00503,1.39,0.308,0.924,0.0394,14.4,-0.137248913102569,-0.0302000693231926,-0.387521650163165,-0.481655376808785,-0.348500110673514,0.0863604138500021,1.03677236516328,2.6005615250529,3.46181725133919,0.260976618509939,0.451715663614433,0.0364756373863658,7.09915114155537,0.749167919510738,7.84831906106611
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,0.00575,1.38,0.331,0.923,0.0335,12.8,-0.211304082042803,0.934524367389981,0.108006862950994,-0.483574322533123,-0.609786621979902,-0.747368440695497,1.11082753410351,1.63583708833973,3.95734576445335,0.262895564234277,0.190429152308045,0.870204491931865,6.70401038689659,1.32352920847419,8.02753959537078
"Chimacum Creek delta",48.04887,-122.7711,0.00555,1.42,0.312,5.18,0.0496,16.1,0.084916593718134,0.137578093583446,-0.0296399462473834,7.68537762597285,0.103215552940919,0.972197321804596,0.814606858342576,2.43278336214626,3.81969895525497,7.90605638427169,0.903431327228866,0.849361270568228,7.06708917574381,9.65884898206878,16.7259381578126
"Chuckanut, Clark's Point",48.691084,-122.504012,0.00636,1.36,0.29,1.79,0.0431,15.8,-0.359414419923269,-0.785201802403068,0.527829631006045,1.18015162046774,-0.184642467989847,0.815873161577314,1.25893787198398,3.35556325813278,4.3771685325084,1.40083037876659,0.6155733062981,0.693037110340947,8.99166966262516,2.70944079540563,11.7011104580308
"Commencement Bay Skookum",47.28915,-122.4096,0.00523,1.3,0.304,1.03,0.0451,14.2,-0.803745433564674,-0.197978232229832,-0.249874840964787,-0.27824713002898,-0.0960707692419191,-0.0178556929681859,1.70326888562538,2.76833968795954,3.59946406053757,0.0575683717301337,0.704145005046028,0.140691744204554,8.07107263412249,0.902405120980716,8.97347775510321
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,0.00545,1.22,0.267,0.975,0.0451,12.6,-1.39618678508655,-1.74992623911624,-0.0984633508465723,-0.383789144867558,-0.0960707692419191,-0.851584547513685,2.29571023714726,4.32028769484595,3.75087555065578,0.163110386568712,0.704145005046028,0.974420598750053,10.366873482649,1.84167599036479,12.2085494730138
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,0.00554,1.27,0.264,1.66,0.0389,12.3,-1.02591094038538,-1.87575986129622,-0.0365222867073026,0.930688676303828,-0.370643035360496,-1.00790870774097,1.92543439244609,4.44612131702593,3.81281661479505,1.15136743460267,0.429572738927451,1.13074475897733,10.1843723242671,2.71168493250746,12.8960572567745
