"site_name","latitude","longitude","mercury","arsenic","cadmium","copper","lead","zinc","z_arsenic","z_cadmium","z_mercury","z_copper","z_lead","z_zinc","ai_z_arsenic","ai_z_cadmium","ai_z_mercury","ai_z_copper","ai_z_lead","ai_z_zinc","heavy_metal_index","nutrient_metal_index","total_metal_index"
"Des Moines Marina",47.402778,-122.331667,0.0067,1.4,0.323,1.06,0.0457,15.4,-0.0631937441623344,0.598968041576703,0.761829206643287,-0.220678758298846,-0.0694992596175409,0.607440947940939,0.962717196223044,1.971393414153,4.61116810814564,0,0.730716514670407,0.484604896704572,7.54527871852169,1.21532141137498,8.76060012989667
"Discovery Bay",48.064974,-122.857218,0.00596,1.56,0.353,1.03,0.0384,16.9,1.12168895888141,1.85730426337649,0.25253601260929,-0.27824713002898,-0.392785960047478,1.38906174907734,0.222165506820703,0.713057192353215,4.10187491411165,0.0575683717301337,0.407429814240469,1.26622569784098,5.03709761328556,1.73122388381158,6.76832149709714
"Donkey Creek Delta",47.337909,-122.59023,0.00502,1.48,0.321,1.22,0.147,15.4,0.529247607359539,0.515078960123384,-0.394403990623084,0.0863525575952004,4.41665728196502,0.607440947940939,0.370275844701171,2.05528249560632,3.45493491087927,0.307031315894046,5.21687305625296,0.484604896704572,5.88049325118677,6.00850926885158,11.8890025200383
"Eagle Harbor Dr",47.618875,-122.527234,0.00754,1.4,0.317,1.39,0.103,13,-0.0631937441623344,0.347300797216745,1.33994580527647,0.412573330732624,2.4680799095106,-0.64315233387731,0.962717196223044,2.22306065851296,5.18928470677883,0.63325208903147,3.26829568379855,0.765988385113678,8.37506256151484,4.66753615794369,13.0425987194585
"Eastsound, Fishing Bay",48.69395,-122.909933,0.00555,1.67,0.32,1.11,0.0382,16.8,1.93629581722399,0.473134419396724,-0.0296399462473834,-0.124731472081956,-0.401643129922271,1.33695369566825,1.03677236516328,2.09722703633298,3.81969895525497,0.0959472862168896,0.398572644365676,1.21411764443188,6.95369835675123,1.70863757501445,8.66233593176568
"Edmonds Ferry",47.8142069,-122.3822018,0.00645,1.47,0.305,1.23,0.0575,15.7,0.455192438419305,-0.156033691503172,0.589770695145315,0.105542014838578,0.453073762995235,0.76376510816822,0.444331013641405,2.72639514723288,4.43910959664767,0.326220773137424,1.25328953728318,0.640929056931852,7.60983575752196,2.22043936735246,9.83027512487442
"Edmonds Marina",47.81094,-122.387955,0.00904,1.44,0.304,1.49,0.0576,14.2,0.233026931598602,-0.197978232229832,2.3722968742643,0.604467903166404,0.457502347932631,-0.0178556929681859,0.666496520462108,2.76833968795954,6.22163577576666,0.825146661465249,1.25771812222058,0.140691744204554,9.65647198418831,2.22355652789038,11.8800285120787
"Eld Inlet",47.0769,-123.0034725,0.00497,1.54,0.298,1.08,0.0436,16,0.973578621000944,-0.44964547658979,-0.428815692922678,-0.18229984381209,-0.162499543302865,0.920089268395502,0.0740551689402341,3.0200069323195,3.42052320857968,0.0383789144867558,0.637716230985082,0.797253217159134,6.51458530983941,1.47334836263097,7.98793367247038
"Elliot Bay Myrtle Edwards",47.62052,-122.36373,0.00645,1.34,0.295,1.05,0.0467,14.6,-0.507524757803738,-0.575479098769769,0.589770695145315,-0.239868215542224,-0.0252134102435768,0.190576520668189,1.40704820986445,3.14584055449948,4.43910959664767,0.0191894572433779,0.775002364044371,0.0677404694318213,8.9919983610116,0.86193229071957,9.85393065173117
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,0.00581,1.39,0.316,1.58,0.0486,16.5,-0.137248913102569,0.305356256490085,0.149300905710507,0.777173018356805,0.0589297035669549,1.18062953544097,1.03677236516328,2.26500519923962,3.99863980721286,0.99785177665565,0.859145477854902,1.0577934842046,7.30041737161577,2.91479073871515,10.2152081103309
"Everett Harbor",47.97252,-122.22982,0.00653,1.32,0.269,1.02,0.0577,11.5,-0.655635095684206,-1.66603715766292,0.644829418824666,-0.297436587272357,0.461930932870028,-1.42477313501372,1.55515854774492,4.23639861339263,4.49416832032702,0.0767578289735116,1.26214670715798,1.54760918625008,10.2857254814646,2.88651372238157,13.1722392038461
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,0.0066,1.41,0.29,1.54,0.0397,13.6,0.0108614247778998,-0.785201802403068,0.693005802044098,0.700415189383293,-0.335214355861325,-0.330504013422748,0.88866202728281,3.35556325813278,4.54234470354645,0.921093947682139,0.465001418426622,0.453340064659116,8.78656998896204,1.83943543076788,10.6260054197299
"Filucy Bay",47.19483,-122.748665,0.0072,1.38,0.296,0.977,0.0389,13.2,-0.211304082042803,-0.533534558043109,1.10594622963923,-0.379951253418882,-0.370643035360496,-0.538936227059123,1.11082753410351,3.10389601377282,4.95528513114159,0.159272495120037,0.429572738927451,0.661772278295491,9.17000867901792,1.25061751234298,10.4206261913609
"Friday Harbor",48.5069444,-123.0194444,0.006,1.69,0.32,1.26,0.0331,16.8,2.08440615510446,0.473134419396724,0.280065374448966,0.163110386568712,-0.627500961729488,1.33695369566825,1.18488270304374,2.09722703633298,4.12940427595132,0.383789144867558,0.17271481255846,1.21411764443188,7.41151401532805,1.7706216018579,9.18213561718595
"Gig Harbor Boat Launch",47.3372,-122.58284,0.00599,1.36,0.31,1.08,0.0755,13.8,-0.359414419923269,0.0536890121301269,0.273183033989046,-0.18229984381209,1.25021905172659,-0.22628790660456,1.25893787198398,2.51667244359958,4.1225219354914,0.0383789144867558,2.05043482601454,0.349123957840928,7.89813225107496,2.43793769834222,10.3360699494172
"Hood Canal Holly",47.570193,-122.971775,0.00444,1.43,0.356,1.04,0.0131,12.7,0.158971762658368,1.98313788555647,-0.793579737298378,-0.259057672785602,-1.51321794920877,-0.799476494104592,0.740551689402342,0.587223570173236,3.05575916420398,0.0383789144867558,0.713002174920821,0.92231254534096,4.38353442377956,1.67369363474854,6.05722805852809
"Jamestown",48.027069,-122.999191,0.005,1.38,0.294,1.16,0.0275,12.4,-0.211304082042803,-0.617423639496429,-0.408168671542921,-0.0287841858650671,-0.875501718223686,-0.955800654331872,1.11082753410351,3.18778509522614,3.44117022995944,0.191894572433779,0.0752859439357388,1.07863670556824,7.73978285928909,1.34581722193776,9.08560008122684
"Kingston Marina",47.7947,-122.5003,0.00727,1.23,0.292,0.853,0.0331,12.5,-1.32213161614631,-0.701312720949748,1.15412261285866,-0.617900523236768,-0.627500961729488,-0.903692600922779,2.22165506820702,3.27167417667946,5.00346151436102,0.397221764937922,0.17271481255846,1.02652865215915,10.4967907592475,1.59646522965553,12.093255988903
"Kitsap St Boat Launch",47.541533,-122.640383,0.00616,1.59,0.302,1.62,0.0994,17,1.34385446570211,-0.281867313683151,0.390182821807667,0.853930847330316,2.30865085176433,1.44116980248644,0.444331013641405,2.85222876941286,4.23952172331002,1.07460960562916,3.10886662605228,1.31833375125007,7.53608150636429,5.50180998293151,13.0378914892958
"Kopachuck State Park",47.3115,-122.68725,0.00613,1.28,0.318,0.837,0.0266,12.9,-0.951855771445143,0.389245337943405,0.369535800427911,-0.648603654826173,-0.915358982660254,-0.695260387286404,1.85137922350585,2.1811161177863,4.21887470193027,0.427924896527327,0.115143208372307,0.818096438522772,8.25137004322242,1.36116454342241,9.61253458664483
"Lions Park",47.583016,-122.64217,0.00584,1.37,0.308,0.987,0.0558,15.1,-0.285359250983035,-0.0302000693231926,0.169947927090263,-0.360761796175504,0.377787819059496,0.451116787713658,1.18488270304375,2.6005615250529,4.01928682859262,0.140083037876659,1.17800359334744,0.32828073647729,7.80473105668927,1.64636736770139,9.45109842439066
"Locust Beach",48.76652,-122.5395,0.00513,1.47,0.291,1.12,0.041,13.6,0.455192438419305,-0.743257261676408,-0.318698245563976,-0.105542014838578,-0.277642751675172,-0.330504013422748,0.444331013641405,3.31361871740612,3.53064065593838,0.115136743460267,0.522573022612776,0.453340064659116,7.2885903869859,1.09104983073216,8.37964021771806
"Madrona Pont",47.579985,-122.67853,0.00538,1.54,0.303,0.998,0.09,15,0.973578621000944,-0.239922772956491,-0.146639734066004,-0.339653393207789,1.89236386764907,0.399008734304564,0.0740551689402341,2.8102842286862,3.70269916743635,0.118974634908943,2.69257964193701,0.276172683068196,6.58703856506279,3.08772695991415,9.67476552497694
"Manchester, Stormwater Outfall",47.556111,-122.542778,0.00471,1.29,0.305,0.808,0.0427,13.2,-0.877800602504909,-0.156033691503172,-0.607756544880569,-0.704253080831969,-0.202356807739433,-0.538936227059123,1.77732405456562,2.72639514723288,3.24158235662179,0.483574322533123,0.597858966548515,0.661772278295491,7.74530155842029,1.74320556737713,9.48850712579742
"Maple Hollow Park",47.29954,-122.74554,0.00619,1.51,0.349,0.889,0.0249,14,0.751413114180242,1.68952610046985,0.410829843187424,-0.548818477160608,-0.990644926595993,-0.122071799786373,0.148110337880468,0.880835355259854,4.26016874468978,0.328139718861762,0.190429152308045,0.244907851022741,5.2891144378301,0.763476722192548,6.05259116002265
"Maristone Island Bridge",48.018181,-122.699838,0.00464,1.3,0.309,0.869,0.0249,12,-0.803745433564674,0.0117444714034671,-0.655932928100001,-0.587197391647364,-0.990644926595993,-1.16423286796825,1.70326888562538,2.55861698432624,3.19340597340236,0.366518633348518,0.190429152308045,1.28706891920462,7.45529184335398,1.84401670486118,9.29930854821516
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,0.00527,1.17,0.298,0.866,0.0307,11.3,-1.76646262978772,-0.44964547658979,-0.222345479125112,-0.592954228820377,-0.733787000227001,-1.5289892418319,2.66598608184843,3.0200069323195,3.62699342237724,0.372275470521531,0.0664287740609462,1.65182529306827,9.31298643654517,2.09052953765075,11.4035159741959
"Miller Creek",47.443611,-122.361944,0.00678,1.42,0.321,0.873,0.0384,14.3,0.084916593718134,0.515078960123384,0.816887930322637,-0.579521608750012,-0.392785960047478,0.0342523604409086,0.814606858342576,2.05528249560632,4.66622683182499,0.358842850451167,0.407429814240469,0.0885836907954593,7.53611618577389,0.854856355487095,8.39097254126099
"Minter Bay",47.35399,-122.69176,0.00578,1.48,0.352,1.31,0.0412,15.6,0.529247607359539,1.81535972264983,0.128653884330751,0.259057672785602,-0.268785581800379,0.711657054759126,0.370275844701171,0.755001733079875,3.97799278583311,0.479736431084447,0.531430192487569,0.588821003522759,5.10327036361415,1.59998762709477,6.70325799070893
"Mukilteo",47.949831,-122.301703,0.00785,1.26,0.288,1.12,0.0412,11,-1.09996610932561,-0.869090883856387,1.55329835953396,-0.105542014838578,-0.268785581800379,-1.68531340205918,1.99948956138632,3.4394523395861,5.40263726103631,0.115136743460267,0.531430192487569,1.80814945329555,10.8415791620087,2.45471638924339,13.2962955512521
"N Avenue Park",48.52108,-122.61531,0.00641,1.81,0.339,1.02,0.0787,16.7,2.97306818238726,1.27008069320326,0.562241333305639,-0.297436587272357,1.39193376972327,1.28484564225916,2.07354473032655,1.30028076252645,4.411580234808,0.0767578289735116,2.19214954401122,1.16200959102279,7.785405727661,3.43091696400752,11.2163226916685
"North Camano",48.25523,-122.50817,0.00784,1.56,0.304,1.15,0.0457,12.9,1.12168895888141,-0.197978232229832,1.54641601907404,-0.047973643108445,-0.0694992596175409,-0.695260387286404,0.222165506820703,2.76833968795954,5.39575492057639,0.172705115190401,0.730716514670407,0.818096438522772,8.38626011535664,1.72151806838358,10.1077781837402
"Oak Bay County Park",48.022466,-122.728123,0.00594,1.34,0.312,0.912,0.0302,12.2,-0.507524757803738,0.137578093583446,0.238771331689452,-0.504682725500839,-0.755929924913983,-1.06001676115006,1.40704820986445,2.43278336214626,4.08811023319181,0.284003967201993,0.0442858493739641,1.18285281238643,7.92794180520252,1.51114262896239,9.4390844341649
"Penn Cove Reference",48.214071,-122.719097,0.00667,1.44,0.325,0.972,0.0336,12.7,0.233026931598602,0.682857123030023,0.74118218526353,-0.389545982040571,-0.605358037042506,-0.799476494104592,0.666496520462108,1.88750433269969,4.59052108676589,0.168867223741726,0.194857737245442,0.92231254534096,7.14452193992768,1.28603750632813,8.43055944625581
"Penrose Point State Park",47.2609094,-122.7447771,0.00588,1.39,0.311,0.956,0.0254,14,-0.137248913102569,0.0956335528567866,0.197477288929939,-0.420249113629976,-0.968502001909011,-0.122071799786373,1.03677236516328,2.47472790287292,4.0468161904323,0.19957035533113,0.168286227621063,0.244907851022741,7.5583164584685,0.612764433974935,8.17108089244343
"Point Defiance Ferry",47.3061098,-122.514771,0.00501,1.48,0.283,1.27,0.0727,17,0.529247607359539,-1.07881358748969,-0.401286331083003,0.18229984381209,1.12621867347949,1.44116980248644,0.370275844701171,3.64917504321939,3.44805257041935,0.402978602110936,1.92643444776744,1.31833375125007,7.46750345833992,3.64774680112844,11.1152502594684
"Port Angeles Yacht Club",48.128267,-123.457133,0.00481,1.47,0.305,1.22,0.044,15.7,0.455192438419305,-0.156033691503172,-0.53893314028138,0.0863525575952004,-0.14478520355328,0.76376510816822,0.444331013641405,2.72639514723288,3.31040576122098,0.307031315894046,0.655430570734668,0.640929056931852,6.48113192209526,1.60339094356057,8.08452286565583
"Purdy, Dexters",47.385334,-122.628902,0.00669,1.57,0.331,1.01,0.0339,15,1.19574412782165,0.934524367389981,0.754946866183367,-0.316626044515735,-0.592072282230316,0.399008734304564,0.296220675760937,1.63583708833973,4.60428576768572,0.0959472862168895,0.208143492057631,0.276172683068196,6.53634353178639,0.580263461342717,7.1166069931291
"Purdy, Burley Lagoon",47.387021,-122.6367,0.00614,1.54,0.315,1.12,0.0422,15.5,0.973578621000944,0.263411715763426,0.37641814088783,-0.105542014838578,-0.224499732426415,0.659549001350033,0.0740551689402341,2.30694973996628,4.22575704239019,0.115136743460267,0.575716041861533,0.536712950113665,6.6067619512967,1.22756573543547,7.83432768673217
"Raft Island Park",47.32622,-122.66715,0.00525,1.19,0.311,1.14,0.0321,11.9,-1.61835229190725,0.0956335528567866,-0.236110160044949,-0.0671631003518229,-0.671786811103452,-1.21634092137734,2.51787574396796,2.47472790287292,3.61322874145741,0.153515657947023,0.128428963184496,1.33917697261371,8.60583238829829,1.62112159374523,10.2269539820435
"Reach Island",47.346817,-122.822363,0.00417,1.56,0.341,1.51,0.0265,17.7,1.12168895888141,1.35396977465658,-0.979402929716188,0.642846817653159,-0.91978756759765,1.80592617635009,0.222165506820703,1.21639168107313,2.86993597178617,0.863525575952005,0.119571793309703,1.68309012511373,4.30849315968,2.66618749437543,6.97468065405544
"Rich Passage",47.578117,-122.524833,0.00581,1.49,0.301,1.25,0.0534,15.7,0.603302776299773,-0.323811854409811,0.149300905710507,0.143920929325334,0.271501780561982,0.76376510816822,0.296220675760937,2.89417331013952,3.99863980721286,0.36459968762418,1.07171755484993,0.640929056931852,7.18903379311332,2.07724629940596,9.26628009251928
"Rocky Point",47.60253,-122.66991,0.00575,1.46,0.336,1.03,0.0692,17,0.381137269479071,1.14424707102328,0.108006862950994,-0.27824713002898,0.971218200670614,1.44116980248644,0.518386182581639,1.42611438470643,3.95734576445335,0.0575683717301337,1.77143397495856,1.31833375125007,5.90184633174142,3.14733609793877,9.04918242968018
"South of Skunk Island",48.02655,-122.75089,0.00502,1.4,0.306,0.998,0.0809,13.3,-0.0631937441623344,-0.114089150776512,-0.394403990623084,-0.339653393207789,1.48936263834599,-0.486828173650029,0.962717196223044,2.68445060650622,3.45493491087927,0.118974634908943,2.28957841263394,0.609664224886397,7.10210271360854,3.01821727242928,10.1203199860378
"Salmon Bay, Commodore Park",47.666244,-122.401894,0.00533,1.04,0.264,1.02,0.0751,10.9,-2.72917982601076,-1.87575986129622,-0.181051436365599,-0.297436587272357,1.232504711977,-1.73742145546828,3.62870327807147,4.44612131702593,3.66828746513676,0.0767578289735116,2.03272048626495,1.86025750670465,11.7431120602342,3.96973582194311,15.7128478821773
"Salmon Beach",47.294692,-122.530504,0.00426,1.41,0.328,0.854,0.0335,14.2,0.0108614247778998,0.808690745210002,-0.917461865576918,-0.61598157751243,-0.609786621979902,-0.0178556929681859,0.88866202728281,1.76167071051971,2.93187703592544,0.395302819213585,0.190429152308045,0.140691744204554,5.58220977372796,0.726423715726184,6.30863348945414
"Seattle Aquarium, Pier 59",47.607334,-122.344055,0.00632,1.42,0.319,1.25,0.0673,13.7,0.084916593718134,0.431189878670064,0.50030026916637,0.143920929325334,0.887075086860082,-0.278395960013655,0.814606858342576,2.13917157705964,4.34963917066873,0.36459968762418,1.68729086114803,0.401232011250022,7.30341760607095,2.45312256002223,9.75654016609318
"Shilshole Bay",47.6707,-122.40605,0.00618,1.18,0.226,1.17,0.0608,11.3,-1.69240746084748,-3.46965240890929,0.403947502727505,-0.00959472862168917,0.599217065929316,-1.5289892418319,2.59193091290819,6.040013864639,4.25328640422986,0.211084029677157,1.39943284021726,1.65182529306827,12.8852311817771,3.26234216296269,16.1475733447397
"Silverdale, Dyes Inlet",47.6428,-122.6967,0.00624,1.51,0.296,1.25,0.0745,13.1,0.751413114180242,-0.533534558043109,0.445241545487018,0.143920929325334,1.20593320235262,-0.591044280468217,0.148110337880468,3.10389601377282,4.29458044698937,0.36459968762418,2.00614897664057,0.713880331704585,7.54658679864266,3.08462899596934,10.631215794612
"Skiff Point",47.6614139,-122.498892,0.007,1.57,0.337,1.11,0.0396,16.5,1.19574412782165,1.18619161174994,0.968299420440853,-0.124731472081956,-0.339642940798721,1.18062953544097,0.296220675760937,1.38416984397977,4.81763832194321,0.0959472862168896,0.460572833489226,1.0577934842046,6.49802884168391,1.61431360391072,8.11234244559463
"Smith Cove, Terminal 91",47.6325,-122.3786,0.00548,1.43,0.296,1.29,0.0931,18.5,0.158971762658368,-0.533534558043109,-0.0778163294668159,0.220678758298846,2.02965000070835,2.22279060362284,0.740551689402342,3.10389601377282,3.77152257203554,0.441357516597692,2.8298657749963,2.09995455238648,7.6159702752107,5.37117784398047,12.9871481191912
"Squaxin Island",47.176735,-122.905337,0.00508,1.29,0.359,1,0.0285,14,-0.877800602504909,2.10897150773645,-0.35310994786357,-0.335815501759113,-0.831215868849722,-0.122071799786373,1.77732405456562,0.461389947993257,3.49622895363879,0.115136743460267,0.0310000945617748,0.244907851022741,5.73494295619766,0.391044689044783,6.12598764524244
"Suquamish Stormwater Outfall",47.729875,-122.550882,0.00543,1.44,0.314,1.06,0.0346,13.7,0.233026931598602,0.221467175036766,-0.11222803176641,-0.220678758298846,-0.561072187668542,-0.278395960013655,0.666496520462108,2.34889428069294,3.73711086973595,0,0.239143586619406,0.401232011250022,6.752501670891,0.640375597869428,7.39287726876042
"Thea Foss Waterway",47.25934,-122.43479,0.0041,1.21,0.31,1.47,0.0743,14,-1.47024195402678,0.0536890121301269,-1.02757931293562,0.566088988679648,1.19707603247783,-0.122071799786373,2.36976540608749,2.51667244359958,2.82175958856674,0.786767746978493,1.99729180676578,0.244907851022741,7.70819743825381,3.02896740476701,10.7371648430208
"Three Tree Point",47.4485721,-122.3723967,0.0051,1.47,0.303,1.05,0.0325,15,0.455192438419305,-0.239922772956491,-0.339345266943732,-0.239868215542224,-0.654072471353866,0.399008734304564,0.444331013641405,2.8102842286862,3.50999363455862,0.0191894572433779,0.146143302934081,0.276172683068196,6.76460887688623,0.441505443245656,7.20611432013188
"Tulalip Bay",48.0616613,-122.293939,0.00661,1.41,0.315,1.2,0.0421,11.1,0.0108614247778998,0.263411715763426,0.699888142504017,0.0479736431084446,-0.228928317363811,-1.63320534865009,0.88866202728281,2.30694973996628,4.54922704400637,0.26865240140729,0.571287456924136,1.75604139988646,7.74483881125547,2.59598125821789,10.3408200694734
"Tulalip Reservation",48.069978,-122.300216,0.0051,1.27,0.301,0.96,0.033,11.2,-1.02591094038538,-0.323811854409811,-0.339345266943732,-0.412573330732625,-0.631929546666884,-1.581097295241,1.92543439244609,2.89417331013952,3.50999363455862,0.191894572433779,0.168286227621063,1.70393334647737,8.32960133714423,2.06411414653221,10.3937154836764
"West Bay Park",47.052373,-122.9101963,0.00494,1.28,0.289,1.03,0.0316,12.2,-0.951855771445143,-0.827146343129727,-0.449462714302435,-0.27824713002898,-0.693929735790434,-1.06001676115006,1.85137922350585,3.39750779885944,3.39987618719992,0.0575683717301337,0.106286038497514,1.18285281238643,8.64876320956521,1.34670722261408,9.99547043217929
"Williams Olson Park",47.6609,-122.5668,0.00539,1.5,0.291,1.78,0.0611,15.2,0.677357945240007,-0.743257261676408,-0.139757393606086,1.16096216322436,0.612502820741506,0.503224841122751,0.222165506820703,3.31361871740612,3.70958150789627,1.38164092152321,1.41271859502945,0.380388789886383,7.24536573212309,3.17474830643904,10.4201140385621
"Penn Cove Baseline",48.218626,-122.707972,0,1.53,0.37,1.06,0.0292,14.47,0.89952345206071,2.57036145572971,-3.84933890150236,-0.220678758298846,-0.800215774287947,0.122836051236368,0,0,0,0,0,0,0,0,0
