"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","4","ci3","mercury",0.636363636363636,0.0479117261299753
NA,NA,NA,NA,NA,NA
"hc4","4","shell","copper",-0.636363636363636,0.0479117261299753
NA,NA,NA,NA,NA,NA
"hc4","1","p450","mercury",0.506854838709677,0.00361569694906461
NA,NA,NA,NA,NA,NA
"hc4","1","sod","arsenic",-0.487903225806452,0.00536332385276017
"hc4","1","sod","cadmium",-0.356048387096774,0.0493111750347095
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","2","sod","copper",0.458461538461538,0.0211704808451656
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","3","p450","mercury",-0.952380952380952,0.000260400024387319
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
