sample_id,site_number,latitude,longitude,p450,sod,shell,ci1,ci2,ci3,site_name,reporting_area,km4,km5,hc4,hc5,p16,p42,phmw,plmw,pcb,p450_outlier,sod_outlier,ci1_outlier,ci2_outlier,ci3_outlier,shell_outlier
23,68,47.8111,-122.388,52691211,23.271,0.865,0.033,0.662,0.05,Edmonds Marina,9,4,1,2,2,5,4,5,4,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
24,68,47.8111,-122.388,NA,13.708,0.645,0.031,0.703,0.048,Edmonds Marina,9,4,1,2,2,5,4,5,4,3,NA,FALSE,FALSE,FALSE,FALSE,FALSE
25,74,48.68975,-122.50434,4394757,2.552,0.985,0.034,0.667,0.055,"Chuckanut, Clark's Point",7,2,4,4,4,2,2,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,74,48.68975,-122.50434,2351039,8.472,0.8,0.037,0.708,0.067,"Chuckanut, Clark's Point",7,2,4,4,4,2,2,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,74,48.68975,-122.50434,3154062,13.731,0.475,0.032,0.729,0.042,"Chuckanut, Clark's Point",7,2,4,4,4,2,2,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,74,48.68975,-122.50434,1063513,20.089,0.65,0.032,0.657,0.056,"Chuckanut, Clark's Point",7,2,4,4,4,2,2,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,14,47.58766,-122.35065,6895113,1.234,0.785,0.034,0.657,0.044,"Elliott Bay, Harbor Island, Pier 17",10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,14,47.58766,-122.35065,12184393,6.551,0.66,0.034,0.668,0.045,"Elliott Bay, Harbor Island, Pier 17",10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,14,47.58766,-122.35065,8570642,13.24,1.04,0.036,0.631,0.047,"Elliott Bay, Harbor Island, Pier 17",10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,14,47.58766,-122.35065,9121683,0.975,0.94,0.033,0.657,0.05,"Elliott Bay, Harbor Island, Pier 17",10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,75,48.8208,-122.7101,4058830,3.411,0.705,0.034,0.656,0.049,"Cherry Point Aquatic Reserve, Conoco Phillips",7,2,4,4,4,3,3,4,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,75,48.8208,-122.7101,2992400,9.761,0.86,0.035,0.667,0.045,"Cherry Point Aquatic Reserve, Conoco Phillips",7,2,4,4,4,3,3,4,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,75,48.8208,-122.7101,3977529,0.821,0.935,0.035,0.676,0.057,"Cherry Point Aquatic Reserve, Conoco Phillips",7,2,4,4,4,3,3,4,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
