"site_name","p450","sod","ci1","ci2","ci3","shell","latitude","longitude","site_number","reporting_area","km4","km5","hc4","hc5","p16","p42","plmw","phmw","pcb"
"Rocky Point",9469801.25,9.8955,0.034,0.71425,0.0615,0.68875,47.60255,-122.66992,27,"10","4","1","2","2","3","3","3","3","5"
"S of Skunk Island",4092598.33333333,10.11125,0.034,0.71075,0.0585,0.78625,48.02667,-122.75076,9,"9","3","5","3","3","3","2","2","3","1"
"Salmon Bay, Commodore Park",4444677.5,3.79425,0.03425,0.71825,0.05725,0.7075,47.6663,-122.4018,16,"10","4","1","2","2","5","5","5","6","5"
"Salmon Beach",1550935.33333333,7.299625,0.03325,0.684,0.054,0.86375,47.29464,-122.53053,40,"11","1","2","1","1","4","4","3","5","3"
"Seattle Aquarium, Pier 59",3037049.5,15.6175,0.0365,0.704,0.05075,0.8425,47.607,-122.342,17,"10","4","1","2","2","5","5","5","6","5"
"Shilshole Bay",2710238.75,9.90675,0.03225,0.7285,0.053,0.55625,47.671678,-122.406663,18,"10","4","1","2","2","5","5","5","6","5"
"Silverdale, Dyes Inlet",1419996,28.254,0.0345,0.698,0.05875,0.6875,47.6427936,-122.6967068,35,"10","4","1","2","2","3","3","3","4","5"
"Skiff Point",5612257.75,4.779,0.0335,0.70725,0.053,0.55875,47.66142,-122.49884,24,"10","4","1","2","2","4","4","4","4","1"
"Smith Cove, Terminal 91",3958466.25,7.5955,0.03575,0.701,0.06275,0.74,47.63237,-122.37869,15,"10","4","1","2","2","5","5","5","6","5"
"Squaxin Island",6185908.75,6.574125,0.03475,0.68175,0.055,0.85625,47.17650485,-122.9046464,38,"13","1","3","1","1","2","2","1","2","2"
"Suquamish Stormwater Outfall",3575218.5,5.81925,0.02825,0.665,0.0595,1.02125,47.7296079,-122.5506191,34,"10","4","1","2","2","4","4","4","4","4"
"Thea Foss Waterway",3660950,11.7874,0.0292,0.6148,0.0448,0.897,47.259189,-122.434689,46,"11","1","2","1","1","5","5","5","6","5"
"Three Tree Point",7868514.75,7.91575,0.03475,0.7265,0.0605,0.8125,47.44896,-122.372267,22,"11","4","2","1","1","3","3","3","3","3"
"Tulalip Bay",5438866.5,6.25383333333333,0.0338333333333333,0.709333333333333,0.0546666666666667,0.874166666666667,48.0617,-122.2939,67,"8.2","4","1","2","2","4","3","3","4","2"
"Tulalip Reservation",5097254.75,3.952125,0.03225,0.68925,0.049,0.78375,48.0697859,-122.2997764,70,"8.2","4","1","2","2","3","2","2","3","1"
"West Bay Park",8508351.5,4.628,0.03275,0.68675,0.05625,0.7725,47.052362,-122.910912,73,"13","1","3","1","1","3","3","3","4","4"
"Williams Olson Park",3067078.5,6.457625,0.034,0.6875,0.05125,0.67125,47.66586,-122.56698,26,"10","4","1","2","2","3","2","2","4","3"
