latitude,longitude,site_name,p450,sod,ci1,ci2,ci3,shell,site_number,reporting_area,km4,km5,hc4,hc5,p16,p42,plmw,phmw,pcb,sum40CB,sumBDE,sumCHLD,sumDDT,sumHCH,sumPCB,hmwPAH,lmwPAH,sumPAH,sum16PAH,sum42PAH
48.6793778,-122.6300583,Aiston Preserve,4712860.25,3.440125,0.033,0.69325,0.0525,0.81125,77,7,2,4,4,4,1,1,1,1,1,23.1332244,-1.095784314,-1.095784314,1.82630719,-0.913153595,28.00337691,19.48061002,79.13997821,97.40305011,31.65599129,97.40305011
47.50161,-122.38593,Arroyo Beach,4750942.667,6.83175,0.032,0.665833333,0.0525,0.87,13,11,4,2,1,1,3,3,3,4,3,34.81930759,5.643129161,3.121731025,2.401331558,-1.14063249,49.22729694,186.1031957,216.1198402,408.2263648,168.0932091,408.2263648
47.27568,-122.4173,Blair Waterway,4337758.5,6.51775,0.03425,0.71225,0.05875,0.83875,41,11,1,2,1,1,4,4,5,5,3,37.4048874,15.95208433,4.345567801,9.901293723,0.880114998,50.60661236,280.5366555,456.559655,715.0934356,247.5323431,715.0934356
47.2632444,-122.385731,Blair Waterway #2,4425866.25,10.796,0.03175,0.64725,0.052,0.8575,42,11,1,2,1,1,4,5,5,6,4,42.15557164,9.164254703,-1.710660878,17.71755909,0.977520502,54.98552822,403.2272069,610.9503136,1038.615533,299.3656536,1038.615533
47.68234,-122.5064,Brackenwood Ln,1773623.75,7.573125,0.0345,0.693,0.0525,0.67125,23,10,4,1,2,2,3,3,3,4,2,29.49750312,2.005830212,-1.592865169,2.182815231,-1.297890137,44.24625468,176.9850187,212.3820225,389.3670412,176.9850187,389.3670412
47.78184,-122.83474,Broad Spit (Fisherman's Point),2286051.5,7.116,0.03425,0.71025,0.052,0.66375,30,12,3,5,1,1,1,1,1,1,2,23.4427694,-1.272607482,-1.272607482,-1.272607482,-1.071669458,30.14070352,18.75421552,107.1669458,127.2607482,35.49905081,127.2607482
47.30515,-122.44441,Browns Point Lighthouse,8047751.75,2.3115,0.0365,0.6985,0.057,0.84875,54,11,1,2,1,1,3,4,4,4,3,40.36969844,7.020817121,2.340272374,8.190953307,-0.936108949,53.2411965,181.3711089,257.4299611,438.80107,175.520428,438.80107
48.520971,-122.600717,Cap Sante,4611059.25,18.5045,0.033,0.68525,0.0485,0.79,64,7,2,4,4,4,1,3,4,3,1,22.28248175,-1.400613139,-1.336948905,6.175430657,1.082291971,29.28554745,120.9620438,254.6569343,375.6189781,63.66423358,375.6189781
47.1905742,-122.5834897,Chambers Bay Park,8752275,11.61675,0.03125,0.63375,0.047,1.05625,56,13,1,2,1,1,2,2,1,2,3,35.39182283,5.898637138,-0.825809199,1.651618399,-0.707836457,45.41950596,76.68228279,106.1754685,182.8577513,70.78364566,182.8577513
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",3716200,3.864,0.0345,0.6565,0.0505,0.86875,75,7,2,4,4,4,3,3,3,4,2,30.18340975,-1.026235932,-1.026235932,1.992105044,0.845135473,39.23843268,150.9170488,169.0270946,325.9808253,126.770321,325.9808253
48.04906,-122.7724,Chimacum Creek delta,2641298.75,1.903875,0.03225,0.63525,0.052,0.90375,8,9,3,5,3,3,2,2,2,1,1,22.46124402,-1.559808612,-1.559808612,-1.559808612,-1.310239234,29.32440191,56.77703349,112.3062201,168.4593301,68.63157895,168.4593301
48.68975,-122.50434,"Chuckanut, Clark's Point",2740842.75,11.211,0.03375,0.69025,0.055,0.7275,74,7,2,4,4,4,2,2,2,2,1,22.37880299,-1.319775561,-1.319775561,4.418379052,-1.090249377,31.55985037,74.59600998,131.9775561,206.5735661,80.33416459,206.5735661
47.29,-122.41,Comm Bay Skookum,5760190,9.0745,0.0325,0.66725,0.053,0.755,45,11,1,2,1,1,5,5,5,5,5,72.54244527,12.53005873,5.539604912,27.69802456,-1.384901228,92.32674853,369.3069941,461.6337427,857.3198078,342.9279231,857.3198078
47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",3676585,14.00875,0.03475,0.70825,0.05225,0.8325,48,11,1,2,1,1,5,4,5,5,5,71.61674528,11.06804245,4.817853774,24.74033019,-0.976591981,84.6379717,338.5518868,442.7216981,781.2735849,332.0412736,781.2735849
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",7394026.6,8.1685,0.0356,0.6736,0.0534,0.821,49,11,1,2,1,1,4,4,4,4,4,47.11320755,10.09568733,6.528544474,8.076549865,-1.076873315,56.53584906,215.3746631,390.3665768,599.0107817,195.1832884,599.0107817
47.40301418,-122.3305538,Des Moines Marina,8935555.25,8.79275,0.03225,0.653,0.049,0.995,21,11,4,2,1,1,5,5,5,6,4,44.10207278,5.083988945,1.347563335,20.21345002,-1.102551819,55.12759097,8575.40304,6125.287886,14700.69093,9800.460617,15313.21971
48.064957,-122.857524,Discovery Bay,3982486.25,9.3325,0.03375,0.68325,0.059,0.79375,12,6,3,5,3,3,2,2,2,3,1,11.76769062,-0.894344487,-0.894344487,1.035556775,-0.7531322,16.94547449,98.84860121,136.5052112,235.3538124,117.6769062,235.3538124
47.33775,-122.59014,Donkey Creek Delta,2884111.333,2.500625,0.03475,0.71175,0.052,0.73375,44,11,1,2,1,1,4,4,4,5,5,79.34532374,1.520785372,-1.05793765,2.578723022,-0.859574341,105.793765,284.3207434,238.0359712,522.3567146,257.8723022,522.3567146
47.61889,-122.5275,Eagle Harbor Dr,1846400.75,12.60975,0.04425,0.70175,0.058,0.8925,31,10,4,1,2,2,5,5,4,6,5,75.62081558,2.131132075,-1.512416312,4.605995131,-1.237431528,103.119294,653.0888618,364.3548387,1031.19294,577.4680463,1031.19294
48.69368,-122.90985,"Eastsound, Fishing Bay",3018580.5,7.731875,0.03225,0.68475,0.0495,0.465,60,7,2,4,4,4,4,4,4,5,1,15.98105437,2.975782537,-1.3776771,1.3776771,-1.157248764,24.79818781,270.0247117,242.4711697,512.4958814,292.0675453,518.0065898
47.81407,-122.3825,Edmonds Ferry,8264243.75,0.206375,0.0385,0.703,0.057,0.69,69,9,4,1,2,2,4,4,4,5,3,35.66219626,5.261635514,-1.227714953,2.280042056,-0.993864486,47.93934579,268.9280374,257.235514,532.0098131,268.9280374,526.1635514
47.8111,-122.388,Edmonds Marina,20688193,13.85375,0.034,0.69675,0.0515,0.765,68,9,4,1,2,2,5,4,4,5,3,40.99944598,8.785595568,-0.937130194,3.572808864,0.585706371,52.71357341,374.8520776,304.567313,702.8476454,374.8520776,702.8476454
47.074603,-123.003527,Eld Inlet,9802343.25,9.86125,0.034,0.7155,0.06225,0.7075,72,13,1,3,1,1,1,2,1,2,2,31.10215962,-1.233361502,-1.233361502,1.447859155,-1.01886385,42.36328638,75.0741784,96.52394366,171.5981221,64.34929577,171.5981221
47.61862,-122.36108,Elliot Bay Myrtle Edwards,2435519.6,11.726,0.035,0.6948,0.0582,0.824,19,10,4,1,2,2,5,5,5,6,5,120.784217,6.173415536,-1.409149199,22.81479655,-1.20784217,140.9149199,9394.32799,3220.912454,12078.4217,8052.281134,12078.4217
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",9192957.75,5.5,0.03425,0.65325,0.0465,0.85625,14,10,4,1,2,2,5,5,5,6,5,108.4074684,4.393355299,-1.369357496,10.27018122,1.027018122,136.9357496,2054.036244,1141.131247,3195.16749,1882.866557,3195.16749
47.9726,-122.22977,Everett Harbor,5813892.75,2.31775,0.0345,0.65825,0.04925,0.77625,66,8.2,4,1,2,2,3,3,3,4,3,34.61857305,1.86407701,-1.464631937,1.86407701,-1.2649094,46.60192525,166.4354473,206.3799547,372.815402,173.0928652,372.815402
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",3204999,11.87725,0.03725,0.712,0.05525,0.7625,63,7,2,4,4,4,3,4,5,5,1,22.89475632,-2.035089451,-2.035089451,12.08334362,-1.717106724,26.71054904,254.3861814,438.8161629,699.5619988,165.3510179,699.5619988
47.19483,-122.748665,Filucy Bay,10877772,5.009,0.037,0.6525,0.04575,0.85625,59,13,1,3,1,1,1,1,1,1,4,41.51647184,1.364112646,-1.126875664,1.601349628,-0.948947928,54.56450584,59.30924548,88.96386823,148.2731137,65.24017003,148.2731137
48.5069444,-123.0194444,Friday Harbor,5444136.6,6.7096,0.0328,0.6726,0.0458,0.75,61,7,2,4,4,4,5,4,3,5,1,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056,25.69463647,319.6162098,206.8104887,532.693683,338.4171633,532.693683
47.33785,-122.58277,Gig Harbor Boat Launch,3843185.75,14.972,0.03025,0.62675,0.05225,0.965,58,11,1,2,1,1,4,4,3,5,4,55.40913758,1.723839836,-1.231314168,2.093234086,-1.046617043,73.8788501,246.2628337,172.3839836,418.6468172,233.949692,418.6468172
47.5706,-122.9717,Hood Canal Holly,788015,1.640416667,0.034333333,0.689833333,0.054833333,0.676666667,29,12,3,3,1,1,1,1,2,1,1,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687,25.26912442,11.61013825,109.2718894,116.1013825,24.58617512,88.78341014
48.024789,-122.998135,Jamestown,3175079,7.752666667,0.033833333,0.7035,0.054833333,0.573333333,2,6,3,5,3,3,1,1,1,1,2,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655,39.11015096,15.24633004,106.0614263,119.3191046,31.15554399,119.3191046
47.794695,-122.499858,Kingston Marina,5460804.75,4.371,0.03125,0.63675,0.04825,0.81125,36,10,4,1,2,2,3,2,2,3,3,36.40146214,1.690067885,-1.235049608,1.885075718,-1.040041775,49.40198433,123.5049608,149.5060052,273.0109661,123.5049608,273.0109661
47.54167,-122.64034,Kitsap St Boat Launch,2852984.25,10.748,0.033,0.71075,0.05175,0.8325,25,10,4,1,2,2,4,4,5,5,5,116.3306549,7.080996384,-1.163306549,7.080996384,1.315042186,146.6777822,354.0498192,419.8019285,758.678184,303.4712736,758.678184
47.30973,-122.68868,Kopachuck State Park,7013734.75,4.72575,0.4115,0.6895,0.63125,0.7775,52,13,1,3,1,1,1,1,1,1,2,31.71267874,1.48442326,-1.079580553,1.48442326,-0.877159199,43.18322212,53.97902765,87.71591992,141.6949476,59.37693041,141.6949476
47.5833538,-122.6414587,Lions Park,6373166.5,10.424,0.0275,0.678,0.05375,0.75,37,10,4,1,2,2,2,2,2,3,5,58.57672322,6.515837752,-1.579597031,3.027560976,-1.316330859,85.56150583,131.6330859,157.9597031,289.592789,118.4697773,289.592789
48.77636877,-122.5378679,Locust Beach,2368800.25,6.15025,0.03275,0.731,0.047,0.6875,76,7,2,4,4,4,1,1,2,1,1,20.48069984,-1.472050301,-1.472050301,4.352148715,-1.216041553,28.80098414,27.5209404,121.6041553,147.2050301,46.08157463,147.2050301
47.57995505,-122.6786,Madrona Pont,7017559.75,4.52025,0.032,0.66025,0.0455,0.805,28,10,4,1,2,2,2,2,2,3,4,53.0332314,1.627155963,-1.265565749,2.591396534,-1.024505607,72.31804281,120.5300714,138.6095821,259.1396534,108.4770642,259.1396534
47.55622,-122.54281,"Manchester, Stormwater Outfall",7715455.75,3.407625,0.03425,0.73075,0.062,0.60625,33,10,4,1,2,2,3,3,3,4,3,41.04681746,1.983929511,-1.368227249,2.394397685,-1.162993161,55.41320358,171.0284061,198.3929511,369.4213572,171.0284061,369.4213572
47.30008,-122.74566,Maple Hollow Park,13508380.33,4.6215,0.0365,0.71025,0.05425,0.775,51,13,1,3,1,1,2,2,2,2,3,35.98765432,1.57037037,-1.177777778,1.504938272,-0.981481481,49.07407407,64.77777778,111.2345679,176.6666667,71.97530864,176.6666667
48.018127,-122.699524,Maristone Island,4711148.333,5.722,0.033666667,0.7255,0.055666667,0.699166667,11,9,3,5,3,3,1,1,2,1,2,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148,36.68872686,23.98878295,112.8883904,134.0549635,41.62759394,134.0549635
47.11795,-122.83359,Meyer's Point - Henderson Inlet,2252669.75,15.21175,0.036,0.7025,0.05625,0.78875,71,13,1,3,1,1,1,2,2,1,4,49.06902985,-1.338246269,-1.338246269,1.412593284,-1.115205224,56.50373134,52.7863806,148.6940299,200.7369403,66.16884328,200.7369403
47.4436,-122.360316,Miller Creek,15899206.5,4.015375,0.0345,0.6955,0.05575,0.82125,20,11,4,2,1,1,2,2,3,3,4,43.84752475,4.384752475,1.270942746,3.685733965,-1.016754197,54.01506672,120.7395609,171.5772708,292.3168317,114.3848472,285.962118
47.3539722,-122.69175,Minter Bay,8029787,5.00975,0.03675,0.6505,0.051,0.9175,55,13,1,3,1,1,2,1,1,2,2,31.57959184,2.894795918,-1.25002551,1.710561224,-1.052653061,42.10612245,65.79081633,98.68622449,164.4770408,78.94897959,164.4770408
47.94968,-122.30158,Mukilteo,8713508,7.6065,0.03275,0.699,0.05075,0.79125,65,8.2,4,1,2,2,4,4,4,4,2,31.07277406,2.977807514,-1.229963973,1.942048379,-1.035759135,42.07771487,194.2048379,245.9927946,440.1976325,207.1518271,440.1976325
