site_name,site_number,reporting_area,pcb_group,pah_group,latitude,longitude,geo_group,p450,sod,ci_wet_volume,ci_wet_shell_weight,ci_pollution,shell_thickness,a83,a84,a85,a86,a87,a88,a91,a95,a97,a101,a103,a107,a109,a112,a113,a114,a119,a126,a128
Discovery Bay,12,3,1,3,48.064957,-122.857524,2,4029897.5,8.739125,0.33925,2.16,0.326398882,0.79375,9.414152496,-1.553335162,7.060614372,2.588891936,7.060614372,-1.506264399,8.472737246,-1.223839824,3.906873286,-1.223839824,2.071113549,-1.223839824,-1.929901262,11.296983,-1.506264399,-1.929901262,-1.553335162,2.071113549,14.59193637
Donkey Creek Delta,44,7,6,7,47.33775,-122.59014,2,3185175,2.500625,0.34525,2.4775,0.366460781,0.73375,16.53027578,4.694598321,19.83633094,12.56300959,25.78723022,5.355809353,19.1751199,8.595743405,9.918165468,4.892961631,7.934532374,-2.1158753,4.297871703,33.06055156,-3.17381295,-3.438297362,4.562356115,4.959082734,35.04418465
Eagle Harbor Dr,31,7,6,7,47.61889,-122.5275,3,1846200.75,25.1675,0.39225,3.4525,0.404272718,0.8925,33.68563603,15.12416312,61.87157638,43.31010347,75.62081558,11.68685332,39.18533171,17.186549,21.99878271,8.249543518,18.56147292,-2.681101643,8.937005478,59.12172855,-3.987279367,-4.262264151,13.06177724,8.249543518,75.62081558
"Eastsound, Fishing Bay",60,6,1,6,48.69368,-122.90985,5,2504169,11.961125,0.32375,2.1775,0.530351033,0.465,20.38962109,-2.755354201,16.53212521,11.0214168,21.49176277,-2.700247117,19.28747941,5.180065898,9.368204283,-2.204283361,6.612850082,-2.204283361,-3.692174629,35.26853377,-2.755354201,-3.692174629,-2.755354201,-2.755354201,39.67710049
Edmonds Ferry,69,5,3,5,47.81407,-122.3825,2,4710936.75,0.206375,0.38375,2.3725,0.559143672,0.69,23.38504673,4.326233645,16.36953271,11.1078972,14.61565421,-4.150845794,22.80042056,5.203172897,8.769392523,-2.689280374,6.43088785,-2.689280374,-4.209308411,28.64668224,-4.150845794,-4.209308411,-4.209308411,4.443158879,44.43158879
Edmonds Marina,68,7,3,7,47.8111,-122.388,2,16253739,16.62475,0.342,2.315,0.50633374,0.765,33.38526316,8.199889197,22.25684211,14.64265928,23.42825485,3.338526316,31.04243767,7.028476454,12.2998338,-2.049972299,8.785595568,-2.049972299,3.807091413,42.17085873,-3.221385042,-3.338526316,-3.221385042,5.212786704,49.19933518
Eld Inlet,72,2,2,2,47.074603,-123.003527,4,4644880.75,20.791,0.3375,2.53,0.305984127,0.7075,2.466723005,-1.769605634,4.289953052,2.89571831,5.147943662,-1.769605634,5.308816901,2.359474178,3.700084507,1.823230047,2.788469484,-1.447859155,-2.252225352,7.50741784,-1.769605634,-2.198600939,-1.769605634,5.201568075,9.652394366
Elliot Bay Myrtle Edwards,19,3,7,3,47.61862,-122.36108,1,2469547.6,34.8252,0.3504,2.282,0.416142304,0.824,597.2108508,174.4660912,442.8754624,456.2959309,543.5289766,48.31368681,738.1257707,114.0739827,275.1196054,32.88014797,161.0456227,8.723304562,73.81257707,671.0234279,16.7755857,36.90628853,42.27447596,120.784217,1677.55857
"Elliott Bay, Harbor Island, Pier 17",14,4,7,4,47.58766,-122.35065,3,9194071.75,5.56325,0.342,1.885,0.466305913,0.85625,165.4640308,46.21581549,148.3470621,108.4074684,148.3470621,18.82866557,159.7583745,39.36902801,79.87918726,15.97583745,57.05656233,4.336298737,26.81658429,171.169687,7.987918726,11.41131247,18.82866557,26.81658429,256.7545305
Everett Harbor,66,5,2,5,47.9726,-122.22977,2,5271456.5,0.375875,0.3425,1.935,0.650841738,0.77625,11.98335221,-5.192785957,6.524269536,5.592231031,9.98612684,-5.126211778,13.98057758,5.192785957,5.325934315,-3.328708947,-5.126211778,-3.328708947,-5.126211778,19.30651189,-5.126211778,-5.059637599,-5.192785957,8.654643262,29.95838052
"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,1,7,48.482448,-122.583879,3,3345616,18.015,0.52175,4.205,0.606992843,0.7625,7.631585441,-6.359654534,7.631585441,8.903516348,6.995619988,-6.359654534,18.44299815,19.0789636,21.62282542,13.99123998,25.43861814,6.995619988,8.267550895,21.62282542,-6.359654534,-6.041671808,-6.359654534,-6.359654534,25.43861814
Filucy Bay,59,2,3,2,47.19483,-122.748665,4,6265039.75,5.313125,0.3685,1.9025,0.586500664,0.85625,3.67717322,-3.380626993,3.855100956,-3.380626993,5.041285866,-3.380626993,5.634378321,-2.49098831,-3.380626993,-2.49098831,-3.380626993,-2.49098831,-3.380626993,11.26875664,-3.380626993,-3.380626993,-3.380626993,-3.380626993,9.489479277
Friday Harbor,61,6,1,6,48.5069444,-123.0194444,5,3954243.2,6.7096,0.3262,2.138,0.538616056,0.75,19.42765197,3.196162098,15.04076281,9.400476758,17.54755662,-2.318784267,23.81454112,3.070822408,8.147079857,-1.942765197,4.637568534,-1.942765197,-2.882812872,23.81454112,-2.381454112,-2.820143027,-2.381454112,4.073539928,75.20381406
Gig Harbor Boat Launch,58,5,4,5,47.33785,-122.58277,1,4097009.75,7.509375,0.30275,1.6925,0.402393563,0.965,12.92879877,4.494296715,16.00708419,12.31314168,23.3949692,5.233085216,16.62274127,6.772227926,7.38788501,-2.770456879,6.095005133,-2.770456879,-3.87863963,31.39851129,-3.755508214,-3.817073922,4.124902464,4.001771047,36.93942505
Hood Canal Holly,29,1,1,1,47.5706,-122.9717,4,788472,1.640416667,0.343,2.231666667,0.32398197,0.676666667,-3.961105991,-4.029400922,-3.961105991,-3.961105991,-4.029400922,-3.961105991,-3.824516129,-2.868387097,-3.824516129,-2.868387097,-3.824516129,-2.868387097,-3.824516129,5.873364055,-3.961105991,-3.756221198,-4.029400922,-4.029400922,-3.824516129
Jamestown,2,1,2,1,48.024789,-122.998135,3,3263515,24.48733333,0.3385,2.396666667,0.424316686,0.573333333,-4.905340968,-4.97162936,-4.97162936,-4.905340968,-4.97162936,-4.905340968,-4.573899011,-3.446996356,-4.573899011,-3.446996356,-4.573899011,-3.446996356,-4.573899011,6.098532015,-4.905340968,-4.507610619,-4.97162936,-4.97162936,-4.640187402
Kingston Marina,36,4,3,4,47.794695,-122.499858,2,5281103,4.064,0.3125,1.7675,0.346246277,0.81125,8.450339426,-3.185127937,7.800313316,5.070203655,9.100365535,-3.185127937,11.05044386,-2.145086162,5.460219321,-2.145086162,-3.38013577,-2.145086162,-3.38013577,16.25065274,-3.185127937,-3.38013577,-3.185127937,-3.185127937,20.80083551
Kitsap St Boat Launch,25,7,7,7,47.54167,-122.64034,2,2885042.5,30.745,0.244,2.08,0.203520036,0.8325,18.71406187,6.069425472,25.79505826,18.71406187,27.81820008,6.069425472,27.31241462,11.12728003,16.69092005,6.575210928,16.18513459,-1.618513459,7.080996384,30.85291282,-1.972563278,-2.630084371,4.754383286,3.388762555,41.98019285
Kopachuck State Park,52,6,2,6,47.30973,-122.68868,2,7285132.25,4.726,0.30075,2.13,0.416027087,0.7775,3.171267874,-3.036320305,3.373689228,-3.036320305,4.858112488,-3.036320305,5.262955195,-2.22663489,-3.171267874,-2.22663489,-3.171267874,-2.22663489,-3.171267874,10.12106768,-3.036320305,-3.171267874,-3.036320305,-3.036320305,7.422116301
Lions Park,37,1,5,1,47.5833538,-122.6414587,3,6543253.75,14.79325,0.2765,2.1475,0.431811052,0.75,7.897985154,-4.541341463,9.214316013,6.581654295,9.872481442,-4.47552492,10.53064687,5.594406151,5.857672322,-3.290827147,5.265323436,-3.290827147,-4.47552492,18.42863203,-4.541341463,-4.47552492,-4.541341463,-4.541341463,15.79597031
Locust Beach,76,1,1,1,48.77636877,-122.5378679,3,2401828,5.4015,0.3265,2.7375,0.36394311,0.6875,-4.416150902,-4.480153089,-4.480153089,-4.416150902,-4.480153089,-4.416150902,-4.352148715,-3.200109349,-4.352148715,-3.200109349,-4.352148715,-3.200109349,-4.352148715,5.568190268,-4.416150902,-4.288146528,-4.480153089,-4.480153089,8.320284308
Madrona Pont,28,3,4,3,47.57995505,-122.6786,2,5804701,3.8715,0.32,1.95,0.468168348,0.805,4.760937819,-3.676167176,9.642405708,7.834454638,10.24505607,-3.615902141,8.437104995,5.905973496,5.544383282,-2.591396534,5.122528033,-2.591396534,-3.555637105,15.06625892,-3.615902141,-3.495372069,-3.676167176,-3.676167176,15.66890928
"Manchester, Stormwater Outfall",33,6,3,6,47.55622,-122.54281,1,6122829.75,2.682375,0.34175,2.74,0.323886249,0.60625,12.99815886,-3.625802209,10.26170437,7.525249868,11.62993161,-3.557390847,14.36638611,4.788795371,6.841136244,-2.462809048,4.720384008,-2.462809048,-3.899447659,22.57574961,-3.625802209,-3.899447659,-3.625802209,-3.625802209,25.3122041
Maple Hollow Park,51,5,3,5,47.30008,-122.74566,2,3639570,4.6215,0.364,2.455,0.448718655,0.775,4.318518519,-3.20617284,4.907407407,-3.140740741,6.085185185,-3.140740741,5.954320988,-2.355555556,-3.271604938,-2.355555556,-3.271604938,-2.355555556,-3.271604938,12.43209877,-3.140740741,-3.271604938,-3.20617284,-3.20617284,9.814814815
Maristone Island,11,2,2,2,48.018127,-122.699524,2,4772560.833,5.67875,0.336666667,2.745,0.352651847,0.699166667,-5.15053281,-5.221088054,-5.221088054,-5.15053281,-5.221088054,-5.15053281,-4.727201346,-3.598317443,-4.727201346,-3.598317443,-4.727201346,-3.598317443,-4.727201346,6.843858665,-5.15053281,-4.727201346,-5.221088054,-5.221088054,5.573864274
Meyer's Point - Henderson Inlet,71,8,3,8,47.11795,-122.83359,2,2519276.5,24.0125,0.48475,3.155,0.651597646,0.78875,-5.724720149,-5.724720149,-5.724720149,-5.724720149,-5.799067164,-5.650373134,6.616884328,-3.940391791,-5.650373134,-3.940391791,-5.650373134,-3.940391791,-5.650373134,10.40858209,-5.724720149,-5.576026119,-5.724720149,-5.724720149,14.86940299
Miller Creek,20,4,3,4,47.4436,-122.360316,1,5747266.5,4.015375,0.34225,2.3,0.33672971,0.82125,9.532070598,-3.431545415,7.625656479,4.194111063,8.261127852,-3.367998278,9.532070598,4.575393887,5.46505381,-2.541885493,4.130563926,-2.541885493,-3.55863969,18.42866982,-3.367998278,-3.55863969,-3.431545415,-3.431545415,13.34489884
Minter Bay,55,2,2,2,47.3539722,-122.69175,4,6206748.75,1.991375,0.36975,1.865,0.557701205,0.9175,4.079030612,-3.618494898,4.079030612,-3.618494898,6.579081633,-3.552704082,5.921173469,-2.697423469,-3.684285714,-2.697423469,-3.684285714,-2.697423469,-3.684285714,13.81607143,-3.618494898,-3.618494898,-3.618494898,-3.618494898,9.868622449
Mukilteo,65,6,2,6,47.94968,-122.30158,2,5076322.75,7.6065,0.32575,2.3375,0.500727279,0.79125,14.88903757,-4.401976325,9.062892434,6.473494596,12.29963973,-4.337241379,18.12578487,4.855120947,7.120844056,-2.783602676,-4.337241379,-2.783602676,-4.337241379,22.65723109,-4.337241379,-4.272506433,-4.401976325,5.890880082,35.60422028
N Avenue Park,62,5,2,5,48.52108,-122.61531,3,4183302,1.443625,0.3665,2.2675,0.505166071,0.8225,70.5483871,17.36575682,81.40198511,59.69478908,75.9751861,12.48163772,86.82878412,32.01811414,46.67047146,20.07915633,36.90223325,7.59751861,16.28039702,70.5483871,4.992655087,5.969478908,14.65235732,10.85359801,151.9503722
North Camano,7,1,1,1,48.255358,-122.507014,3,12290521,0.75175,0.3245,2.36,0.323324549,0.7675,-3.047007299,-3.047007299,-3.047007299,-3.047007299,3.935717762,-3.047007299,4.760948905,-2.475693431,-3.49136253,-2.475693431,-3.49136253,-2.475693431,-3.49136253,8.887104623,-3.047007299,-3.427883212,-3.047007299,3.237445255,12.69586375
Oak Bay County Park,10,8,2,8,48.02218,-122.728709,2,2335145,19.80775,0.34775,2.2,0.450656288,0.77375,-4.488590264,-4.488590264,-4.488590264,-4.488590264,-4.488590264,-4.424467546,4.93744929,-3.077890467,-4.167976673,-3.077890467,-4.167976673,-3.077890467,-4.167976673,8.977180527,-4.488590264,-4.103853955,-4.488590264,-4.488590264,7.053498986
Penn Cove Reference,3,2,1,2,48.21423,-122.718972,3,2427656.25,23.86,0.33475,2.385,0.296234021,0.60625,-3.291768883,-3.291768883,-3.291768883,-3.291768883,4.023273079,-3.218618464,5.92518399,-2.340813428,-3.218618464,-2.340813428,-3.218618464,-2.340813428,-3.218618464,9.509554551,-3.291768883,-3.218618464,-3.291768883,-3.291768883,10.24105875
Pennrose Point State Park,50,3,3,3,47.2619,-122.7376,4,4193869.5,4.4995,0.26325,2.1125,0.222923972,0.8575,4.22481409,-4.02677593,5.347030333,-4.02677593,6.601272016,-3.960763209,7.261399217,-2.772534247,3.960763209,-2.772534247,-3.762725049,-2.772534247,-3.762725049,14.52279843,-4.02677593,-3.696712329,-4.02677593,-4.02677593,11.88228963
