site_name,reporting_area,geo_group,pcb_group,latitude,longitude,lat_range,long_range,pah_group,p450,sod,cf,at,at_no,cf_no,p450_no,sod_no,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62
Chimacum Creek delta,9,3,1,48.04906,-122.7724,48.02 - 48.82,-0.48,2,2641573.75,2.193375,0.166225,0.90375,0.90375,0.166225,2641573.75,2.193375,1.996555024,-1.559808612,-1.559808612,2.308516746,2.558086124,-1.559808612,3.306794258,1.622200957,-1.559808612,3.05722488,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,1.996555024,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.497416268,-1.559808612,-1.559808612,1.871770335,1.996555024,1.622200957,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612
"Chuckanut, Clark's Point",7,3,1,48.68975,-122.50434,48.02 - 48.82,-0.48,3,3006723.75,12.7025,0.176225,0.7275,0.7275,0.176225,3006723.75,12.7025,1.721446384,1.4919202,-1.319775561,2.008354115,2.467406484,-1.319775561,3.27074813,1.377157107,-1.319775561,3.155985037,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,1.836209476,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,1.721446384,1.893591022,1.434538653,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561
Comm Bay Skookum,11,1,4,47.29,-122.41,47.19 - 47.45,-0.31,7,5408217.25,8.9185,0.1536,0.755,0.755,0.1536,5408217.25,8.9185,5.473657234,2.703854778,-1.582744261,5.341761879,5.209866524,-1.648691938,7.913721303,4.220651361,-1.582744261,7.254244527,-1.648691938,-1.648691938,-1.582744261,-1.582744261,-1.648691938,-1.582744261,2.374116391,1.714639616,-1.582744261,2.242221036,-1.582744261,-1.582744261,-1.582744261,-1.582744261,-1.582744261,-1.582744261,-1.582744261,-1.582744261,-1.582744261,2.769802456,2.967645489,1.648691938,2.440064068,1.648691938,3.495226909,2.506011746,3.627122264,-1.648691938,-1.582744261,1.912482648,3.363331554,2.769802456
"Comm Bay, Dick Gilmur Launch",11,1,4,47.292549,-122.412175,47.19 - 47.45,-0.31,7,3812405.5,41.29775,0.18665,0.8325,0.8325,0.18665,3812405.5,15.50266667,5.33870283,2.278714623,-1.171910377,4.622535377,4.752747642,-1.171910377,6.510613208,3.645943396,-1.171910377,6.054870283,-1.171910377,-1.171910377,1.432334906,-1.171910377,-1.171910377,-1.171910377,3.906367925,1.237016509,-1.171910377,1.953183962,-1.171910377,-1.171910377,-1.171910377,-1.171910377,-1.171910377,-1.171910377,-1.171910377,-1.171910377,-1.171910377,3.059988208,3.450625,2.343820755,2.148502358,1.367228774,3.12509434,2.539139151,4.882959906,1.432334906,-1.171910377,1.822971698,2.864669811,2.474033019
"Comm Bay, Milwaukee Waterway",11,1,3,47.2694,-122.4243,47.19 - 47.45,-0.31,6,7608741.8,6.3977,0.1606,0.821,0.821,0.1606,5695901.5,6.3977,3.163315364,1.951832884,-1.278787062,3.230619946,3.567142857,-1.278787062,4.442102426,2.355660377,-1.278787062,4.038274933,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,2.557574124,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.278787062,-1.21148248,-1.278787062,-1.278787062,2.894097035,3.432533693,2.086442049,1.548005391,-1.278787062,2.355660377,1.548005391,4.374797844,-1.278787062,-1.278787062,-1.278787062,1.884528302,1.749919137
Des Moines Marina,11,1,2,47.40301418,-122.3305538,47.19 - 47.45,-0.31,8,4886367.5,9.63975,0.160925,0.995,0.995,0.160925,4886367.5,9.63975,3.307655458,1.898839245,-1.286310456,3.675172731,3.858931368,-1.286310456,5.941529249,2.69512667,-1.286310456,4.777724551,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,2.082597881,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.286310456,-1.225057577,-1.286310456,-1.286310456,1.960092123,2.266356518,1.531321971,-1.286310456,-1.286310456,1.776333487,1.347563335,1.776333487,-1.286310456,-1.286310456,1.286310456,1.837586366,1.837586366
Discovery Bay,6,5,1,48.064957,-122.857524,48.02 - 48.69,-0.6,3,4029897.5,8.739125,0.193375,0.79375,0.79375,0.193375,4029897.5,8.739125,1.1296983,-0.894344487,-0.894344487,1.270910587,1.506264399,-0.894344487,1.882830499,0.894344487,-0.894344487,1.788688974,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,1.082627537,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,1.082627537,1.176769062,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487
Donkey Creek Delta,11,1,4,47.33775,-122.59014,47.19 - 47.45,-0.31,6,3185175,2.500625,0.180325,0.73375,0.73375,0.180325,3185175,2.500625,6.612110312,2.446480815,-1.05793765,4.892961631,5.686414868,1.586906475,9.918165468,5.818657074,1.586906475,10.5793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,1.05793765,1.653027578,1.91751199,1.388543165,3.306055156,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,-1.05793765,2.181996403,2.248117506,1.454664269,1.256300959,1.124058753,2.777086331,1.91751199,2.248117506,-1.05793765,-1.05793765,1.586906475,3.17381295,3.636660671
Eagle Harbor Dr,10,2,4,47.61889,-122.5275,47.5 - 47.97,-0.6,7,1846200.75,25.1675,0.1738,0.8925,0.8925,0.1738,1846200.75,13.96233333,6.393396226,2.818594035,-1.443670116,5.499695679,6.393396226,1.924893488,9.624467438,4.743487523,-1.443670116,8.937005478,-1.443670116,-1.443670116,-1.443670116,-1.443670116,-1.443670116,-1.443670116,1.856147292,1.649908704,-1.443670116,2.749847839,-1.443670116,-1.443670116,-1.443670116,-1.443670116,-1.443670116,-1.443670116,-1.443670116,-1.443670116,-1.443670116,2.543609251,2.612355447,1.649908704,-1.443670116,-1.443670116,2.956086427,1.993639684,2.406116859,-1.443670116,-1.443670116,1.787401096,2.956086427,3.574802191
"Eastsound, Fishing Bay",7,5,1,48.69368,-122.90985,48.02 - 48.69,-0.6,6,2504169,11.961125,0.147625,0.465,0.501666667,0.147625,2504169,11.961125,1.708319605,-1.322570016,-1.322570016,1.873640857,2.204283361,-1.322570016,2.755354201,-1.322570016,-1.322570016,2.590032949,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,1.598105437,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,1.542998353,1.653212521,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016,-1.322570016
