site_name,reporting_area,geo_group,pcb_group,latitude,longitude,lat_range,long_range,pah_group,p450,sod,cf,at,at_no,cf_no,p450_no,sod_no,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62
Gig Harbor Boat Launch,11,1,3,47.33785,-122.58277,47.19 - 47.45,-0.31,5,4097009.75,7.509375,0.15425,0.965,0.965,0.1902,4097009.75,7.509375,1.707373272,-1.502488479,-1.57078341,1.980552995,2.048847926,-1.57078341,2.731797235,-1.57078341,-1.57078341,2.526912442,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,1.707373272,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.502488479,-1.57078341,-1.57078341,1.912258065,2.048847926,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,1.912258065,-1.57078341,-1.57078341,-1.502488479,-1.57078341,-1.57078341
Hood Canal Holly,12,4,1,47.5706,-122.9717,47.05 - 47.57,-0.33,1,2330945,1.640416667,0.1902,0.676666667,0.676666667,0.173883333,2330945,1.640416667,1.922363352,1.590921395,-1.392056221,2.386382093,2.651535659,-1.392056221,3.115554399,1.458344612,-1.392056221,2.651535659,-1.392056221,-1.392056221,-1.325767829,-1.325767829,-1.392056221,-1.392056221,3.446996356,-1.392056221,-1.325767829,-1.392056221,-1.392056221,-1.392056221,-1.325767829,-1.325767829,-1.392056221,-1.325767829,-1.325767829,-1.392056221,-1.392056221,2.71782405,3.314419573,2.121228527,-1.392056221,-1.392056221,1.657209787,-1.392056221,3.64586153,-1.392056221,-1.392056221,-1.325767829,-1.392056221,-1.325767829
Jamestown,6,5,2,48.024789,-122.998135,48.02 - 48.69,-0.6,1,3263515,24.48733333,0.173883333,0.573333333,0.573333333,0.165525,3263515,21.4686,2.730109661,1.755070496,-1.235049608,2.795112272,2.990120104,-1.235049608,4.940198433,2.470099217,-1.235049608,4.615185379,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608,1.755070496,-1.235049608,-1.235049608,1.300052219,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-1.235049608,2.080083551,2.210088773,1.36505483,-1.235049608,-1.235049608,1.300052219,-1.235049608,1.625065274,-1.235049608,-1.235049608,-1.235049608,1.430057441,1.300052219
Kingston Marina,10,2,2,47.794695,-122.499858,47.5 - 47.97,-0.6,3,5281103,4.064,0.165525,0.81125,0.81125,0.1738,5281103,4.064,9.609923664,3.540498192,-1.163306549,7.080996384,8.598352752,2.326613098,14.16199277,8.092567296,2.427770189,14.16199277,-1.163306549,-1.163306549,-1.163306549,-1.163306549,-1.163306549,1.517356368,1.618513459,2.933555645,1.770249096,4.754383286,-1.163306549,-1.163306549,-1.163306549,-1.163306549,-1.163306549,-1.163306549,-1.163306549,-1.163306549,-1.163306549,2.07372037,1.972563278,1.416199277,1.669092005,1.618513459,3.591076738,2.52892728,3.135869827,1.26446364,-1.163306549,2.276034552,4.855540378,5.05785456
Kitsap St Boat Launch,10,2,5,47.54167,-122.64034,47.5 - 47.97,-0.6,7,2885042.5,30.745,0.1738,0.8325,0.8325,0.174233333,2885042.5,7.2815,2.496530029,1.416949476,-1.079580553,2.429056244,2.766425167,-1.079580553,3.980953289,2.159161106,-1.079580553,3.84600572,-1.079580553,-1.079580553,-1.079580553,-1.079580553,-1.079580553,-1.079580553,1.686844614,-1.079580553,-1.079580553,1.079580553,-1.079580553,-1.079580553,-1.079580553,-1.079580553,-1.079580553,-1.079580553,-1.012106768,-1.079580553,-1.079580553,1.619370829,1.889265968,1.214528122,-1.079580553,-1.079580553,1.416949476,-1.079580553,1.282001907,-1.079580553,-1.079580553,-1.079580553,1.282001907,1.349475691
Kopachuck State Park,13,4,1,47.30973,-122.68868,47.05 - 47.57,-0.33,1,7285132.25,4.726,0.52565,0.7775,0.7775,0.14805,7285132.25,4.726,5.067873807,2.632661718,-1.513780488,4.146442206,5.067873807,-1.579597031,8.556150583,4.541341463,-1.513780488,8.556150583,-1.513780488,-1.513780488,-1.513780488,-1.513780488,-1.513780488,-1.513780488,1.711230117,1.579597031,-1.513780488,2.764294804,-1.513780488,-1.513780488,-1.513780488,-1.513780488,-1.513780488,-1.513780488,-1.513780488,-1.513780488,-1.513780488,1.974496288,2.171945917,-1.513780488,-1.513780488,-1.513780488,2.106129374,-1.513780488,2.566845175,-1.513780488,-1.513780488,-1.513780488,2.632661718,2.830111347
Lions Park,10,2,3,47.5833538,-122.6414587,47.5 - 47.97,-0.6,4,6543253.75,14.79325,0.14805,0.75,0.75,0.169575,6543253.75,14.79325,1.728059049,1.472050301,-1.408048114,2.176074358,2.176074358,-1.408048114,2.944100601,-1.408048114,-1.408048114,2.624089666,-1.408048114,-1.408048114,-1.408048114,-1.408048114,-1.408048114,-1.408048114,1.600054675,-1.408048114,-1.408048114,-1.408048114,-1.408048114,-1.408048114,-1.408048114,-1.408048114,-1.408048114,-1.408048114,-1.408048114,-1.408048114,-1.408048114,1.92006561,1.92006561,-1.408048114,-1.408048114,-1.408048114,-1.408048114,-1.408048114,1.856063423,-1.408048114,-1.408048114,-1.408048114,-1.408048114,-1.408048114
Locust Beach,7,3,1,48.77636877,-122.5378679,48.02 - 48.82,-0.48,1,2401828,5.4015,0.169575,0.6875,0.6875,0.155625,2401828,5.4015,4.760937819,1.928481142,-1.205300714,3.555637105,4.580142712,1.446360856,7.231804281,3.856962283,-1.205300714,7.834454638,-1.205300714,-1.205300714,-1.205300714,-1.205300714,-1.205300714,-1.205300714,1.265565749,-1.205300714,-1.205300714,2.470866463,-1.205300714,-1.205300714,-1.205300714,-1.205300714,-1.205300714,-1.205300714,-1.205300714,-1.205300714,-1.205300714,1.627155963,1.627155963,-1.205300714,-1.205300714,-1.205300714,2.109276249,1.325830785,2.22980632,-1.205300714,-1.205300714,-1.205300714,2.350336391,2.772191641
Madrona Pont,10,2,3,47.57995505,-122.6786,47.5 - 47.97,-0.6,3,5804701,3.8715,0.155625,0.805,0.805,0.198825,5804701,3.8715,2.941688585,1.915518148,-1.368227249,3.146922672,3.35215676,-1.368227249,5.267674908,2.873277223,-1.368227249,5.062440821,-1.368227249,-1.368227249,-1.368227249,-1.368227249,-1.368227249,-1.368227249,1.915518148,-1.368227249,-1.368227249,1.505049974,-1.368227249,-1.368227249,-1.368227249,-1.368227249,-1.368227249,-1.368227249,-1.368227249,-1.368227249,-1.368227249,2.325986323,2.394397685,1.641872699,-1.368227249,-1.368227249,1.710284061,-1.368227249,1.641872699,-1.368227249,-1.368227249,-1.368227249,1.641872699,1.641872699
"Manchester, Stormwater Outfall",10,2,2,47.55622,-122.54281,47.5 - 47.97,-0.6,5,6122829.75,2.682375,0.198825,0.60625,0.60625,0.184125,3969265.667,2.682375,2.748148148,1.635802469,-1.112345679,2.682716049,3.075308642,-1.177777778,4.383950617,2.159259259,-1.112345679,4.318518519,-1.112345679,-1.177777778,-1.112345679,-1.112345679,-1.112345679,-1.112345679,2.028395062,-1.112345679,-1.112345679,1.177777778,-1.112345679,-1.112345679,-1.112345679,-1.112345679,-1.112345679,-1.112345679,-1.112345679,-1.112345679,-1.112345679,2.09382716,2.420987654,1.57037037,-1.112345679,-1.112345679,1.57037037,-1.112345679,1.374074074,-1.177777778,-1.112345679,-1.112345679,1.439506173,1.504938272
Maple Hollow Park,13,4,2,47.30008,-122.74566,47.05 - 47.57,-0.33,2,3698032,4.6215,0.184125,0.775,0.775,0.1881,3698032,4.6215,2.046102075,1.411104879,-1.411104879,2.539988783,2.681099271,-1.411104879,3.245541223,1.552215367,-1.411104879,2.963320247,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,2.187212563,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,2.328323051,2.822209759,2.046102075,-1.411104879,-1.411104879,1.622770611,-1.411104879,3.809983174,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879
Maristone Island,9,3,1,48.018127,-122.699524,48.02 - 48.82,-0.48,1,4772560.833,5.67875,0.1881,0.699166667,0.699166667,0.1738,3333824.8,5.67875,3.048227612,1.709981343,-1.338246269,3.048227612,3.568656716,-1.338246269,4.68386194,2.230410448,-1.338246269,4.237779851,-1.338246269,-1.338246269,1.412593284,-1.263899254,-1.338246269,-1.338246269,3.196921642,-1.338246269,-1.263899254,-1.338246269,-1.338246269,-1.338246269,-1.263899254,-1.263899254,-1.338246269,-1.263899254,-1.263899254,-1.338246269,-1.338246269,2.602145522,3.345615672,2.081716418,1.561287313,-1.338246269,2.007369403,1.486940299,4.386473881,-1.338246269,-1.338246269,1.338246269,1.635634328,1.784328358
Meyer's Point - Henderson Inlet,13,4,3,47.11795,-122.83359,47.05 - 47.57,-0.33,3,2519276.5,24.0125,0.1738,0.78875,0.78875,0.1893,2519276.5,10.83433333,3.177356866,1.842866982,-1.207395609,3.367998278,3.431545415,-1.207395609,4.829582437,2.541885493,-1.207395609,4.638941025,-1.207395609,-1.207395609,-1.143848472,-1.143848472,-1.207395609,-1.207395609,2.923168317,-1.207395609,-1.143848472,-1.207395609,-1.207395609,-1.207395609,-1.143848472,-1.143848472,-1.207395609,-1.143848472,-1.143848472,-1.207395609,-1.207395609,2.541885493,2.923168317,1.969961257,-1.207395609,-1.207395609,1.842866982,1.334489884,1.842866982,-1.207395609,-1.207395609,1.270942746,1.588678433,1.588678433
Miller Creek,11,1,2,47.4436,-122.360316,47.19 - 47.45,-0.31,4,5747266.5,4.015375,0.1893,0.82125,0.82125,0.17415,5747266.5,4.015375,2.631632653,1.381607143,-1.25002551,2.236887755,2.763214286,-1.25002551,4.276403061,2.236887755,-1.25002551,4.342193878,-1.25002551,-1.25002551,-1.184234694,-1.184234694,-1.25002551,-1.25002551,1.25002551,-1.25002551,-1.184234694,-1.25002551,-1.25002551,-1.25002551,-1.184234694,-1.184234694,-1.25002551,-1.184234694,-1.184234694,-1.25002551,-1.184234694,1.578979592,1.842142857,1.315816327,-1.25002551,-1.25002551,1.381607143,-1.25002551,1.315816327,-1.25002551,-1.25002551,-1.184234694,1.381607143,1.644770408
Minter Bay,13,4,1,47.3539722,-122.69175,47.05 - 47.57,-0.33,2,6206748.75,1.991375,0.17415,0.9175,0.9175,0.1532,6206748.75,1.991375,2.265723109,1.488903757,-1.229963973,2.589397838,2.71886773,-1.229963973,3.754626866,1.877313433,-1.229963973,3.495687082,-1.229963973,-1.229963973,-1.229963973,-1.229963973,-1.229963973,-1.229963973,2.136253217,-1.229963973,-1.229963973,-1.229963973,-1.229963973,-1.229963973,-1.229963973,-1.229963973,-1.229963973,-1.229963973,-1.229963973,-1.229963973,-1.229963973,2.200988163,2.265723109,1.553638703,-1.229963973,-1.229963973,1.488903757,-1.229963973,1.553638703,-1.229963973,-1.229963973,-1.229963973,1.424168811,-1.229963973
Mukilteo,8.2,2,1,47.94968,-122.30158,47.5 - 47.97,-0.6,6,5076322.75,7.6065,0.1532,0.79125,0.79125,0.18215,5076322.75,7.6065,2.170719603,1.465235732,-1.248163772,2.387791563,2.767667494,-1.248163772,3.690223325,1.628039702,-1.248163772,3.201811414,-1.248163772,-1.248163772,-1.248163772,-1.248163772,-1.248163772,-1.248163772,1.573771712,-1.248163772,-1.248163772,-1.248163772,-1.248163772,-1.248163772,-1.248163772,-1.248163772,-1.248163772,-1.248163772,-1.248163772,-1.248163772,-1.248163772,1.736575682,1.899379653,1.248163772,-1.248163772,-1.248163772,1.302431762,-1.248163772,1.302431762,-1.248163772,-1.248163772,-1.248163772,-1.248163772,-1.248163772
N Avenue Park,7,3,1,48.52108,-122.61531,48.02 - 48.82,-0.48,8,4183302,1.443625,0.18215,0.8225,0.8225,0.179575,4183302,1.443625,1.967858881,-1.52350365,-1.52350365,2.221776156,2.285255474,-1.52350365,2.920048662,1.586982968,-1.52350365,2.920048662,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,1.586982968,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,1.650462287,1.586982968,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365
North Camano,8.1,3,1,48.255358,-122.507014,48.02 - 48.82,-0.48,2,12290521,0.75175,0.179575,0.7675,0.7675,0.17445,5748138.667,0.75175,2.051926978,1.346577079,-1.282454361,2.30841785,2.564908722,-1.346577079,3.077890467,1.603067951,-1.282454361,3.013767748,-1.282454361,-1.282454361,-1.282454361,-1.282454361,-1.282454361,-1.282454361,2.180172414,-1.282454361,-1.282454361,-1.282454361,-1.282454361,-1.282454361,-1.282454361,-1.282454361,-1.282454361,-1.282454361,-1.282454361,-1.282454361,-1.282454361,2.372540568,2.62903144,1.923681542,-1.282454361,-1.282454361,1.603067951,-1.282454361,3.206135903,-1.282454361,-1.282454361,-1.282454361,-1.282454361,-1.282454361
Oak Bay County Park,9,3,1,48.02218,-122.728709,48.02 - 48.82,-0.48,1,2335145,19.80775,0.17445,0.77375,0.77375,0.195125,2335145,9.167333333,1.97506133,1.463008393,-1.316707553,2.267663008,2.487114267,-1.316707553,3.364919303,1.536158812,-1.316707553,3.072317624,-1.316707553,-1.316707553,-1.316707553,-1.316707553,-1.316707553,-1.316707553,1.536158812,-1.316707553,-1.316707553,-1.316707553,-1.316707553,-1.316707553,-1.316707553,-1.316707553,-1.316707553,-1.316707553,-1.316707553,-1.316707553,-1.316707553,1.90191091,1.97506133,-1.316707553,-1.316707553,-1.316707553,1.389857973,-1.316707553,1.97506133,-1.316707553,-1.316707553,-1.316707553,-1.316707553,-1.316707553
Penn Cove Reference,8.1,3,1,48.21423,-122.718972,48.02 - 48.82,-0.48,2,2427656.25,23.86,0.195125,0.60625,0.60625,0.155133333,2427656.25,20.316,2.640508806,1.584305284,-1.122216243,2.442470646,2.970572407,-1.122216243,4.09278865,2.046394325,-1.122216243,3.894750489,-1.122216243,-1.122216243,1.122216243,-1.122216243,-1.122216243,-1.122216243,2.838546967,-1.122216243,-1.056203523,-1.122216243,-1.122216243,-1.122216243,-1.056203523,-1.056203523,-1.122216243,-1.056203523,-1.056203523,-1.122216243,-1.122216243,2.640508806,3.102597847,2.046394325,1.188228963,-1.122216243,1.650318004,1.320254403,3.234623288,-1.122216243,-1.122216243,-1.056203523,1.584305284,1.584305284
Pennrose Point State Park,13,4,2,47.2619,-122.7376,47.05 - 47.57,-0.33,3,4193869.5,4.4995,0.180575,0.8575,0.8575,0.1761,4193869.5,4.4995,3.64782588,2.14237393,-1.158039962,3.705727878,3.879433873,1.273843958,5.79019981,2.779295909,-1.158039962,4.979571836,-1.158039962,-1.158039962,-1.158039962,-1.158039962,-1.158039962,-1.158039962,1.679157945,-1.158039962,-1.158039962,1.273843958,-1.158039962,-1.158039962,-1.158039962,-1.158039962,-1.158039962,-1.158039962,-1.158039962,-1.158039962,-1.158039962,1.968667935,2.084471931,1.447549952,1.21594196,-1.158039962,1.910765937,1.273843958,1.794961941,-1.158039962,-1.158039962,1.331745956,2.200275928,1.968667935
Point Defiance Ferry,11,1,3,47.3062,-122.5145,47.19 - 47.45,-0.31,6,2181856.75,10.88425,0.1761,0.83875,0.83875,0.168025,2181856.75,10.88425,4.808247423,2.704639175,-1.382371134,4.688041237,5.409278351,-1.382371134,6.611340206,3.005154639,-1.382371134,5.649690722,-1.382371134,-1.382371134,-1.382371134,-1.382371134,-1.382371134,-1.382371134,1.742989691,-1.382371134,-1.382371134,-1.382371134,-1.382371134,-1.382371134,-1.382371134,-1.382371134,-1.382371134,-1.382371134,-1.382371134,-1.382371134,-1.382371134,2.16371134,2.16371134,1.562680412,1.803092784,-1.382371134,2.945051546,2.283917526,3.125360825,-1.382371134,-1.382371134,1.742989691,2.58443299,2.344020619
Port Angeles Yacht Club,6,5,3,48.12823,-123.45715,48.02 - 48.69,-0.6,8,5751355,7.3855,1.620766667,0.800833333,0.800833333,0.189675,4432595.8,7.3855,2.409455587,1.434199754,-1.089991813,2.294719607,2.638927548,-1.089991813,4.417335244,2.294719607,-1.089991813,4.532071224,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813,1.434199754,-1.089991813,-1.089991813,1.434199754,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-1.089991813,1.376831764,1.721039705,1.089991813,-1.089991813,-1.089991813,1.376831764,-1.089991813,1.262095784,-1.089991813,-1.089991813,-1.089991813,1.319463774,1.491567745
Purdy - Dexters,13,1,2,47.38566,-122.627255,47.19 - 47.45,-0.31,2,4743078.25,1.760875,0.168025,0.84375,0.84375,0.170975,4743078.25,1.760875,3.077447638,1.538723819,-1.046332197,2.646604968,3.13899659,-1.046332197,5.354758889,2.831251827,-1.046332197,5.724052606,-1.046332197,-1.046332197,-1.046332197,-1.046332197,-1.046332197,-1.046332197,2.338860205,1.292528008,-1.046332197,1.908017535,-1.046332197,-1.046332197,-1.046332197,-1.046332197,-1.046332197,-1.046332197,-1.046332197,-1.046332197,-1.046332197,2.031115441,2.338860205,1.600272772,-1.046332197,-1.046332197,1.600272772,1.230979055,3.077447638,-1.046332197,-1.046332197,-1.046332197,1.538723819,1.661821724
"Purdy, Burley Lagoon",13,1,2,47.386977,-122.6367089,47.19 - 47.45,-0.31,3,3937679,11.214,0.189675,0.915,0.821666667,0.16865,3937679,11.214,2.673547237,1.547843137,-1.266417112,2.743903743,3.236399287,-1.266417112,3.939964349,2.040338681,-1.266417112,4.010320856,-1.266417112,-1.266417112,-1.266417112,-1.266417112,-1.266417112,-1.266417112,1.68855615,-1.266417112,-1.266417112,-1.266417112,-1.266417112,-1.266417112,-1.266417112,-1.266417112,-1.266417112,-1.266417112,-1.266417112,-1.266417112,-1.266417112,1.68855615,2.110695187,1.336773619,-1.266417112,-1.266417112,1.477486631,-1.266417112,1.618199643,-1.266417112,-1.266417112,-1.266417112,1.477486631,1.68855615
Raft Island Park,13,4,2,47.32598,-122.66724,47.05 - 47.57,-0.33,2,4523051.5,3.778125,0.170975,0.65375,0.65375,0.16595,4523051.5,3.778125,2.510389344,-1.401147541,-1.459528689,2.276864754,2.743913934,-1.459528689,4.086680328,1.984959016,-1.459528689,4.26182377,-1.459528689,-1.459528689,-1.401147541,-1.401147541,-1.459528689,-1.459528689,-1.459528689,-1.459528689,-1.401147541,-1.459528689,-1.459528689,-1.459528689,-1.401147541,-1.401147541,-1.459528689,-1.401147541,-1.401147541,-1.459528689,-1.401147541,1.459528689,1.576290984,-1.401147541,-1.459528689,-1.459528689,-1.459528689,-1.459528689,-1.459528689,-1.459528689,-1.459528689,-1.401147541,-1.459528689,-1.401147541
Reach Island,13,4,1,47.346537,-122.82236,47.05 - 47.57,-0.33,3,5905498,4.58375,0.16865,0.77,0.77,0.178175,5905498,4.58375,3.686919692,1.902926293,-0.8919967,3.211188119,3.686919692,0.951463146,5.470913091,2.913855886,-0.8919967,5.351980198,-0.8919967,-0.8919967,1.129862486,-0.8919967,-0.8919967,-0.8919967,2.973322332,0.951463146,-0.8919967,1.665060506,-0.8919967,-0.8919967,-0.8919967,-0.8919967,-0.8919967,-0.8919967,-0.8919967,-0.8919967,-0.8919967,2.735456546,2.973322332,2.081325633,1.367728273,1.07039604,2.140792079,1.367728273,3.389587459,-0.8919967,-0.8919967,1.129862486,1.902926293,1.962392739
Rich Passage,10,2,3,47.578117,-122.524833,47.5 - 47.97,-0.6,4,3203053.25,2.245,0.16595,0.81,0.81,0.172025,3203053.25,2.245,5.05356357,2.374566015,-1.217726161,4.018496333,4.992677262,1.58304401,8.52408313,4.383814181,-1.217726161,8.52408313,-1.217726161,-1.217726161,-1.217726161,-1.217726161,-1.217726161,-1.217726161,1.522157702,1.278612469,-1.217726161,2.861656479,-1.217726161,-1.217726161,-1.217726161,-1.217726161,-1.217726161,-1.217726161,-1.217726161,-1.217726161,-1.217726161,1.765702934,1.522157702,1.217726161,-1.217726161,-1.217726161,2.009248166,1.400385086,1.765702934,-1.217726161,-1.217726161,1.278612469,2.557224939,3.044315403
Rocky Point,10,2,3,47.60255,-122.66992,47.5 - 47.97,-0.6,4,4508401,9.8955,0.178175,0.68875,0.68875,0.19215,4508401,9.8955,2.041971534,-1.501449657,-1.561507644,2.10202952,2.402319452,-1.561507644,3.062957301,-1.501449657,-1.561507644,3.002899315,-1.561507644,-1.561507644,-1.501449657,-1.501449657,-1.561507644,-1.561507644,1.741681603,-1.561507644,-1.501449657,-1.561507644,-1.561507644,-1.561507644,-1.501449657,-1.501449657,-1.561507644,-1.501449657,-1.501449657,-1.561507644,-1.561507644,1.741681603,1.861797575,-1.501449657,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.501449657,-1.561507644,-1.501449657
S of Skunk Island,9,3,1,48.02667,-122.75076,48.02 - 48.82,-0.48,4,3556922.75,11.307,0.172025,0.78625,0.78625,0.16055,3556922.75,11.307,6.845882353,3.795,-1.562647059,7.366764706,7.441176471,1.785882353,11.16176471,5.506470588,1.562647059,10.41764706,-1.562647059,-1.562647059,-1.562647059,-1.562647059,-1.562647059,-1.562647059,2.827647059,2.157941176,-1.562647059,2.678823529,-1.562647059,-1.562647059,-1.562647059,-1.562647059,-1.562647059,-1.562647059,-1.562647059,-1.562647059,-1.562647059,3.348529412,3.497352941,2.157941176,2.083529412,1.711470588,3.348529412,2.678823529,3.497352941,-1.562647059,-1.562647059,2.604411765,3.869411765,3.422941176
"Salmon Bay, Commodore Park",10,2,5,47.6663,-122.4018,47.5 - 47.97,-0.6,7,3756618.5,1.48175,0.19215,0.7075,0.7075,0.176275,3756618.5,1.48175,2.679110251,1.667001934,-1.488394584,2.857717602,3.095860735,-1.547930368,4.762862669,2.440967118,-1.547930368,4.524719536,-1.547930368,-1.547930368,-1.488394584,-1.488394584,-1.547930368,-1.488394584,1.845609284,-1.488394584,-1.488394584,-1.488394584,-1.488394584,-1.488394584,-1.488394584,-1.488394584,-1.488394584,-1.488394584,-1.488394584,-1.488394584,-1.488394584,2.024216634,2.143288201,1.607466151,-1.547930368,-1.547930368,1.607466151,-1.547930368,1.667001934,-1.547930368,-1.488394584,-1.488394584,1.607466151,-1.488394584
Salmon Beach,11,1,2,47.29464,-122.53053,47.19 - 47.45,-0.31,5,1904018.75,18.330875,0.16055,0.86375,0.86375,0.15135,1904018.75,7.2845,7.128346457,3.564173228,-1.166456693,6.480314961,6.480314961,1.879291339,13.60866142,8.424409449,2.203307087,13.60866142,-1.166456693,1.166456693,1.166456693,-1.166456693,-1.166456693,1.555275591,2.592125984,3.36976378,1.749685039,3.758582677,-1.166456693,-1.166456693,-1.166456693,-1.166456693,-1.166456693,-1.166456693,-1.166456693,-1.166456693,-1.166456693,2.916141732,3.110551181,1.944094488,1.944094488,1.62007874,3.24015748,2.332913386,2.980944882,1.231259843,-1.166456693,2.268110236,4.082598425,3.24015748
"Seattle Aquarium, Pier 59",10,2,5,47.607,-122.342,47.5 - 47.97,-0.6,8,3135234,23.887625,0.176275,0.8425,0.8425,0.18485,3135234,3.7105,6.690253353,3.082026826,-1.578599106,6.765424739,6.539910581,1.87928465,9.020566319,5.111654247,-1.578599106,8.268852459,-1.578599106,-1.578599106,-1.578599106,-1.578599106,-1.578599106,-1.578599106,2.405484352,1.954456036,-1.578599106,2.480655738,-1.578599106,-1.578599106,-1.578599106,-1.578599106,-1.578599106,-1.578599106,-1.578599106,-1.578599106,-1.578599106,2.931684054,3.683397914,2.330312966,2.179970194,1.653770492,3.307540984,2.63099851,5.337168405,-1.578599106,-1.578599106,2.104798808,3.457883756,3.533055142
Shilshole Bay,10,2,4,47.671678,-122.406663,47.5 - 47.97,-0.6,8,2862823.75,9.90675,0.15135,0.55625,0.55625,0.175775,2862823.75,9.90675,5.620339367,2.536006787,-1.233733032,4.523687783,5.68888009,1.782058824,9.595701357,4.729309955,1.302273756,9.595701357,-1.233733032,-1.233733032,-1.233733032,-1.233733032,-1.233733032,-1.233733032,1.850599548,1.37081448,-1.233733032,2.947251131,-1.233733032,-1.233733032,-1.233733032,-1.233733032,-1.233733032,-1.233733032,-1.233733032,-1.233733032,-1.233733032,2.330384615,2.330384615,1.644977376,-1.233733032,-1.233733032,2.330384615,1.644977376,2.124762443,-1.233733032,-1.233733032,1.576436652,2.673088235,3.152873303
"Silverdale, Dyes Inlet",10,2,4,47.6427936,-122.6967068,47.5 - 47.97,-0.6,5,1652091.25,26.031,0.18485,0.6875,0.6875,0.1822,1652091.25,10.25966667,2.959735974,-2.131009901,-2.19020462,2.900541254,3.137320132,-2.19020462,4.735577558,2.663762376,-2.19020462,4.913161716,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.131009901,-2.19020462,-2.19020462,-2.19020462,-2.131009901,-2.131009901,-2.19020462,-2.131009901,-2.131009901,-2.19020462,-2.19020462,-2.19020462,-2.131009901,-2.131009901,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.131009901,-2.19020462,-2.131009901
Skiff Point,10,2,1,47.66142,-122.49884,47.5 - 47.97,-0.6,6,5664098.75,4.23625,0.175775,0.55875,0.55875,0.17425,3311682.667,4.23625,10.40476663,4.291966236,-1.105506455,9.754468719,9.104170804,2.66622145,16.90774578,9.754468719,2.796281033,16.25744786,1.365625621,1.560714995,1.365625621,1.105506455,-1.105506455,1.755804369,2.536161867,3.836757696,2.015923535,4.356996028,-1.105506455,-1.105506455,-1.105506455,-1.105506455,-1.105506455,-1.105506455,-1.105506455,-1.105506455,-1.105506455,3.381549156,3.316519364,1.885863952,2.341072493,1.950893744,4.617115194,3.186459782,4.031847071,1.755804369,-1.105506455,3.12142999,6.047770606,4.617115194
"Smith Cove, Terminal 91",10,2,6,47.63237,-122.37869,47.5 - 47.97,-0.6,8,3958924,19.66125,0.1822,0.74,0.74,0.180425,3958924,14.12066667,2.395230337,1.424191011,-1.294719101,2.265758427,2.718910112,-1.294719101,4.143101124,2.071550562,-1.294719101,4.272573034,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,1.424191011,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,1.553662921,1.488926966,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,-1.294719101,1.294719101
Squaxin Island,13,4,1,47.17650485,-122.9046464,47.05 - 47.57,-0.33,2,6368736.25,5.85875,0.17425,0.85625,0.85625,0.17395,6368736.25,5.85875,3.093179724,1.997678571,-0.902177419,3.157620968,3.673150922,1.159942396,5.606388249,2.706532258,-0.902177419,5.284182028,-0.902177419,-0.902177419,-0.837736175,-0.837736175,-0.902177419,-0.902177419,1.868796083,0.902177419,-0.837736175,1.353266129,-0.902177419,-0.902177419,-0.837736175,-0.837736175,-0.902177419,-0.837736175,-0.837736175,-0.902177419,-0.902177419,2.319884793,2.513208525,1.67547235,1.159942396,0.902177419,1.804354839,1.159942396,1.611031106,-0.902177419,-0.902177419,1.159942396,1.611031106,1.611031106
