"","1","2","3","4","5"
"2",0.06,NA,NA,NA,NA
"3",0.0725,0.711428571428571,NA,NA,NA
"4",0.376875,0.542727272727273,0.711428571428571,NA,NA
"5",0.511666666666667,0.5325,0.711428571428571,0.985,NA
"6",0.06,0.0728571428571429,0.06375,0.06,0.072
