"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",16,605.085526779088,0.338414724149378,9.01555661961184,0.001
"Residual",282,1182.91447322091,0.661585275850622,NA,NA
"Total",298,1788,1,NA,NA
