"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",16,632.516479124785,0.353756420092162,9.64799821301673,0.001
"Residual",282,1155.48352087521,0.646243579907838,NA,NA
"Total",298,1788,1,NA,NA
