metric,moran_I,expected_I,variance,z,p_value,direction
chlordane_index,0.369608460804555,-0.0136986301369863,0.00241346708018268,7.80236321712435,3.03792351055697e-15,positive
ddt_index,0.351990898908383,-0.0136986301369863,0.00235699445471246,7.53239774674886,2.49084673922795e-14,positive
pcb_index,0.313209740831237,-0.0136986301369863,0.00232111137620863,6.78544057469835,5.78663908891108e-12,positive
total_con_index,0.248626756304365,-0.0136986301369863,0.0021960390198689,5.59783760184626,1.08520957742613e-08,positive
pbde_index,0.248041831275737,-0.0136986301369863,0.00223024173931426,5.54236207136431,1.49209223748725e-08,positive
pah_hmw_index,0.215337129948113,-0.0136986301369863,0.00201409984306755,5.1034374661636,1.66769380249451e-07,positive
pesticide_index,0.154466597371061,-0.0136986301369863,0.00110589334147243,5.05684424925421,2.13125539758523e-07,positive
hch_index,0.177389109370628,-0.0136986301369863,0.00185363693067007,4.43833915991102,4.53278452597101e-06,positive
p450,0.164864217611903,-0.0136986301369863,0.00257165404727622,3.52115247243171,0.000214837737844071,positive
heavy_metal_index,0.15558905147587,-0.0136986301369863,0.00251743377950685,3.37400972244938,0.000370408755790675,positive
total_pah_index,0.0816986359271472,-0.0136986301369863,0.00165544280503556,2.34465440663054,0.00952236152105802,positive
weight_initial,0.0894412553545045,-0.0136986301369863,0.00255972118572669,2.0385919899233,0.0207453826675505,positive
weight_final,0.0795729898043441,-0.0136986301369863,0.00253723413534973,1.8516941171936,0.0320348796279242,positive
total_metal_index,0.0747722112183615,-0.0136986301369863,0.00252474792218166,1.76072343912334,0.0391426117843973,positive
shell,0.0740628452164297,-0.0136986301369863,0.00248901693883362,1.75909781611474,0.0392804478984805,positive
