"Comparison","Z","P.unadj","P.adj"
"1 - 2",-0.10226506766255,0.918546281868008,1
"1 - 3",-0.938852110882305,0.347806679540767,1
"2 - 3",-0.848793871011375,0.395996001197357,1
"1 - 4",0.537696563428593,0.590786552177903,0.984644253629839
"2 - 4",0.594610118824589,0.552104114629284,1
"3 - 4",1.19373885694383,0.232580135684465,1
"1 - 5",0.18129570319231,0.856135478502065,1
"2 - 5",0.212377894435399,0.831812230109164,1
"3 - 5",0.586618126374889,0.557460206015428,1
"4 - 5",-0.0471462894421119,0.962396634692502,0.962396634692502
