"Comparison","Z","P.unadj","P.adj"
"1 - 2",1.4957669740236,0.13471439046407,0.202071585696106
"1 - 3",3.68828830346349,0.000225767753781106,0.00135460652268663
"2 - 3",1.78816030596298,0.073750148339311,0.147500296678622
"1 - 4",0.75168489283282,0.452240577527291,0.452240577527291
"2 - 4",-0.978776452762123,0.327690446890996,0.393228536269195
"3 - 4",-3.23054030338054,0.00123556483282052,0.00370669449846157
