"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",16,626.509004943868,0.350396535203506,9.506936566135,0.001
"Residual",282,1161.49099505613,0.649603464796495,NA,NA
"Total",298,1788,1,NA,NA
