"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",17,625.670696896992,0.349927682828296,8.89762354825907,0.001
"Residual",281,1162.32930310301,0.650072317171704,NA,NA
"Total",298,1788,1,NA,NA
