"term","Group1","Group2","null.value","estimate","conf.low","conf.high","adj.p.value","Significant","Group1_CLD","Group2_CLD"
"site_number","2","1",0,-0.4281575053923,-1.32813134954111,0.471816338756506,0.999943065795434,"No","abc","abc"
"site_number","3","1",0,-0.818211199660577,-1.82441254640484,0.18799014708369,0.434588131596151,"No","a","abc"
"site_number","7","1",0,-0.446690935524884,-1.45289228226915,0.559510411219382,0.99999409647015,"No","abc","abc"
"site_number","8","1",0,0.129624321260109,-0.876577025484157,1.13582566800438,1,"No","abc","abc"
"site_number","9","1",0,-0.151716152603883,-1.15791749934815,0.854485194140383,1,"No","abc","abc"
"site_number","10","1",0,-0.155499553507211,-1.16170090025148,0.850701793237056,1,"No","abc","abc"
"site_number","11","1",0,-0.396020247470071,-1.29599409161888,0.503953596678736,0.999995656301486,"No","abc","abc"
"site_number","12","1",0,-0.39388887118609,-1.40009021793036,0.612312475558177,0.99999994807,"No","abc","abc"
"site_number","13","1",0,-0.203306107039346,-1.10327995118815,0.696667737109461,1,"No","abc","abc"
"site_number","14","1",0,0.00158146614638222,-1.00461988059788,1.00778281289065,1,"No","abc","abc"
"site_number","15","1",0,-0.16661331869295,-1.17281466543722,0.839588028051317,1,"No","abc","abc"
"site_number","16","1",0,-0.714296807034268,-1.72049815377853,0.291904539709998,0.797875833366714,"No","ab","abc"
"site_number","17","1",0,-0.164274077469067,-1.17047542421333,0.8419272692752,1,"No","abc","abc"
"site_number","18","1",0,-0.0626737936656168,-1.06887514040988,0.94352755307865,1,"No","abc","abc"
"site_number","19","1",0,-0.118442278362834,-1.06234280922781,0.825458252502139,1,"No","abc","abc"
"site_number","20","1",0,-0.449587252821005,-1.45578859956527,0.556614093923262,0.99999262847089,"No","abc","abc"
"site_number","21","1",0,0.119565876972452,-0.886635469771815,1.12576722371672,1,"No","abc","abc"
"site_number","22","1",0,-0.438355682281579,-1.44455702902584,0.567845664462688,0.999996946549216,"No","abc","abc"
"site_number","23","1",0,-0.608963327764845,-1.61516467450911,0.397238018979421,0.978928974470942,"No","abc","abc"
"site_number","24","1",0,-0.540972268592149,-1.54717361533642,0.465229078152118,0.998309208581226,"No","abc","abc"
"site_number","25","1",0,-0.156466930899989,-1.16266827764426,0.849734415844277,1,"No","abc","abc"
"site_number","26","1",0,-0.20513752806905,-1.21133887481332,0.801063818675217,1,"No","abc","abc"
"site_number","27","1",0,-0.400820199735679,-1.40702154647995,0.605381147008588,0.999999895234426,"No","abc","abc"
"site_number","28","1",0,0.154637389390461,-0.851563957353806,1.16083873613473,1,"No","abc","abc"
"site_number","29","1",0,-0.722082017786677,-1.62205586193548,0.17789182636213,0.473248127327223,"No","a","abc"
"site_number","30","1",0,-0.435040418003325,-1.44124176474759,0.571160928740941,0.999997670800031,"No","abc","abc"
"site_number","31","1",0,0.346664204976918,-0.659537141767348,1.35286555172118,0.999999999799128,"No","bc","abc"
"site_number","32","1",0,-0.0389103484281557,-1.04511169517242,0.967290998316111,1,"No","abc","abc"
"site_number","33","1",0,-0.808837054670089,-1.81503840141436,0.197364292074178,0.467778930620836,"No","a","abc"
