"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"1","3",-6.67850300609369,0,0,"Yes","a","c"
"2","3",-5.92566565995024,0,0,"Yes","b","c"
"1","2",-2.47255202443013,0.0134,0.0134,"Yes","a","b"
