"term","Group1","Group2","null.value","estimate","conf.low","conf.high","adj.p.value","Significant","Group1_CLD","Group2_CLD"
"site_number","2","1",0,-0.105935886741248,-0.439765063678,0.227893290195504,1,"No","ab","ab"
"site_number","3","1",0,0.000351500116410539,-0.37288086613528,0.373583866368101,1,"No","ab","ab"
"site_number","7","1",0,-0.0480052153492651,-0.421237581600956,0.325227150902426,1,"No","ab","ab"
"site_number","8","1",0,-0.0361314974087549,-0.409363863660446,0.337100868842936,1,"No","ab","ab"
"site_number","9","1",0,-0.0876895986913575,-0.460921964943048,0.285542767560333,1,"No","ab","ab"
"site_number","10","1",0,-0.117760999921347,-0.490993366173038,0.255471366330344,1,"No","ab","ab"
"site_number","11","1",0,-0.0566256192557289,-0.390454796192481,0.277203557681023,1,"No","ab","ab"
"site_number","12","1",0,-0.0441382467779479,-0.417370613029639,0.329094119473743,1,"No","ab","ab"
"site_number","13","1",0,-0.0497573533005865,-0.383586530237338,0.284071823636165,1,"No","ab","ab"
"site_number","14","1",0,-0.146902339285241,-0.520134705536932,0.22633002696645,0.999999935277767,"No","ab","ab"
"site_number","15","1",0,-0.114713092396395,-0.487945458648086,0.258519273855295,1,"No","ab","ab"
"site_number","16","1",0,-0.0400141150409427,-0.413246481292634,0.333218251210748,1,"No","ab","ab"
"site_number","17","1",0,-0.175693815399159,-0.54892618165085,0.197538550852531,0.999959093756495,"No","ab","ab"
"site_number","18","1",0,-0.158489606191465,-0.531721972443156,0.214742760060226,0.999998788782442,"No","ab","ab"
"site_number","19","1",0,-0.0404988878757433,-0.390621882424368,0.309624106672881,1,"No","ab","ab"
"site_number","20","1",0,-0.00836933104093346,-0.381601697292624,0.364863035210757,1,"No","ab","ab"
"site_number","21","1",0,-0.150904312450392,-0.524136678702083,0.222328053801299,0.999999811580802,"No","ab","ab"
"site_number","22","1",0,0.041099564430105,-0.332132801821586,0.414331930681796,1,"No","ab","ab"
"site_number","23","1",0,-0.0560330104504731,-0.429265376702164,0.317199355801218,1,"No","ab","ab"
"site_number","24","1",0,-0.0513951746719324,-0.424627540923623,0.321837191579759,1,"No","ab","ab"
"site_number","25","1",0,-0.0438114441045742,-0.417043810356265,0.329420922147117,1,"No","ab","ab"
"site_number","26","1",0,-0.181236296398246,-0.554468662649936,0.191996069853445,0.9998938517616,"No","ab","ab"
"site_number","27","1",0,-0.0433041680491663,-0.416536534300857,0.329928198202525,1,"No","ab","ab"
"site_number","28","1",0,-0.120309486169,-0.493541852420691,0.25292288008269,1,"No","ab","ab"
"site_number","29","1",0,-0.0272087582276146,-0.361037935164366,0.306620418709137,1,"No","ab","ab"
"site_number","30","1",0,-0.126261986741614,-0.499494352993305,0.246970379510077,0.999999999914308,"No","ab","ab"
"site_number","31","1",0,-0.336332057025285,-0.709564423276976,0.0369003092264059,0.182702251807537,"No","a","ab"
"site_number","32","1",0,-0.154178934815358,-0.527411301067048,0.219053431436333,0.999999568400899,"No","ab","ab"
"site_number","33","1",0,0.0160693998365272,-0.357162966415164,0.389301766088218,1,"No","ab","ab"
"site_number","34","1",0,0.120318911231159,-0.252913455020532,0.49355127748285,1,"No","b","ab"
"site_number","35","1",0,-0.0925096656579721,-0.465742031909663,0.280722700593719,1,"No","ab","ab"
"site_number","36","1",0,-0.0344822300199659,-0.407714596271657,0.338750136231725,1,"No","ab","ab"
"site_number","37","1",0,0.0271194130225869,-0.346112953229104,0.400351779274278,1,"No","ab","ab"
"site_number","38","1",0,-0.0788995001028094,-0.4521318663545,0.294332866148882,1,"No","ab","ab"
"site_number","39","1",0,-0.057109477875204,-0.430341844126895,0.316122888376487,1,"No","ab","ab"
"site_number","40","1",0,-0.121406214283418,-0.494638580535109,0.251826151968273,0.999999999986977,"No","ab","ab"
"site_number","41","1",0,-0.033065400807757,-0.406297767059448,0.340166965443934,1,"No","ab","ab"
"site_number","42","1",0,-0.139168455511517,-0.512400821763208,0.234063910740174,0.999999993187393,"No","ab","ab"
"site_number","43","1",0,-0.171530563808454,-0.544762930060145,0.201701802443237,0.999981072068414,"No","ab","ab"
"site_number","44","1",0,-0.124115803986647,-0.497348170238338,0.249116562265044,0.999999999962041,"No","ab","ab"
"site_number","45","1",0,-0.157594468770283,-0.530826835021973,0.215637897481408,0.999999017139528,"No","ab","ab"
"site_number","46","1",0,-0.0934961185783497,-0.443619113126974,0.256626875970275,1,"No","ab","ab"
"site_number","47","1",0,-0.0164997431078035,-0.389732109359494,0.356732623143887,1,"No","ab","ab"
"site_number","48","1",0,-0.0564107255947372,-0.429643091846428,0.316821640656954,1,"No","ab","ab"
"site_number","49","1",0,-0.219705769651817,-0.569828764200441,0.130417224896807,0.960678264810658,"No","ab","ab"
"site_number","50","1",0,0.141977956655904,-0.231254409595787,0.515210322907595,0.999999984101074,"No","b","ab"
"site_number","51","1",0,-0.121902152501866,-0.495134518753557,0.251330213749825,0.999999999984111,"No","ab","ab"
"site_number","52","1",0,0.0761040288904286,-0.297128337361262,0.44933639514212,1,"No","b","ab"
"site_number","53","1",0,-0.167145996594054,-0.540378362845745,0.206086369657637,0.999992033387802,"No","ab","ab"
"site_number","54","1",0,-0.094515367956078,-0.467747734207769,0.278716998295613,1,"No","ab","ab"
"site_number","55","1",0,-0.0481709454606385,-0.42140331171233,0.325061420791052,1,"No","ab","ab"
"site_number","56","1",0,-0.155616016882728,-0.528848383134419,0.217616349368963,0.999999386724322,"No","ab","ab"
"site_number","57","1",0,-0.130293651592311,-0.503526017844002,0.24293871465938,0.999999999631943,"No","ab","ab"
"site_number","58","1",0,-0.122724163457018,-0.495956529708709,0.250508202794673,0.999999999977935,"No","ab","ab"
"site_number","59","1",0,-0.156176831012145,-0.529409197263836,0.217055535239546,0.99999929801665,"No","ab","ab"
"site_number","60","1",0,-0.169802207884111,-0.543034574135802,0.20343015836758,0.999986451556734,"No","ab","ab"
"site_number","61","1",0,-0.186643366628075,-0.536766361176699,0.16347962792055,0.99862984722241,"No","ab","ab"
"site_number","62","1",0,-0.028983636342741,-0.402216002594432,0.34424872990895,1,"No","ab","ab"
"site_number","63","1",0,-0.126367596201475,-0.499599962453166,0.246864770050216,0.999999999910877,"No","ab","ab"
"site_number","64","1",0,-0.258851646158833,-0.632084012410524,0.114380720092858,0.843182436269876,"No","ab","ab"
"site_number","65","1",0,-0.17793910816002,-0.551171474411711,0.195293258091671,0.999939220280183,"No","ab","ab"
"site_number","66","1",0,-0.251462647333381,-0.624695013585072,0.12176971891831,0.889538324447482,"No","ab","ab"
"site_number","67","1",0,-0.0851619021268881,-0.41899107906364,0.248667274809864,1,"No","ab","ab"
"site_number","68","1",0,-0.191182254192713,-0.564414620444404,0.182050112058978,0.999514089699893,"No","ab","ab"
"site_number","69","1",0,-0.109475918996438,-0.482708285248129,0.263756447255253,1,"No","ab","ab"
"site_number","70","1",0,-0.110993982379579,-0.48422634863127,0.262238383872112,1,"No","ab","ab"
"site_number","71","1",0,-0.110504337404455,-0.483736703656146,0.262728028847236,1,"No","ab","ab"
"site_number","72","1",0,0.0181063992627452,-0.355125966988946,0.391338765514436,1,"No","ab","ab"
"site_number","73","1",0,-0.0163109410326274,-0.389543307284318,0.356921425219064,1,"No","ab","ab"
"site_number","74","1",0,-0.0642487048049597,-0.437481071056651,0.308983661446731,1,"No","ab","ab"
"site_number","75","1",0,-0.175387831105862,-0.548620197357553,0.197844535145829,0.999961282820784,"No","ab","ab"
"site_number","76","1",0,-0.133002343206473,-0.506234709458164,0.240230023045217,0.999999999065879,"No","ab","ab"
"site_number","77","1",0,-0.15046584272523,-0.523698208976921,0.222766523526461,0.99999983188785,"No","ab","ab"
"site_number","3","2",0,0.106287386857658,-0.266944979394032,0.479519753109349,1,"No","ab","ab"
"site_number","7","2",0,0.0579306713919828,-0.315301694859708,0.431163037643674,1,"No","ab","ab"
"site_number","8","2",0,0.069804389332493,-0.303427976919198,0.443036755584184,1,"No","ab","ab"
"site_number","9","2",0,0.0182462880498904,-0.3549860782018,0.391478654301581,1,"No","ab","ab"
"site_number","10","2",0,-0.0118251131800993,-0.38505747943179,0.361407253071592,1,"No","ab","ab"
"site_number","11","2",0,0.049310267485519,-0.284518909451233,0.383139444422271,1,"No","ab","ab"
"site_number","12","2",0,0.0617976399633,-0.311434726288391,0.435030006214991,1,"No","ab","ab"
"site_number","13","2",0,0.0561785334406614,-0.27765064349609,0.390007710377413,1,"No","ab","ab"
