"","Aiston Preserve.1","Broad Spit (Fisherman's Point).1","Cap Sante.1","Eld Inlet.1","Filucy Bay.1","Hood Canal Holly.1","Jamestown.1","Kopachuck State Park.1","Locust Beach.1","Maristone Island.1","Meyer's Point - Henderson Inlet.1","North Camano.1","Oak Bay County Park.1","Penn Cove Reference.1","Chambers Bay Park.2","Chimacum Creek delta.2","Chuckanut, Clark's Point.2","Discovery Bay.2","Lions Park.2","Madrona Pont.2","Maple Hollow Park.2","Miller Creek.2","Minter Bay.2","Pennrose Point State Park.2","Purdy - Dexters.2","Purdy, Burley Lagoon.2","Raft Island Park.2","Reach Island.2","Squaxin Island.2","Arroyo Beach.3","Brackenwood Ln.3","Browns Point Lighthouse.3","Cherry Point Aquatic Reserve, Conoco Phillips.3","Everett Harbor.3","Fidalgo Bay Aq Reserve, Weaverling Spit.3","Kingston Marina.3","Manchester, Stormwater Outfall.3","Rich Passage.3","Rocky Point.3","S of Skunk Island.3","Silverdale, Dyes Inlet.3","Three Tree Point.3","Tulalip Reservation.3","West Bay Park.3","Williams Olson Park.3","Blair Waterway.4","Blair Waterway #2.4","Comm Bay, Milwaukee Waterway.4","Donkey Creek Delta.4","Eastsound, Fishing Bay.4","Edmonds Ferry.4","Gig Harbor Boat Launch.4","Kitsap St Boat Launch.4","Mukilteo.4","Salmon Beach.4","Skiff Point.4","Suquamish Stormwater Outfall.4","Tulalip Bay.4","Comm Bay Skookum.5","Comm Bay, Dick Gilmur Launch.5","Des Moines Marina.5","Eagle Harbor Dr.5","Edmonds Marina.5","Elliot Bay Myrtle Edwards.5","Elliott Bay, Harbor Island, Pier 17.5","Friday Harbor.5","N Avenue Park.5","Point Defiance Ferry.5","Port Angeles Yacht Club.5","Salmon Bay, Commodore Park.5","Seattle Aquarium, Pier 59.5","Shilshole Bay.5","Smith Cove, Terminal 91.5"
"Mukilteo.4",0.707349178910977,1,0.707349178910977,0.851123814835471,0.865576943416182,0.567845089903181,1,0.825619104477612,0.920964252978918,0.850482662192394,0.626632,0.516367647058824,0.833780011827321,0.738973037272006,0.72547520661157,0.544231343283582,0.814613636363636,0.946908935442497,0.863117647058824,0.816012084592145,0.841604542807222,0.816012084592145,0.852633554083885,0.786767230169051,0.597206030150754,0.844936170212766,0.762951029098652,0.860584574468085,0.962578600823045,0.944827675118178,1,0.567845089903181,0.762951029098652,0.567845089903181,0.725907666941467,0.789389032258065,0.68707465437788,0.567845089903181,0.852633554083885,0.850482662192394,0.526238568588469,1,0.762951029098652,0.838790218031821,0.925500450856628,0.968428863450531,0.89459872611465,1,0.567845089903181,1,0.487680555555556,0.734654560129136,0.850482662192394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmon Beach.4",0.71663811922754,1,0.680404580152672,0.858749731471536,0.838186430678466,0.57538263229308,0.972316152597403,0.812970951792336,0.925285779191277,0.872459236326109,0.684118198874296,0.567845089903181,0.799537001897533,0.667600411946447,0.627567198177677,0.567845089903181,0.762951029098652,0.925500450856628,0.801620037807183,0.762951029098652,0.856450711938664,0.738973037272006,0.798839138695377,0.762994350282486,0.567845089903181,0.789389032258065,0.762951029098652,0.857090124123044,0.972535034426893,0.957373084886128,0.997618860510805,0.567845089903181,0.762951029098652,0.630131370328426,0.690780128794848,0.751781804163454,0.675902415458937,0.567845089903181,0.810970223325062,0.852633554083885,0.506026763990268,0.943778974579923,0.762951029098652,0.794310630171865,0.973451313131313,0.943778974579923,0.886077684314696,0.952630171333055,0.610413348946136,0.969505284552845,0.567845089903181,0.686483364140481,0.817300783604581,0.969195280716029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Skiff Point.4",0.857090124123044,0.786767230169051,0.487680555555556,0.516367647058824,0.999748055987558,0.703460444444444,0.567845089903181,0.999158984375,0.858152934841142,0.915338888888889,0.516367647058824,0.487680555555556,0.674591219512195,0.607075721153846,0.506026763990268,0.5402,0.675902415458937,0.762951029098652,0.516367647058824,0.968968609865471,0.996506109578242,0.931707984119982,0.952630171333055,0.951694630872483,0.69199173553719,0.487680555555556,0.893713235294118,1,0.925500450856628,0.853260319207485,0.835985823981099,0.567845089903181,0.850314814814815,0.635704972375691,0.487680555555556,0.973451313131313,0.844744373918061,0.604945520581114,0.635704972375691,0.754963442498096,0.487680555555556,0.701872759856631,0.88880197044335,1,0.944827675118178,0.846375,0.786767230169051,0.763900139664805,0.763900139664805,0.762951029098652,0.487680555555556,0.487680555555556,0.674591219512195,0.833048635824437,0.814900243309002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suquamish Stormwater Outfall.4",0.839713700234192,0.925500450856628,0.632148936170213,0.705432077125329,0.972008935824533,0.71663811922754,0.838898823529412,0.934508289703316,0.991506329113924,1,0.567845089903181,0.567845089903181,0.738973037272006,0.618979166666667,0.57193306010929,0.686483364140481,0.686483364140481,0.846375,0.71663811922754,0.933868974583699,0.909015429122469,0.878273098519653,0.947133787814231,0.947133787814231,0.684118198874296,0.686483364140481,0.8599984,0.919357372531006,0.934189331001312,0.934189331001312,0.878820538891713,0.762951029098652,0.868479708636837,0.762994350282486,0.626632,0.931707984119982,0.871965392561983,0.762951029098652,0.684118198874296,0.76933081674674,0.523663265306122,0.86506352567496,0.866089276281035,0.951694630872483,0.958743388429752,0.960182080924855,0.852633554083885,0.879809017223911,0.777048716260698,0.868479708636837,0.487680555555556,0.625690366972477,0.762951029098652,0.886077684314696,0.932813462384514,0.931707984119982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tulalip Bay.4",0.857090124123044,0.956393939393939,0.567845089903181,0.762951029098652,0.951694630872483,0.597206030150754,0.909015429122469,0.923376599634369,1,0.969195280716029,0.597206030150754,0.611428238039673,0.743199685534591,0.674591219512195,0.666844398340249,0.762951029098652,0.710056701030928,0.856450711938664,0.743355746677091,0.925285779191277,0.915338888888889,0.893254545454546,0.951694630872483,0.919357372531006,0.678474689589303,0.762951029098652,0.88603523573201,0.941310793237971,1,0.975753926701571,0.937896132116471,0.762951029098652,0.878820538891713,0.753043778801843,0.635352285395764,0.915338888888889,0.857090124123044,0.762951029098652,0.771194612794613,0.778554826001313,0.487680555555556,0.921357600732601,0.881321769733534,0.933094256904866,1,0.996506109578242,0.792985897435898,0.907723804925157,0.762951029098652,0.915338888888889,0.554170689655172,0.604257946210269,0.762951029098652,0.926991924629879,0.961221855670103,0.924511606736459,0.99054495049505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comm Bay Skookum.5",0.635704972375691,0.869932467532468,0.753382375478927,0.943132238547969,0.739941409342834,0.487680555555556,0.91150692124105,0.674591219512195,0.771194612794613,0.727445890968267,0.63744785949506,0.487680555555556,0.893703485517919,0.804192211055276,0.846742063492064,0.487680555555556,0.893244094488189,1,0.930384512683578,0.610413348946136,0.71663811922754,0.674591219512195,0.684118198874296,0.594779792746114,0.514764573991031,0.940547701647875,0.667600411946447,0.705432077125329,0.825752681764005,0.846742063492064,0.915338888888889,0.487680555555556,0.609903225806452,0.487680555555556,0.814613636363636,0.607075721153846,0.501511936339523,0.487680555555556,0.97484618490109,0.947820076563165,0.604603406326034,0.947133787814231,0.63744785949506,0.675902415458937,0.814900243309002,0.846375,0.943778974579923,0.947820076563165,0.487680555555556,0.933094256904866,0.487680555555556,0.762951029098652,0.909414505283381,0.915183317624882,0.915338888888889,0.681010426540284,0.793699743918054,0.841604542807222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comm Bay, Dick Gilmur Launch.5",0.554170689655172,0.766399449035813,0.868479708636837,0.92298581884721,0.613863636363636,0.487680555555556,0.604257946210269,0.551922242314647,0.604257946210269,0.5402,0.969195280716029,0.487680555555556,0.913987677725118,0.955012479201331,0.973451313131313,0.487680555555556,0.913176890156919,0.852633554083885,0.916566805362922,0.489741758241758,0.669715163934426,0.554170689655172,0.51331221719457,0.50201832460733,0.487680555555556,0.94242683982684,0.555,0.597206030150754,0.743355746677091,0.674591219512195,0.771194612794613,0.487680555555556,0.516615384615385,0.487680555555556,0.967489344262295,0.487680555555556,0.51331221719457,0.487680555555556,0.913987677725118,0.868479708636837,0.801620037807183,0.762994350282486,0.516858024691358,0.557421140939597,0.763900139664805,0.705432077125329,0.860584574468085,0.76933081674674,0.487680555555556,0.78484554973822,0.487680555555556,0.961938994229184,0.876410321921308,0.798139505389981,0.786767230169051,0.516367647058824,0.738973037272006,0.690780128794848,0.83911488862837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Des Moines Marina.5",0.762951029098652,0.951475625264943,0.724002489626556,0.968968609865471,0.842686845168801,0.5402,0.968428863450531,0.858152934841142,0.921357600732601,0.851041340782123,0.754963442498096,0.487680555555556,0.846375,0.868479708636837,0.853182469680265,0.487680555555556,0.901645772594752,1,0.925500450856628,0.810970223325062,0.803505031446541,0.740321484992101,0.875477505112474,0.812970951792336,0.554170689655172,0.968428863450531,0.773780455153949,0.814613636363636,0.873893869139619,0.898574010747435,0.930758114717652,0.487680555555556,0.777048716260698,0.597206030150754,0.846742063492064,0.798839138695377,0.711640718562874,0.487680555555556,0.945176041219407,0.887452392698569,0.637281146637266,0.9820836,0.762951029098652,0.816012084592145,0.856522689994532,0.951694630872483,0.931707984119982,0.999115987460815,0.618979166666667,0.972535034426893,0.487680555555556,0.788664082687339,0.886077684314696,0.926647032374101,0.925500450856628,0.798139505389981,0.839713700234192,0.871965392561983,1,0.814900243309002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eagle Harbor Dr.5",0.555686340640809,0.71663811922754,0.860584574468085,0.878853299492386,0.604257946210269,0.487680555555556,0.708954388984509,0.604257946210269,0.674591219512195,0.57538263229308,0.915338888888889,0.487680555555556,1,1,0.946908935442497,0.554170689655172,0.930384512683578,0.880285425101215,0.919357372531006,0.567845089903181,0.726430317848411,0.567845089903181,0.600222222222222,0.567845089903181,0.487680555555556,0.915338888888889,0.5402,0.567845089903181,0.743355746677091,0.703460444444444,0.771197050938338,0.516367647058824,0.561594059405941,0.506026763990268,0.986386698526483,0.554170689655172,0.567845089903181,0.554170689655172,0.886077684314696,0.88603523573201,0.795017800381437,0.752703618167821,0.567845089903181,0.594779792746114,0.762951029098652,0.674591219512195,0.996506109578242,0.779816272965879,0.51331221719457,0.763900139664805,0.487680555555556,0.915338888888889,0.881793068809643,0.762951029098652,0.762951029098652,0.604257946210269,0.75792319391635,0.681010426540284,0.851206013363029,0.972535034426893,0.857090124123044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Edmonds Marina.5",0.50201832460733,0.57193306010929,0.924123462414579,0.763900139664805,0.487680555555556,0.487680555555556,0.51331221719457,0.487680555555556,0.51331221719457,0.487680555555556,0.951694630872483,0.487680555555556,0.927750559785043,0.938254450716457,0.880820060483871,0.487680555555556,0.861167639257294,0.777048716260698,0.845516944284894,0.487680555555556,0.567845089903181,0.506026763990268,0.487680555555556,0.487680555555556,0.489741758241758,0.765033933518006,0.487680555555556,0.51331221719457,0.644623110151188,0.567845089903181,0.674591219512195,0.487680555555556,0.487680555555556,0.487680555555556,0.868479708636837,0.487680555555556,0.487680555555556,0.487680555555556,0.82386961722488,0.818435542168675,0.857090124123044,0.609903225806452,0.506026763990268,0.487680555555556,0.632148936170213,0.554170689655172,0.878306829765545,0.684118198874296,0.487680555555556,0.675902415458937,0.487680555555556,0.961221855670103,0.855366081229418,0.674591219512195,0.674591219512195,0.487680555555556,0.567845089903181,0.597206030150754,0.762951029098652,1,0.762951029098652,0.953294117647059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
