reporting_area,site_name,avg_sod,a94,a96,a100,a102,a104,a105,a106,a108,a110,a111,a89,a91,a95,a97,a101,a103
10,Elliot Bay Myrtle Edwards,11.72580418,624.0517879,59.72108508,570.3699137,51.66880395,80.52281134,80.52281134,342.2219482,30.86707768,66.43131936,154.3353884,328.8014797,738.1257707,114.0739827,275.1196054,32.88014797,161.0456227
10,"Elliott Bay, Harbor Island, Pier 17",5.500254008,154.0527183,16.54640308,176.8753432,19.39923119,31.38110928,37.08676551,148.3470621,16.54640308,26.81658429,91.29049973,85.58484349,159.7583745,39.36902801,79.87918726,15.97583745,57.05656233
8.2,Everett Harbor,1.28999742,25.298188,-5.126211778,31.95560589,-5.126211778,-5.126211778,16.64354473,25.96392978,-5.126211778,7.988901472,21.30373726,6.657417894,13.98057758,5.192785957,5.325934315,-3.328708947,-5.126211778
7,"Fidalgo Bay Aq Reserve, Weaverling Spit",11.87749221,33.70616903,13.35527452,63.59654534,29.25441086,17.17106724,21.62282542,76.31585441,21.62282542,18.44299815,54.69302899,13.99123998,18.44299815,19.0789636,21.62282542,13.99123998,25.43861814
13,Filucy Bay,5.009127417,11.8618491,-3.380626993,15.42040383,-3.380626993,-3.380626993,7.710201913,9.489479277,-3.380626993,-3.380626993,9.489479277,3.439936238,5.634378321,-2.49098831,-3.380626993,-2.49098831,-3.380626993
7,Friday Harbor,5.14738837,32.58831943,-2.882812872,35.09511323,-2.882812872,3.760190703,11.90727056,22.56114422,-2.882812872,6.893682956,13.78736591,7.520381406,23.81454112,3.070822408,8.147079857,-1.942765197,4.637568534
11,Gig Harbor Boat Launch,14.97195681,22.77931211,-3.87863963,27.70456879,-3.87863963,7.38788501,13.54445585,22.77931211,-3.87863963,4.432731006,16.00708419,9.850513347,16.62274127,6.772227926,7.38788501,-2.770456879,6.095005133
12,Hood Canal Holly,1.640458193,6.488018433,-3.824516129,4.575760369,-3.824516129,-3.824516129,8.878341014,-3.824516129,-3.824516129,4.985529954,4.6440553,-2.868387097,-3.824516129,-2.868387097,-3.824516129,-2.868387097,-3.824516129
6,Jamestown,7.752782309,9.280374805,-4.573899011,14.58344612,-4.573899011,-4.573899011,9.280374805,6.36368558,-4.573899011,7.291723061,5.4356481,-3.446996356,-4.573899011,-3.446996356,-4.573899011,-3.446996356,-4.573899011
10,Kingston Marina,4.370895609,16.90067885,-3.38013577,21.45086162,-3.38013577,4.095164491,11.05044386,16.25065274,-3.38013577,5.070203655,11.70046997,5.590224543,11.05044386,-2.145086162,5.460219321,-2.145086162,-3.38013577
10,Kitsap St Boat Launch,10.7481244,39.95705102,5.563640016,70.80996384,6.575210928,23.77191643,22.76034552,75.8678184,5.563640016,21.24298915,50.07276014,15.17356368,27.31241462,11.12728003,16.69092005,6.575210928,16.18513459
13,Kopachuck State Park,4.725888249,11.47054337,-3.171267874,16.19370829,-3.171267874,-3.171267874,7.422116301,8.771591992,-3.171267874,-3.171267874,8.771591992,3.10379409,5.262955195,-2.22663489,-3.171267874,-2.22663489,-3.171267874
10,Lions Park,10.42413956,19.08679745,-4.47552492,27.64294804,-4.47552492,-4.47552492,13.16330859,25.66845175,-4.47552492,5.660222694,18.42863203,7.239819724,10.53064687,5.594406151,5.857672322,-3.290827147,5.265323436
