SiteName,Analyte,Units,DryValue,Comments
Aiston Preserve,SumPAHsLMW,ng/g,79.13997821,NA
Arroyo Beach,SumPAHsLMW,ng/g,216.1198402,dNPH Surrogate recovery below minimum QA value (60%)
Blair Waterway,SumPAHsLMW,ng/g,456.559655,NA
Blair Waterway #2,SumPAHsLMW,ng/g,610.9503136,NA
Brackenwood Ln,SumPAHsLMW,ng/g,212.3820225,dNPH Surrogate recovery below minimum QA value (60%)
Broad Spit,SumPAHsLMW,ng/g,107.1669458,NA
Browns Point Lighthouse,SumPAHsLMW,ng/g,257.4299611,NA
Cap Sante,SumPAHsLMW,ng/g,254.6569343,NA
Chambers Bay Park,SumPAHsLMW,ng/g,106.1754685,NA
"Cherry Point Aquatic Reserve, Conoco Phillips",SumPAHsLMW,ng/g,169.0270946,NA
Chimacum Creek delta,SumPAHsLMW,ng/g,112.3062201,NA
"Chuckanut, Clark's Point",SumPAHsLMW,ng/g,131.9775561,NA
Comm Bay Skookum,SumPAHsLMW,ng/g,461.6337427,NA
"Comm Bay, Dick Gilmur Launch",SumPAHsLMW,ng/g,442.7216981,NA
"Comm Bay, Milwaukee Waterway",SumPAHsLMW,ng/g,390.3665768,NA
Des Moines Marina,SumPAHsLMW,ng/g,6125.287886,NA
Discovery Bay,SumPAHsLMW,ng/g,136.5052112,NA
Donkey Creek Delta,SumPAHsLMW,ng/g,238.0359712,NA
Eagle Harbor Dr,SumPAHsLMW,ng/g,364.3548387,NA
"Eastsound, Fishing Bay",SumPAHsLMW,ng/g,242.4711697,dNPH Surrogate recovery below minimum QA value (60%)
Edmonds Ferry,SumPAHsLMW,ng/g,257.235514,NA
Edmonds Marina,SumPAHsLMW,ng/g,304.567313,NA
Eld Inlet,SumPAHsLMW,ng/g,96.52394366,NA
Elliot Bay Myrtle Edwards,SumPAHsLMW,ng/g,3220.912454,NA
"Elliott Bay, Harbor Island, Pier 17",SumPAHsLMW,ng/g,1141.131247,dNPH Surrogate recovery below minimum QA value (60%)
Everett Harbor,SumPAHsLMW,ng/g,206.3799547,NA
"Fidalgo Bay Aq Reserve, Weaverling Spit",SumPAHsLMW,ng/g,438.8161629,NA
Filucy Bay,SumPAHsLMW,ng/g,88.96386823,NA
Friday Harbor,SumPAHsLMW,ng/g,206.8104887,NA
Gig Harbor Boat Launch,SumPAHsLMW,ng/g,172.3839836,NA
Hood Canal Holly,SumPAHsLMW,ng/g,109.2718894,NA
Jamestown,SumPAHsLMW,ng/g,106.0614263,NA
Kingston Marina,SumPAHsLMW,ng/g,149.5060052,NA
Kitsap St Boat Launch,SumPAHsLMW,ng/g,419.8019285,NA
Kopachuck State Park,SumPAHsLMW,ng/g,87.71591992,NA
Lions Park,SumPAHsLMW,ng/g,157.9597031,NA
Locust Beach,SumPAHsLMW,ng/g,121.6041553,NA
Madrona Pont,SumPAHsLMW,ng/g,138.6095821,NA
"Manchester, Stormwater Outfall",SumPAHsLMW,ng/g,198.3929511,NA
Maple Hollow Park,SumPAHsLMW,ng/g,111.2345679,NA
Maristone Island,SumPAHsLMW,ng/g,112.8883904,NA
Meyer's Point - Henderson Inlet,SumPAHsLMW,ng/g,148.6940299,NA
Miller Creek,SumPAHsLMW,ng/g,171.5772708,NA
Minter Bay,SumPAHsLMW,ng/g,98.68622449,NA
Mukilteo,SumPAHsLMW,ng/g,245.9927946,NA
N Avenue Park,SumPAHsLMW,ng/g,1248.163772,dNPH Surrogate recovery below minimum QA value (60%)
North Camano,SumPAHsLMW,ng/g,107.9148418,NA
Oak Bay County Park,SumPAHsLMW,ng/g,102.5963489,NA
Penn Cove Reference,SumPAHsLMW,ng/g,109.7256294,NA
