"site_name","mercuryTotal","arsenic","cadmium","copper","lead","Zinc","Sum40CBs","SumBDEs","SumCHLDs","SumDDTs","SumHCHs","SumPCBs2x17","SumPAHsHMW","SumPAHsLMW","SumPAHs","SumPAHs16","SumPAHs42_DMNcorrected"
"Fidalgo Bay Aq Reserve, Weaverling Spit",0.039759036,8.493975904,1.746987952,9.277108434,0.239156627,81.92771084,22.89475632,-2.035089451,-2.035089451,12.08334362,-1.717106724,26.71054904,254.3861814,438.8161629,699.5619988,165.3510179,699.5619988
"Filucy Bay",0.042352941,8.117647059,1.741176471,5.747058824,0.228823529,77.64705882,41.51647184,1.364112646,-1.126875664,1.601349628,-0.948947928,54.56450584,59.30924548,88.96386823,148.2731137,65.24017003,148.2731137
"Friday Harbor",0.033333333,9.388888889,1.777777778,7,0.183888889,93.33333333,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056,25.69463647,319.6162098,206.8104887,532.693683,338.4171633,532.693683
"Gig Harbor Boat Launch",0.036748466,8.343558282,1.901840491,6.625766871,0.463190184,84.66257669,55.40913758,1.723839836,-1.231314168,2.093234086,-1.046617043,73.8788501,246.2628337,172.3839836,418.6468172,233.949692,418.6468172
"Hood Canal Holly",0.028831169,9.285714286,2.311688312,6.753246753,0.085064935,82.46753247,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687,25.26912442,11.61013825,109.2718894,116.1013825,24.58617512,88.78341014
"Jamestown",0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655,39.11015096,15.24633004,106.0614263,119.3191046,31.15554399,119.3191046
"Kingston Marina",0.048145695,8.145695364,1.933774834,5.649006623,0.219205298,82.78145695,36.40146214,1.690067885,-1.235049608,1.885075718,-1.040041775,49.40198433,123.5049608,149.5060052,273.0109661,123.5049608,273.0109661
"Kitsap St Boat Launch",0.031589744,8.153846154,1.548717949,8.307692308,0.50974359,87.17948718,116.3306549,7.080996384,-1.163306549,7.080996384,1.315042186,146.6777822,354.0498192,419.8019285,758.678184,303.4712736,758.678184
"Kopachuck State Park",0.040065359,8.366013072,2.078431373,5.470588235,0.173856209,84.31372549,31.71267874,1.48442326,-1.079580553,1.48442326,-0.877159199,43.18322212,53.97902765,87.71591992,141.6949476,59.37693041,141.6949476
"Lions Park",0.0365,8.5625,1.925,6.16875,0.34875,94.375,58.57672322,6.515837752,-1.579597031,3.027560976,-1.316330859,85.56150583,131.6330859,157.9597031,289.592789,118.4697773,289.592789
