,,,,,,,,,,
County,Location,Individual,Valve,Weight,Length,Width,Height,Weight,Notes,Measure according to the diagram below
N/A,N/A,51,N/A,11.223,52.92,24.54,19.2,3.673,,
N/A,N/A,52,N/A,12.005,53.88,23.51,18.78,3.906,,
Elliott Bay Myrtle Edwards,N/A,69,N/A,16.0277,56.16,26.05,22.33,5.2154,,
Elliott Bay Myrtle Edwards,N/A,70,N/A,12.0242,54.47,25.88,17.49,3.4688,,
Elliott Bay Myrtle Edwards,N/A,71,N/A,11.8422,52.45,24.34,18.52,3.803,,
Elliott Bay Myrtle Edwards,N/A,72,N/A,17.1373,60.09,25.49,20.96,5.1041,,
N/A,N/A,73,N/A,20.2139,59.96,27.64,23.97,5.9438,,
"SpS_PB2, Purdy,Burky Lagoon",N/A,74,N/A,22.6094,64.64,29.68,24.32,7.5348,,
"SpS_PB2, Purdy,Burky Lagoon",N/A,75,N/A,9.7035,53.9,21.64,18.69,2.9102,may have -> dig tissue,
"SpS_PB2, Purdy,Burky Lagoon",N/A,76,N/A,15.6093,59.82,30.47,19.15,4.5137,,
"SpS_PB2, Purdy,Burky Lagoon",N/A,77,N/A,18.2985,59.38,27.08,21.75,5.5873,,
"Seattle aquarium, EB_P59",N/A,78,N/A,11.1504,53.87,23.98,17.44,3.3161,Focus and Open,
"Seattle aquarium, EB_P60",N/A,79,N/A,15.6407,59.95,26.9,18.86,4.7261,,
"Seattle aquarium, EB_P61",N/A,80,N/A,16.2311,61.17,26.63,18.82,5.0107,,
"Seattle aquarium, EB_P62",N/A,81,N/A,16.1972,60.33,25.93,19.67,4.4651,,
Jamstan,N/A,82,N/A,13.0567,55.75,25.17,18.3,3.6144,,
Jamstan,N/A,83,N/A,14.9971,55.1,27.87,19.07,4.6594,,
Jamstan,N/A,84,N/A,11.0054,51.96,24.21,18.5,3.3668,,
Jamstan,N/A,85,N/A,13.568,54.99,27.36,19.06,3.8378,,
Jamstan,N/A,86,N/A,13.3637,60.6,25.38,22.06,4.5048,,
Jamstan,N/A,87,N/A,17.6865,60.13,27.02,20.92,4.6876,,
Oak Bay county park,N/A,88,N/A,15.0373,54.11,24.54,20.35,4.9269,,
Oak Bay county park,N/A,89,N/A,17.7286,61.17,27.68,19.29,5.2285,,
Oak Bay county park,N/A,90,N/A,13.0413,53.806,25.38,18.99,3.6398,,
Oak Bay county park,N/A,91,N/A,11.1598,54.16,25.33,19.18,4.0147,,
Smith Cove,N/A,92,N/A,18.8636,59.5,27.07,20.68,5.191,,
Smith Cove,N/A,93,N/A,12.4626,48.58,27.11,19.21,3.8618,,
Smith Cove,N/A,94,N/A,11.2869,53.33,23.5,18.35,3.3187,,
Smith Cove,N/A,95,N/A,13.8179,54.59,26.28,19.78,4.3855,,
Bralenwood,N/A,96,N/A,15.8383,60.24,26.11,19.7,4.3925,,
Bralenwood,N/A,97,N/A,15.8919,58.67,27.49,19.06,5.7358,,
Bralenwood,N/A,98,N/A,19.4573,62.93,29.59,20.53,6.3745,,
Bralenwood,N/A,99,N/A,17.4894,61.43,27.83,22.01,4.5901,,
Chimawum Cr,N/A,100,N/A,17.7318,60.98,25.96,21.22,5.4497,,
Chimawum Cr,N/A,101,N/A,11.0963,52.86,24.82,17.8,4.4052,,
Chimawum Cr,N/A,102,N/A,14.0518,55.95,24.15,20.32,4.8619,,
Chimawum Cr,N/A,103,N/A,16.1098,55.17,24.85,23.36,6.5881,,
Hood Canal Holly He-Ho,N/A,104,N/A,15.2257,59.59,26.28,20.52,4.9982,,
Hood Canal Holly He-Ho,N/A,105,N/A,14.7544,56.15,25.53,20.86,4.5332,,
Hood Canal Holly He-Ho,N/A,106,N/A,17.157,58.76,26.68,22.35,5.0567,,
Hood Canal Holly He-Ho,N/A,107,N/A,16.6466,60.8,27.27,21.28,4.7552,,
Hood Canal Holly He-Ho,N/A,108,N/A,16.3448,58.36,27.32,19.36,5.4465,,
Hood Canal Holly He-Ho,N/A,109,N/A,17.4724,60.34,27.46,19.99,5.4547,,
pt.difionel ferry,N/A,110,N/A,14.6239,59.56,27.63,17.96,4.1242,,
pt.difionel ferry,N/A,111,N/A,14.0849,56.35,24.55,19.85,3.8854,,
pt.difionel ferry,N/A,112,N/A,12.5979,54.89,23.83,17.61,3.7819,,
pt.difionel ferry,N/A,113,N/A,14.6816,56.32,26.16,19.62,4.1811,,
Dick gilmer,N/A,114,N/A,13.8722,59.74,25.48,18.67,3.4896,"Super icy tissue, almost indistiguishable from ice",
Dick gilmer,N/A,115,N/A,17.8843,61.58,27.21,21.49,5.3065,,
Dick gilmer,N/A,116,N/A,13.1118,56.19,26.09,19.63,4.301,,
Dick gilmer,N/A,117,N/A,18.2975,61.41,27.4,21.52,5.2982,,
thea foss,N/A,118,N/A,13.6374,58.63,28.6,16.85,4.2239,,
thea foss,N/A,119,N/A,14.5754,57.26,24.62,19.86,4.4247,,
thea foss,N/A,120,N/A,13.1584,55.99,24.13,18.48,4.2112,,
thea foss,N/A,121,N/A,16.6034,57.47,26.45,21.89,5.2085,,
thea foss,N/A,122,N/A,7.9967,60.02,27.49,22.34,5.4188,,
Salmon blach,N/A,123,N/A,16.972,56.34,30.2,21.25,5.3641,,
Salmon blach,N/A,124,N/A,10.6403,50.89,22.22,18.5,3.4388,,
Salmon blach,N/A,125,N/A,11.0115,51.9,23.67,18.02,3.4542,,
Salmon blach,N/A,126,N/A,12.8244,59.3,22.35,19.98,3.9896,,
