Individual ,Valve,notch,top,opp,bottom
96,R,0.22,0.55,0.27,1.07
97,L,0.31,0.4,0.56,1.13
97,R,0.3,0.19,0.48,1.64
98,L,0.47,0.16,0.7,1.35
98,R,0.26,0.48,0.42,2.16
99,L,0.66,0.31,0.62,0.98
99,R,0.79,0.22,0.33,2.12
100,L,0.29,0.27,0.47,1.55
100,R,0.6,0.52,0.56,2.3
101,L,0.5,0.34,0.5,1.43
101,R,0.44,0.37,0.44,1.97
102,L,0.45,0.73,0.63,2.07
102,R,0.6,0.62,0.61,2.25
103,L,0.56,0.66,0.81,2.21
103,R,0.68,0.7,0.62,2.11
104,L,0.19,0.4,0.26,1.3
104,R,0.21,0.61,0.49,2.32
105,L,0.4,0.3,0.62,1.3
105,R,0.41,0.11,0.27,2.07
106,L,0.33,0.94,0.22,1.49
106,R,0.24,0.4,0.45,1.93
107,L,0.21,0.13,0.3,1.46
107,R,0.33,0.24,0.22,1.7
108,L,0.39,0.38,0.14,1.46
108,R,0.19,0.23,0.49,1.75
109,L,0.31,0.44,0.2,1.38
109,R,0.26,0.3,0.4,2.19
110,L,0.29,0.27,0.39,1.8
110,R,0.61,0.54,0.46,1.94
111,L,0.41,0.39,0.57,1.49
111,R,0.48,0.36,0.49,2.1
112,L,0.4,0.47,0.47,1.94
112,R,0.41,0.78,0.54,1.95
113,L,0.63,0.74,0.54,1.67
113,R,0.64,0.59,0.57,1.82
114,L,0.36,0.27,0.53,1.41
114,R,0.27,0.31,0.36,1.56
115,L,0.63,0.36,0.56,2.05
115,R,0.49,0.52,0.71,2.13
116,L,0.29,0.8,0.47,1.38
116,R,0.55,0.96,0.66,1.83
117,L,0.53,0.64,0.48,1.46
117,R,0.65,0.69,0.58,2.12
118,L,0.56,0.53,0.88,1.34
118,R,0.5,0.67,0.55,1.93
119,L,0.64,0.75,0.56,1.59
119,R,0.55,0.59,0.64,1.77
120,L,0.68,0.61,0.52,1.86
120,R,0.71,0.6,0.29,2.11
121,L,0.75,0.51,0.59,1.61
121,R,0.73,0.6,0.64,2.13
122,L,0.5,0.72,0.55,1.24
122,R,0.61,0.73,0.43,2.03
123,L,0.68,0.86,0.93,1.29
123,R,0.58,0.71,0.98,1.43
124,L,0.51,0.42,0.55,1.23
124,R,0.49,0.3,0.47,1.48
125,L,0.61,0.4,0.5,1.73
125,R,0.4,0.48,0.56,1.71
126,L,0.57,0.74,0.57,1.37
126,R,0.72,1.12,1.01,2.17
127,L,0.6,0.52,0.54,1.67
127,R,0.7,0.73,0.59,1.75
128,L,0.66,0.71,0.8,2.09
128,R,0.57,0.55,0.71,1.88
129,L,0.79,0.53,0.67,2.29
129,R,0.59,0.98,0.49,2.28
130,L,0.78,0.6,0.82,2.69
130,R,0.76,0.68,0.85,2.91
131,L,0.69,0.62,0.59,1.79
131,R,0.66,0.55,0.59,1.62
132,L,0.45,0.61,0.69,1.71
132,R,0.41,0.61,0.51,1.74
133,L,0.82,0.58,0.56,2.1
133,R,0.64,0.65,0.63,2.2
134,L,0.68,0.5,0.7,2.34
134,R,0.63,0.66,0.75,2.52
135,L,0.6,0.51,0.6,1.73
135,R,0.56,0.56,0.59,1.85
136,L,0.47,0.31,0.64,2.14
