site_name,site_number,sample,p450,SOD
,52,250,9888442,4.0955
,52,251,2558683,9.2097
,26,252,5178253,-0.2611
,52,253,8338308,0.7752
,26,254,1705387,3.4678
,26,255,1267023,5.2869
,26,256,3732773,17.0734
,24,257,12721347,1.8950
,24,258,2967756,3.9328
,24,259,5002813,1.7547
,24,260,1964479,9.3621
,33,261,12583522,2.1297
,33,262,4548390,3.6818
,33,263,4658604,4.9152
,33,264,2700803,-2.4569
,44,265,4311572,0.1894
,44,266,2345153,-0.3690
,44,267,2003071,6.2060
,44,268,4080904,3.6049
,30,269,1266317,0.8965
,30,270,1780096,10.8747
,30,271,4813963,7.4158
,30,272,1386547,9.2770
,39,273,7178794,7.6358
,39,274,7550982,0.3672
,39,275,1945061,0.0276
,39,276,6947155,10.3041
,22,277,8434870,-195.8056
,22,278,9703015,8.9978
,22,279,4665257,19.8030
,22,280,6864899,3.6968
,13,281,3448794,7.0839
,13,282,6485447,0.6348
,13,283,3563340,11.8838
,13,284,1813227,18.1053
,13,285,1987132,15.2846
,13,286,9587219,0.0000
,16,287,5854695,-0.4475
,16,288,2506610,4.5920
,16,289,2016415,1.3299
,16,290,4648754,-2.3271
,18,291,4026125,0.8538
,18,292,2842961,1.5407
,18,293,2013492,12.8311
,18,294,2568717,24.4005
,27,295,4297558,15.4353
,27,296,1980727,7.3957
,27,297,8616041,14.1464
,27,298,3139278,2.6046
,37,299,8920913,6.1002
,37,300,8605549,31.3678
,37,301,2556710,7.8690
,37,302,6089843,13.8363
,7,303,8854036,-4.6145
,7,304,31917668,0.5635
,7,305,5141401,2.4383
,7,306,3248979,-1.4314
,11,307,2150285,12.9918
,11,308,5028627,5.3323
,11,309,5112018,-0.6580
,11,310,11966241,4.9487
,11,311,2059689,8.3885
,11,312,2318505,2.4083
