site_name,site_number,sample,p450,SOD
,21,1,5679312,4.0265
,21,2,6097784,4.4095
,21,3,3868923,5.0643
,21,4,3899451,25.0582
,34,5,5346329,0.5120
,34,6,2044561,6.0487
,34,7,5633230,2.3260
,34,8,4330102,14.3901
,50,9,7518449,2.8153
,50,10,2993202,4.8452
,50,11,3607485,7.4377
,50,12,2656342,2.8997
,9,13,3719291,8.9894
,9,14,5059896,7.3337
,9,15,4168799,0.9780
,9,16,1279705,27.9267
,65,17,7725177,7.6128
,65,18,5159851,6.4003
,65,19,3877914,0.2711
,65,20,3542349,16.1416
,68,21,3150477,7.0343
,68,22,6702376,11.4022
,68,23,52717198,34.3545
,68,24,2444905,13.7081
,74,25,4424850,2.9881
,74,26,3385205,8.4724
,74,27,3153370,13.7311
,74,28,1063470,25.6186
,14,29,6892889,1.4865
,14,30,12192291,6.5511
,14,31,8571444,13.2404
,14,32,9119663,0.9753
,75,33,4058856,5.6422
,75,34,2991933,9.7609
,75,35,3977493,1.0051
,75,36,3836553,1.4627
,45,37,6882929,7.1902
,45,38,6222187,4.1942
,45,39,0,17.3238
,45,40,4654335,6.9658
,3,41,2017393,22.2334
,3,42,3364046,34.4919
,3,43,956176,29.8403
,3,44,3373010,8.8750
,35,45,958833,8.6381
,35,46,2088081,6.5688
,35,47,1877700,15.5722
,35,48,1683751,73.3449
,60,49,3011817,-1.0950
,60,50,582761,13.7083
,60,51,5287826,25.4487
,60,52,1134272,8.6853
,25,53,3524590,2.0563
,25,54,990580,72.9814
,25,55,1166004,12.5067
,25,56,5858996,35.4358
,31,57,2870476,27.2717
,31,58,939029,2.0699
,31,59,2018358,12.5449
,31,60,1556940,58.7833
,63,61,0,5.9924
,63,62,1669995,22.3159
,63,63,4332608,26.7211
,63,64,4034245,17.0313
,71,65,3404367,17.3312
,71,66,2281563,8.1887
,71,67,1153344,6.9833
,71,68,3237832,63.5467
,19,69,1975307,39.1592
,19,70,2362670,41.4485
,19,71,3125326,28.0871
,19,72,2002597,20.4370
,19,73,2881838,44.9936
,47,74,3562058,13.9375
,47,75,4066301,15.7973
,47,76,1243643,9.5295
,47,77,6878714,5.5905
,17,78,2711200,84.4189
,17,79,2381238,9.3933
,17,80,4956424,1.7363
,17,81,2492074,-0.3001
,2,82,2974772,27.3531
,2,83,5366142,39.5811
,2,84,2235746,25.8438
,2,85,3343459,20.4528
,2,86,2786163,15.5820
,2,87,2874808,18.1113
,10,88,2226326,12.5327
,10,89,3074754,11.4850
,10,90,2424855,51.7288
,10,91,1614645,3.4837
,15,92,2166819,15.2124
,15,93,7732418,17.1481
,15,94,1617973,10.0018
,15,95,4318486,36.2834
,23,96,1269238,-2.3698
,23,97,2212557,15.9887
,23,98,1783953,23.2054
,23,99,2162299,0.1439
,8,100,2951937,3.7566
,8,101,1783000,2.8366
,8,102,2742180,-0.4895
,8,103,3089178,2.1772
,29,104,0,-9.6531
,29,105,0,9.8302
,29,106,291641,-4.2478
,29,107,1693665,-7.4935
,29,108,0,-8.5595
,29,109,380110,-7.0629
,43,110,2209441,4.6467
,43,111,1743980,24.6773
,43,112,2845932,3.1703
,43,113,1928074,11.0433
,48,114,0,118.6828
,48,115,4982158,22.9274
,48,116,4040973,14.7616
,48,117,2353073,8.8190
,46,118,1010594,17.1817
,46,119,1453659,13.4019
,46,120,2434731,13.8169
,46,121,0,48.7982
,46,122,8793166,0.2546
,40,123,916811,0.0000
,40,124,2352491,12.9329
,40,125,2963755,8.9180
,40,126,1383018,51.4696
,56,127,4935346,15.5983
,56,128,3856796,14.4921
,56,129,4797197,8.6587
,56,130,4420012,-1.7834
,58,131,5823222,5.4353
,58,132,2932222,9.9435
,58,133,5726357,14.6561
,58,134,1906238,-6.9063
,67,135,5545198,20.0483
,67,136,3670556,0.1346
,67,137,7831524,9.0754
,67,138,5606185,0.7866
,67,139,4974611,6.4429
,67,140,5640873,1.0353
,42,141,3885225,26.4242
,42,142,2469960,12.8544
,42,143,3506452,2.6369
,42,144,4998033,1.2694
,57,145,6119860,-2.5706
,57,146,5329851,-0.7264
,57,147,4051273,-1.3510
,57,148,3471329,7.0358
,41,149,4422422,0.6717
,41,150,5411649,6.4319
,41,151,6052641,9.5899
,41,152,3631858,9.3767
,28,153,6373497,8.3148
,28,154,6651025,2.0694
,28,155,3417364,2.3686
,28,156,6776918,2.7326
,49,157,4517486,5.0198
,49,158,15260103,16.2676
,49,159,3705987,5.7676
,49,160,8193639,4.9295
,49,161,6366494,-0.6357
,12,162,5437003,17.5123
,12,163,5775686,1.4852
,12,164,1513923,15.9568
,12,165,3392978,-0.2132
,36,166,2529572,4.5462
,36,167,5982158,7.7216
,36,168,4667834,3.9397
,36,169,7944848,0.0482
,32,170,1476511,3.5062
,32,171,4087247,2.6309
,32,172,3101248,0.8438
,32,173,4147207,1.9989
,59,174,6630611,-0.5617
,59,175,6728961,2.0060
,59,176,3656052,19.0124
,59,177,8044535,0.2318
,55,178,4961205,3.4680
,55,179,6536182,2.5247
,55,180,6263391,-1.9829
,55,181,7066217,1.9699
,73,182,7223931,2.6205
,73,183,4047412,3.5717
,73,184,7647788,5.7888
,73,185,4006818,-2.3553
,72,186,5090553,10.4643
,72,187,1226696,35.5990
,72,188,6522867,14.2679
,72,189,5739407,22.8329
,70,190,4215635,1.1264
,70,191,3759846,1.5932
,70,192,4597377,-0.4235
,70,193,2521368,10.0072
,54,194,2165448,-0.7609
,54,195,9793068,1.5103
,54,196,7655768,2.4722
,54,197,9992165,1.5313
,38,198,6350828,-3.7076
,38,199,9006878,16.6422
,38,200,6605220,-2.7582
,38,201,3512019,6.7876
,51,202,5079449,-4.0549
,51,203,4528128,3.6937
,51,204,1311133,-4.1184
,51,205,0,14.7873
,66,206,5318907,-3.8003
,66,207,6420811,-1.2381
,66,208,6149521,1.4955
,66,209,3196587,-0.3052
,62,210,3680347,0.0158
,62,211,4764132,0.0644
,62,212,4827148,5.6918
,62,213,3461581,-3.0150
,64,214,1293754,14.3706
,64,215,4083185,4.8951
,64,216,3480344,133.2677
,64,217,6057021,11.9474
,53,218,6420643,-2.9389
,53,219,6767449,2.8548
,53,220,3322946,11.0289
,53,221,1581168,1.2259
,61,222,2728430,-2.9279
,61,223,2977245,12.3111
,61,224,3660262,2.2966
,61,225,6464229,-4.8780
,61,226,3941050,18.9351
,69,227,6928220,0.8178
,69,228,2077255,-4.2492
,69,229,5845804,-2.4346
,69,230,3992468,-4.3265
,20,231,5994423,-1.5335
,20,232,4130787,1.0411
,20,233,5542261,7.7041
,20,234,7321595,7.3136
,76,235,1911632,10.2044
,76,236,2139153,7.0757
,76,237,3303872,2.1083
,76,238,2252655,2.2178
,77,239,5965780,-0.2315
,77,240,1508156,4.8768
,77,241,4674882,8.8713
,77,242,2861653,0.0101
,1,243,5418454,14.8947
,1,244,6806288,3.3233
,1,245,4525700,24.3318
,1,246,2848746,-0.0604
,1,247,12345151,-0.0353
,1,248,2563791,1.7582
,52,249,8355096,4.8232
