"","X","sample_id","latitude","longitude","lat_range.x","long_range.x","label.x","site_name","site_number","reporting_area","geo_group","p16.x","p42.x","plmw.x","phmw.x","pcb.x","p450","sod","shell","ci1","ci2","ci3","geo","lat_range.y","long_range.y","label.y","Analyte.x","Units.x","DryValue.x","Comments.x","pcb.y","DryValue_Group.x","Analyte.y","Units.y","DryValue.y","Comments.y","p16.y","DryValue_Group.y","Analyte.x.x","Units.x.x","DryValue.x.x","Comments.x.x","p42.y","Analyte.y.y","Units.y.y","DryValue.y.y","Comments.y.y","phmw.y","DryValue_Group.x.x","Analyte.x.x.x","Units.x.x.x","plmw.y","Comments.x.x.x","DryValue_Group.y.y","Analyte.y.y.y","Units.y.y.y","DryValue.x.x.x","Comments.y.y.y","phmw","DryValue_Group","Analyte","Units","DryValue.y.y.y","Comments","p42"
"12",12,12,47.2619,-122.7376,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Pennrose Point State Park",50,13,5,2,3,3,2,2,10820981,2.951,0.81,0.02,0.709,0.046,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,13,48.02667,-122.75076,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","S of Skunk Island",9,9,5,2,3,3,2,2,2931739,8.989,0.815,0.032,0.716,0.056,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Sum40CBs","ng/g",18.0173959,NA,1,"1","SumPAHs16","ng/g",144.1391671,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",294.2841328,NA,1,"SumPAHsHMW","ng/g",132.1275698,"dNPH Surrogate recovery below minimum QA value (60%)",1,"1","SumPAHsLMW","ng/g",162.156563,"dNPH Surrogate recovery below minimum QA value (60%)","1","SumPAHsHMW","ng/g",132.1275698,"dNPH Surrogate recovery below minimum QA value (60%)",1,"1","SumPAHs42_DMNcorrected","ng/g",294.2841328,NA,1
"14",14,14,48.02667,-122.75076,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","S of Skunk Island",9,9,5,2,3,3,2,2,8066086,8.102,0.855,0.036,0.683,0.059,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Sum40CBs","ng/g",18.0173959,NA,1,"1","SumPAHs16","ng/g",144.1391671,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",294.2841328,NA,1,"SumPAHsHMW","ng/g",132.1275698,"dNPH Surrogate recovery below minimum QA value (60%)",1,"1","SumPAHsLMW","ng/g",162.156563,"dNPH Surrogate recovery below minimum QA value (60%)","1","SumPAHsHMW","ng/g",132.1275698,"dNPH Surrogate recovery below minimum QA value (60%)",1,"1","SumPAHs42_DMNcorrected","ng/g",294.2841328,NA,1
"15",15,15,48.02667,-122.75076,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","S of Skunk Island",9,9,5,3,3,4,2,3,NA,0.978,0.78,0.034,0.709,0.061,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Sum40CBs","ng/g",18.0173959,NA,1,"1","SumPAHs16","ng/g",144.1391671,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",294.2841328,NA,1,"SumPAHsHMW","ng/g",132.1275698,"dNPH Surrogate recovery below minimum QA value (60%)",1,"1","SumPAHsLMW","ng/g",162.156563,"dNPH Surrogate recovery below minimum QA value (60%)","1","SumPAHsHMW","ng/g",132.1275698,"dNPH Surrogate recovery below minimum QA value (60%)",1,"1","SumPAHs42_DMNcorrected","ng/g",294.2841328,NA,1
"16",16,16,48.02667,-122.75076,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","S of Skunk Island",9,9,5,3,3,4,2,3,1279970,22.376,0.695,0.034,0.735,0.058,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Sum40CBs","ng/g",18.0173959,NA,1,"1","SumPAHs16","ng/g",144.1391671,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",294.2841328,NA,1,"SumPAHsHMW","ng/g",132.1275698,"dNPH Surrogate recovery below minimum QA value (60%)",1,"1","SumPAHsLMW","ng/g",162.156563,"dNPH Surrogate recovery below minimum QA value (60%)","1","SumPAHsHMW","ng/g",132.1275698,"dNPH Surrogate recovery below minimum QA value (60%)",1,"1","SumPAHs42_DMNcorrected","ng/g",294.2841328,NA,1
"17",17,17,47.94968,-122.30158,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Mukilteo",65,8.2,5,3,3,4,2,3,13015373,7.613,0.805,0.032,0.686,0.047,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",31.0727741,NA,2,"2","SumPAHs16","ng/g",207.1518271,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",440.1976325,NA,2,"SumPAHsHMW","ng/g",194.2048379,NA,2,"1","SumPAHsLMW","ng/g",245.9927946,NA,"1","SumPAHsHMW","ng/g",194.2048379,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",440.1976325,NA,2
"18",18,18,47.94968,-122.30158,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Mukilteo",65,8.2,5,3,3,4,2,3,6552124,6.4,0.83,0.033,0.709,0.053,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",31.0727741,NA,2,"2","SumPAHs16","ng/g",207.1518271,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",440.1976325,NA,2,"SumPAHsHMW","ng/g",194.2048379,NA,2,"1","SumPAHsLMW","ng/g",245.9927946,NA,"1","SumPAHsHMW","ng/g",194.2048379,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",440.1976325,NA,2
"19",19,19,47.94968,-122.30158,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Mukilteo",65,8.2,3,2,2,2,1,2,11487224,0.271,0.855,0.032,0.675,0.049,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",31.0727741,NA,2,"2","SumPAHs16","ng/g",207.1518271,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",440.1976325,NA,2,"SumPAHsHMW","ng/g",194.2048379,NA,2,"1","SumPAHsLMW","ng/g",245.9927946,NA,"1","SumPAHsHMW","ng/g",194.2048379,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",440.1976325,NA,2
"20",20,20,47.94968,-122.30158,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Mukilteo",65,8.2,3,2,2,2,1,2,3799311,16.142,0.675,0.034,0.726,0.054,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",31.0727741,NA,2,"2","SumPAHs16","ng/g",207.1518271,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",440.1976325,NA,2,"SumPAHsHMW","ng/g",194.2048379,NA,2,"1","SumPAHsLMW","ng/g",245.9927946,NA,"1","SumPAHsHMW","ng/g",194.2048379,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",440.1976325,NA,2
"21",21,21,47.8111,-122.388,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Edmonds Marina",68,9,3,2,2,2,1,2,2670664,7.034,0.665,0.037,0.719,0.055,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",40.999446,NA,3,"2","SumPAHs16","ng/g",374.8520776,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",702.8476454,NA,3,"SumPAHsHMW","ng/g",374.8520776,NA,2,"2","SumPAHsLMW","ng/g",304.567313,NA,"1","SumPAHsHMW","ng/g",374.8520776,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",702.8476454,NA,3
