site_name,site_number,latitude,longitude,p450,SOD,condition_factor,avg_thickness,arsenic,cadmium,copper,lead,mercuryTotal,SumBDEs,SumCHLDs,SumDDTs,SumHCHs,SumPAHs16,SumPAHsHMW,SumPCBs2x17,Zinc,acenaphthene,anthracene,benz[a]anthracene,benzo[a]pyrene,benzo[b]fluoranthene,benzo[e]pyrene,benzo[ghi]perylene,benzo[k]fluoranthene,C1-benzanthracenes/chrysenes,C1-dibenzothiophenes,C1-fluoranthenes/pyrenes,C1-fluorenes,C1-naphthalenes,C1-phenanthrenes/anthracenes,C2-benzanthracenes/chrysenes,C2-dibenzothiophenes,C2-fluoranthenes/pyrenes,C2-fluorenes,C2-naphthalenes,C2-phenanthrenes/anthracenes,C3-benzanthracenes/chrysenes,C3-dibenzothiophenes,C3-fluoranthenes/pyrenes,C3-fluorenes,C3-naphthalenes,C3-phenanthrenes/anthracenes,C4-benzanthracenes/chrysenes,C4-dibenzothiophenes,C4-fluoranthenes/pyrenes,C4-naphthalenes,C4-phenanthrenes/anthracenes,chrysene,"dibenz[a,h]anthracene",dibenzothiophene,"indeno[1,2,3-cd]pyrene",phenanthrene
Blair Waterway,41,47.27568,-122.4173,3631858,9.377,0.2066,0.71,8.114285714,1.622857143,5.828571429,0.255428571,0.032057143,15.95208433,4.345567801,9.901293723,0.880114998,247.5323431,280.5366555,NA,98.85714286,5.500718735,6.050790609,17.05222808,NA,9.901293723,12.10158122,NA,10.4513656,12.65165309,3.905510302,22.00287494,5.115668424,NA,45.10589363,11.00143747,9.35122185,14.85194058,9.901293723,17.43727839,NA,5.500718735,10.4513656,13.75179684,17.60229995,NA,71.50934356,NA,NA,5.005654049,26.40344993,55.00718735,24.75323431,NA,NA,NA,37.95495927
Blair Waterway,41,47.27568,-122.4173,5411649,6.432,0.1731,0.68,8.114285714,1.622857143,5.828571429,0.255428571,0.032057143,15.95208433,4.345567801,9.901293723,0.880114998,247.5323431,280.5366555,NA,98.85714286,5.500718735,6.050790609,17.05222808,NA,9.901293723,12.10158122,NA,10.4513656,12.65165309,3.905510302,22.00287494,5.115668424,NA,45.10589363,11.00143747,9.35122185,14.85194058,9.901293723,17.43727839,NA,5.500718735,10.4513656,13.75179684,17.60229995,NA,71.50934356,NA,NA,5.005654049,26.40344993,55.00718735,24.75323431,NA,NA,NA,37.95495927
Blair Waterway,41,47.27568,-122.4173,6052641,9.59,0.1902,1.075,8.114285714,1.622857143,5.828571429,0.255428571,0.032057143,15.95208433,4.345567801,9.901293723,0.880114998,247.5323431,280.5366555,NA,98.85714286,5.500718735,6.050790609,17.05222808,NA,9.901293723,12.10158122,NA,10.4513656,12.65165309,3.905510302,22.00287494,5.115668424,NA,45.10589363,11.00143747,9.35122185,14.85194058,9.901293723,17.43727839,NA,5.500718735,10.4513656,13.75179684,17.60229995,NA,71.50934356,NA,NA,5.005654049,26.40344993,55.00718735,24.75323431,NA,NA,NA,37.95495927
Blair Waterway,41,47.27568,-122.4173,4422422,0.672,0.1921,0.89,8.114285714,1.622857143,5.828571429,0.255428571,0.032057143,15.95208433,4.345567801,9.901293723,0.880114998,247.5323431,280.5366555,NA,98.85714286,5.500718735,6.050790609,17.05222808,NA,9.901293723,12.10158122,NA,10.4513656,12.65165309,3.905510302,22.00287494,5.115668424,NA,45.10589363,11.00143747,9.35122185,14.85194058,9.901293723,17.43727839,NA,5.500718735,10.4513656,13.75179684,17.60229995,NA,71.50934356,NA,NA,5.005654049,26.40344993,55.00718735,24.75323431,NA,NA,NA,37.95495927
Blair Waterway #2,42,47.2632444,-122.385731,3885225,26.424,0.1293,0.745,8.373493976,1.704819277,8.13253012,0.184939759,NA,9.164254703,NA,17.71755909,0.977520502,299.3656536,403.2272069,NA,85.54216867,7.942354076,5.315267728,17.71755909,NA,17.10660878,26.27086348,6.720453449,16.49565847,28.10371442,NA,28.71466474,6.109503136,NA,45.2103232,29.32561505,13.4409069,23.82706223,17.71755909,18.32850941,103.8615533,15.88470815,18.93945972,26.8818138,40.93367101,NA,128.2995658,NA,15.88470815,8.55330439,32.99131693,85.5330439,39.71177038,NA,NA,NA,39.10082007
Blair Waterway #2,42,47.2632444,-122.385731,4998033,1.269,0.1409,0.815,8.373493976,1.704819277,8.13253012,0.184939759,NA,9.164254703,NA,17.71755909,0.977520502,299.3656536,403.2272069,NA,85.54216867,7.942354076,5.315267728,17.71755909,NA,17.10660878,26.27086348,6.720453449,16.49565847,28.10371442,NA,28.71466474,6.109503136,NA,45.2103232,29.32561505,13.4409069,23.82706223,17.71755909,18.32850941,103.8615533,15.88470815,18.93945972,26.8818138,40.93367101,NA,128.2995658,NA,15.88470815,8.55330439,32.99131693,85.5330439,39.71177038,NA,NA,NA,39.10082007
Blair Waterway #2,42,47.2632444,-122.385731,2469960,12.854,0.1541,0.97,8.373493976,1.704819277,8.13253012,0.184939759,NA,9.164254703,NA,17.71755909,0.977520502,299.3656536,403.2272069,NA,85.54216867,7.942354076,5.315267728,17.71755909,NA,17.10660878,26.27086348,6.720453449,16.49565847,28.10371442,NA,28.71466474,6.109503136,NA,45.2103232,29.32561505,13.4409069,23.82706223,17.71755909,18.32850941,103.8615533,15.88470815,18.93945972,26.8818138,40.93367101,NA,128.2995658,NA,15.88470815,8.55330439,32.99131693,85.5330439,39.71177038,NA,NA,NA,39.10082007
Blair Waterway #2,42,47.2632444,-122.385731,3506452,2.637,0.1604,0.9,8.373493976,1.704819277,8.13253012,0.184939759,NA,9.164254703,NA,17.71755909,0.977520502,299.3656536,403.2272069,NA,85.54216867,7.942354076,5.315267728,17.71755909,NA,17.10660878,26.27086348,6.720453449,16.49565847,28.10371442,NA,28.71466474,6.109503136,NA,45.2103232,29.32561505,13.4409069,23.82706223,17.71755909,18.32850941,103.8615533,15.88470815,18.93945972,26.8818138,40.93367101,NA,128.2995658,NA,15.88470815,8.55330439,32.99131693,85.5330439,39.71177038,NA,NA,NA,39.10082007
Brackenwood Ln,23,47.68234,-122.5064,2212557,15.989,0.1732,0.625,8.698224852,1.857988166,6.213017751,0.220118343,0.037455621,2.005830212,NA,2.182815231,NA,176.9850187,176.9850187,NA,90.53254438,NA,NA,12.97890137,NA,9.439200999,6.489450687,NA,11.79900125,7.079400749,NA,15.33870162,NA,NA,27.13770287,3.7756804,NA,8.259300874,4.719600499,10.02915106,NA,NA,NA,4.424625468,10.61910112,NA,30.08745318,NA,NA,NA,NA,23.00805243,21.82815231,NA,NA,NA,37.16685393
Brackenwood Ln,23,47.68234,-122.5064,2162299,0.144,0.21,0.755,8.698224852,1.857988166,6.213017751,0.220118343,0.037455621,2.005830212,NA,2.182815231,NA,176.9850187,176.9850187,NA,90.53254438,NA,NA,12.97890137,NA,9.439200999,6.489450687,NA,11.79900125,7.079400749,NA,15.33870162,NA,NA,27.13770287,3.7756804,NA,8.259300874,4.719600499,10.02915106,NA,NA,NA,4.424625468,10.61910112,NA,30.08745318,NA,NA,NA,NA,23.00805243,21.82815231,NA,NA,NA,37.16685393
