site_name,latitude,longitude,reporting_area,site_number,sample_id,p450,mercury,arsenic,cadmium,copper,lead,zinc,lmwPAH,PAH16,sumPCB,hmwPAH,sumPAH,PAHgroup,PAHgroup2
Kopachuck State Park,47.30973,-122.68868,13,52,253,8335261.529,0.040065359,8.366013072,2.078431373,5.470588235,0.173856209,84.31372549,87.71591992,59.37693041,43.18322212,53.97902765,141.6949476,low,low
Locust Beach,48.77636877,-122.5378679,7,76,235,1911450.926,0.031280488,8.963414634,1.774390244,6.829268293,0.25,82.92682927,121.6041553,46.08157463,28.80098414,27.5209404,147.2050301,low,low
Locust Beach,48.77636877,-122.5378679,7,76,236,2007311.21,0.031280488,8.963414634,1.774390244,6.829268293,0.25,82.92682927,121.6041553,46.08157463,28.80098414,27.5209404,147.2050301,low,low
Locust Beach,48.77636877,-122.5378679,7,76,237,3303875.928,0.031280488,8.963414634,1.774390244,6.829268293,0.25,82.92682927,121.6041553,46.08157463,28.80098414,27.5209404,147.2050301,low,low
Locust Beach,48.77636877,-122.5378679,7,76,238,2252563.285,0.031280488,8.963414634,1.774390244,6.829268293,0.25,82.92682927,121.6041553,46.08157463,28.80098414,27.5209404,147.2050301,low,low
Raft Island Park,47.32598,-122.66724,13,53,220,3033147.325,0.035714286,8.095238095,2.115646259,7.755102041,0.218367347,80.95238095,91.46345811,70.35650624,43.62103387,61.91372549,147.7486631,low,low
Raft Island Park,47.32598,-122.66724,13,53,218,6066970.935,0.035714286,8.095238095,2.115646259,7.755102041,0.218367347,80.95238095,91.46345811,70.35650624,43.62103387,61.91372549,147.7486631,low,low
Raft Island Park,47.32598,-122.66724,13,53,219,6061146.136,0.035714286,8.095238095,2.115646259,7.755102041,0.218367347,80.95238095,91.46345811,70.35650624,43.62103387,61.91372549,147.7486631,low,low
Raft Island Park,47.32598,-122.66724,13,53,221,1581058.797,0.035714286,8.095238095,2.115646259,7.755102041,0.218367347,80.95238095,91.46345811,70.35650624,43.62103387,61.91372549,147.7486631,low,low
Filucy Bay,47.19483,-122.748665,13,59,174,12472187.71,0.042352941,8.117647059,1.741176471,5.747058824,0.228823529,77.64705882,88.96386823,65.24017003,54.56450584,59.30924548,148.2731137,low,low
Filucy Bay,47.19483,-122.748665,13,59,175,6726341.292,0.042352941,8.117647059,1.741176471,5.747058824,0.228823529,77.64705882,88.96386823,65.24017003,54.56450584,59.30924548,148.2731137,low,low
Filucy Bay,47.19483,-122.748665,13,59,176,13491947.47,0.042352941,8.117647059,1.741176471,5.747058824,0.228823529,77.64705882,88.96386823,65.24017003,54.56450584,59.30924548,148.2731137,low,low
Filucy Bay,47.19483,-122.748665,13,59,177,10820612.01,0.042352941,8.117647059,1.741176471,5.747058824,0.228823529,77.64705882,88.96386823,65.24017003,54.56450584,59.30924548,148.2731137,low,low
