site_name,analyte,dryvalue
Skiff Point,SumBDEs,-2.19020462
S of Skunk Island,SumBDEs,-1.561507644
"Chuckanut, Clark's Point",SumBDEs,-1.319775561
Port Angeles Yacht Club,SumBDEs,-1.442474227
Discovery Bay,SumBDEs,-0.894344487
Squaxin Island,SumBDEs,-1.359455056
Eld Inlet,SumBDEs,-1.233361502
North Camano,SumBDEs,-1.52350365
Reach Island,SumBDEs,-1.459528689
Friday Harbor,SumBDEs,-1.378736591
Drayton Harbor,SumBDEs,-2.977107623
Cap Sante,SumBDEs,-1.400613139
Locust Beach,SumBDEs,-1.472050301
Aiston Preserve,SumBDEs,-1.095784314
Penn Cove Reference,SumBDEs,-1.389857973
Hood Canal Holly,SumBDEs,-1.57078341
Broad Spit,SumBDEs,-1.272607482
Penn Cove Baseline 1,SumBDEs,-0.749296975
Penn Cove Baseline 2,SumBDEs,-1.006530612
Penn Cove Baseline 3,SumBDEs,-0.639488043
"Cherry Point Aquatic Reserve, Conoco Phillips",SumBDEs,-1.026235932
Meyer's Point - Henderson Inlet,SumBDEs,-1.338246269
"Fidalgo Bay Aq Reserve, Weaverling Spit",SumBDEs,-2.035089451
Jamestown,SumBDEs,-1.392056221
Oak Bay County Park,SumBDEs,-1.346577079
Maristone Island,SumBDEs,-1.411104879
Raft Island Park,SumBDEs,-1.336773619
Arroyo Beach,SumCHLDs,3.121731025
Blair Waterway,SumCHLDs,4.345567801
Three Tree Point,SumCHLDs,1.354965209
"Smith Cove, Terminal 91",SumCHLDs,5.3324429
Comm Bay Skookum,SumCHLDs,5.539604912
Thea Foss Waterway,SumCHLDs,4.478484095
"Salmon Bay, Commodore Park",SumCHLDs,6.845882353
"Comm Bay, Dick Gilmur Launch",SumCHLDs,4.817853774
"Comm Bay, Milwaukee Waterway",SumCHLDs,6.528544474
Shilshole Bay,SumCHLDs,4.13442623
Miller Creek,SumCHLDs,1.270942746
Des Moines Marina,SumCHLDs,1.347563335
Browns Point Lighthouse,SumCHLDs,2.340272374
Brackenwood Ln,SumCHLDs,-1.592865169
Salmon Beach,SumCHLDs,-1.547930368
Chimacum Creek delta,SumCHLDs,-1.559808612
Skiff Point,SumCHLDs,-2.19020462
S of Skunk Island,SumCHLDs,-1.561507644
"Chuckanut, Clark's Point",SumCHLDs,-1.319775561
Kitsap St Boat Launch,SumCHLDs,-1.163306549
"Eastsound, Fishing Bay",SumCHLDs,-1.3776771
"Elliott Bay, Harbor Island, Pier 17",SumCHLDs,-1.369357496
Williams Olson Park,SumCHLDs,-1.385764059
Rocky Point,SumCHLDs,-1.217726161
N Avenue Park,SumCHLDs,-1.248163772
Port Angeles Yacht Club,SumCHLDs,-1.382371134
Discovery Bay,SumCHLDs,-0.894344487
Squaxin Island,SumCHLDs,-1.359455056
Eld Inlet,SumCHLDs,-1.233361502
North Camano,SumCHLDs,-1.52350365
Reach Island,SumCHLDs,-1.459528689
Friday Harbor,SumCHLDs,-1.378736591
Tulalip Reservation,SumCHLDs,-1.00217161
Drayton Harbor,SumCHLDs,-2.977107623
Cap Sante,SumCHLDs,-1.336948905
Locust Beach,SumCHLDs,-1.472050301
Blair Waterway #2,SumCHLDs,-1.710660878
West Bay Park,SumCHLDs,-1.619665484
Lions Park,SumCHLDs,-1.579597031
