"","sample_id","latitude","longitude","lat_range","long_range","label","site_name","site_number","reporting_area","geo_group","p450","sod","shell","ci1","ci2","ci3","Analyte.x","Units.x","DryValue.x","Comments.x","p16","Analyte.y","Units.y","DryValue.y","Comments.y","p42","Analyte.x.x","Units.x.x","DryValue.x.x","Comments.x.x","phmw.x","Analyte.y.y","Units.y.y","DryValue.y.y","Comments.y.y","phmw.y","Analyte.x.x.x","Units.x.x.x","DryValue","Comments.x.x.x","pcb","Analyte.y.y.y","Units.y.y.y","plmw","Comments.y.y.y","DryValue_Group"
"11",149,47.27568,-122.4173,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Blair Waterway",41,11,5,3607485,7.438,0.855,21.773,0.6943,0.0458,"SumPAHs16","ng/g",247.5323431,NA,2,"SumPAHs42_DMNcorrected","ng/g",715.0934356,NA,3,"SumPAHsHMW","ng/g",280.5366555,NA,2,"SumPAHsHMW","ng/g",280.5366555,NA,2,"Sum40CBs","ng/g",37.4048874,NA,2,"SumPAHsLMW","ng/g",456.559655,NA,"3"
"12",150,47.27568,-122.4173,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Blair Waterway",41,11,5,2656342,2.9,0.81,20.443,0.7098,0.0456,"SumPAHs16","ng/g",247.5323431,NA,2,"SumPAHs42_DMNcorrected","ng/g",715.0934356,NA,3,"SumPAHsHMW","ng/g",280.5366555,NA,2,"SumPAHsHMW","ng/g",280.5366555,NA,2,"Sum40CBs","ng/g",37.4048874,NA,2,"SumPAHsLMW","ng/g",456.559655,NA,"3"
"13",151,47.27568,-122.4173,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Blair Waterway",41,11,5,3719291,8.989,0.815,32.295,0.7158,0.0565,"SumPAHs16","ng/g",247.5323431,NA,2,"SumPAHs42_DMNcorrected","ng/g",715.0934356,NA,3,"SumPAHsHMW","ng/g",280.5366555,NA,2,"SumPAHsHMW","ng/g",280.5366555,NA,2,"Sum40CBs","ng/g",37.4048874,NA,2,"SumPAHsLMW","ng/g",456.559655,NA,"3"
"14",152,47.27568,-122.4173,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Blair Waterway",41,11,5,5059896,7.334,0.855,35.693,0.6837,0.0587,"SumPAHs16","ng/g",247.5323431,NA,2,"SumPAHs42_DMNcorrected","ng/g",715.0934356,NA,3,"SumPAHsHMW","ng/g",280.5366555,NA,2,"SumPAHsHMW","ng/g",280.5366555,NA,2,"Sum40CBs","ng/g",37.4048874,NA,2,"SumPAHsLMW","ng/g",456.559655,NA,"3"
"15",141,47.2632444,-122.385731,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Blair Waterway #2",42,11,5,4168799,0.978,0.78,33.657,0.7084,0.0605,"SumPAHs16","ng/g",299.3656536,NA,3,"SumPAHs42_DMNcorrected","ng/g",1038.615533,NA,3,"SumPAHsHMW","ng/g",403.2272069,NA,2,"SumPAHsHMW","ng/g",403.2272069,NA,2,"Sum40CBs","ng/g",42.1555716,NA,3,"SumPAHsLMW","ng/g",610.9503136,NA,"4"
"16",142,47.2632444,-122.385731,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Blair Waterway #2",42,11,5,1279705,27.927,0.695,34.016,0.7343,0.058,"SumPAHs16","ng/g",299.3656536,NA,3,"SumPAHs42_DMNcorrected","ng/g",1038.615533,NA,3,"SumPAHsHMW","ng/g",403.2272069,NA,2,"SumPAHsHMW","ng/g",403.2272069,NA,2,"Sum40CBs","ng/g",42.1555716,NA,3,"SumPAHsLMW","ng/g",610.9503136,NA,"4"
"17",143,47.2632444,-122.385731,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Blair Waterway #2",42,11,5,7725177,7.613,0.805,31.737,0.6859,0.0475,"SumPAHs16","ng/g",299.3656536,NA,3,"SumPAHs42_DMNcorrected","ng/g",1038.615533,NA,3,"SumPAHsHMW","ng/g",403.2272069,NA,2,"SumPAHsHMW","ng/g",403.2272069,NA,2,"Sum40CBs","ng/g",42.1555716,NA,3,"SumPAHsLMW","ng/g",610.9503136,NA,"4"
"18",144,47.2632444,-122.385731,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Blair Waterway #2",42,11,5,5159851,6.4,0.83,32.918,0.7091,0.0525,"SumPAHs16","ng/g",299.3656536,NA,3,"SumPAHs42_DMNcorrected","ng/g",1038.615533,NA,3,"SumPAHsHMW","ng/g",403.2272069,NA,2,"SumPAHsHMW","ng/g",403.2272069,NA,2,"Sum40CBs","ng/g",42.1555716,NA,3,"SumPAHsLMW","ng/g",610.9503136,NA,"4"
"19",96,47.68234,-122.5064,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Brackenwood Ln",23,10,3,3877914,0.271,0.855,31.808,0.675,0.0487,"SumPAHs16","ng/g",176.9850187,NA,2,"SumPAHs42_DMNcorrected","ng/g",389.3670412,NA,2,"SumPAHsHMW","ng/g",176.9850187,"dNPH Surrogate recovery below minimum QA value (60%)",1,"SumPAHsHMW","ng/g",176.9850187,"dNPH Surrogate recovery below minimum QA value (60%)",1,"Sum40CBs","ng/g",29.4975031,NA,2,"SumPAHsLMW","ng/g",212.3820225,"dNPH Surrogate recovery below minimum QA value (60%)","2"
"20",97,47.68234,-122.5064,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Brackenwood Ln",23,10,3,3542349,16.142,0.675,33.924,0.7258,0.0543,"SumPAHs16","ng/g",176.9850187,NA,2,"SumPAHs42_DMNcorrected","ng/g",389.3670412,NA,2,"SumPAHsHMW","ng/g",176.9850187,"dNPH Surrogate recovery below minimum QA value (60%)",1,"SumPAHsHMW","ng/g",176.9850187,"dNPH Surrogate recovery below minimum QA value (60%)",1,"Sum40CBs","ng/g",29.4975031,NA,2,"SumPAHsLMW","ng/g",212.3820225,"dNPH Surrogate recovery below minimum QA value (60%)","2"
"21",98,47.68234,-122.5064,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Brackenwood Ln",23,10,3,3150477,7.034,0.665,37.354,0.719,0.0546,"SumPAHs16","ng/g",176.9850187,NA,2,"SumPAHs42_DMNcorrected","ng/g",389.3670412,NA,2,"SumPAHsHMW","ng/g",176.9850187,"dNPH Surrogate recovery below minimum QA value (60%)",1,"SumPAHsHMW","ng/g",176.9850187,"dNPH Surrogate recovery below minimum QA value (60%)",1,"Sum40CBs","ng/g",29.4975031,NA,2,"SumPAHsLMW","ng/g",212.3820225,"dNPH Surrogate recovery below minimum QA value (60%)","2"
"22",99,47.68234,-122.5064,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Brackenwood Ln",23,10,3,6702376,11.402,0.885,35.303,0.7032,0.053,"SumPAHs16","ng/g",176.9850187,NA,2,"SumPAHs42_DMNcorrected","ng/g",389.3670412,NA,2,"SumPAHsHMW","ng/g",176.9850187,"dNPH Surrogate recovery below minimum QA value (60%)",1,"SumPAHsHMW","ng/g",176.9850187,"dNPH Surrogate recovery below minimum QA value (60%)",1,"Sum40CBs","ng/g",29.4975031,NA,2,"SumPAHsLMW","ng/g",212.3820225,"dNPH Surrogate recovery below minimum QA value (60%)","2"
"23",269,47.78184,-122.83474,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Broad Spit (Fisherman's Point)",30,12,2,52717198,34.355,0.865,32.749,0.6622,0.0503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",270,47.78184,-122.83474,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Broad Spit (Fisherman's Point)",30,12,2,2444905,13.708,0.645,31.442,0.7031,0.0485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",271,47.78184,-122.83474,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Broad Spit (Fisherman's Point)",30,12,2,4424850,2.988,0.985,34.475,0.6665,0.0551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",272,47.78184,-122.83474,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Broad Spit (Fisherman's Point)",30,12,2,3385205,8.472,0.8,36.98,0.708,0.0668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",194,47.30515,-122.44441,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Browns Point Lighthouse",54,11,5,3153370,13.731,0.475,31.62,0.7289,0.042,"SumPAHs16","ng/g",175.520428,NA,2,"SumPAHs42_DMNcorrected","ng/g",438.80107,NA,2,"SumPAHsHMW","ng/g",181.3711089,NA,1,"SumPAHsHMW","ng/g",181.3711089,NA,1,"Sum40CBs","ng/g",40.3696984,NA,3,"SumPAHsLMW","ng/g",257.4299611,NA,"2"
"28",195,47.30515,-122.44441,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Browns Point Lighthouse",54,11,5,1063470,25.619,0.65,32.12,0.6569,0.0561,"SumPAHs16","ng/g",175.520428,NA,2,"SumPAHs42_DMNcorrected","ng/g",438.80107,NA,2,"SumPAHsHMW","ng/g",181.3711089,NA,1,"SumPAHsHMW","ng/g",181.3711089,NA,1,"Sum40CBs","ng/g",40.3696984,NA,3,"SumPAHsLMW","ng/g",257.4299611,NA,"2"
"29",196,47.30515,-122.44441,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Browns Point Lighthouse",54,11,5,6892889,1.487,0.785,34.227,0.657,0.0439,"SumPAHs16","ng/g",175.520428,NA,2,"SumPAHs42_DMNcorrected","ng/g",438.80107,NA,2,"SumPAHsHMW","ng/g",181.3711089,NA,1,"SumPAHsHMW","ng/g",181.3711089,NA,1,"Sum40CBs","ng/g",40.3696984,NA,3,"SumPAHsLMW","ng/g",257.4299611,NA,"2"
"30",197,47.30515,-122.44441,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Browns Point Lighthouse",54,11,5,12192291,6.551,0.66,34.193,0.6678,0.0453,"SumPAHs16","ng/g",175.520428,NA,2,"SumPAHs42_DMNcorrected","ng/g",438.80107,NA,2,"SumPAHsHMW","ng/g",181.3711089,NA,1,"SumPAHsHMW","ng/g",181.3711089,NA,1,"Sum40CBs","ng/g",40.3696984,NA,3,"SumPAHsLMW","ng/g",257.4299611,NA,"2"
"31",214,48.520971,-122.600717,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cap Sante",64,7,4,8571444,13.24,1.04,35.637,0.6305,0.0468,"SumPAHs16","ng/g",63.66423358,NA,1,"SumPAHs42_DMNcorrected","ng/g",375.6189781,NA,2,"SumPAHsHMW","ng/g",120.9620438,NA,1,"SumPAHsHMW","ng/g",120.9620438,NA,1,"Sum40CBs","ng/g",22.2824818,NA,1,"SumPAHsLMW","ng/g",254.6569343,NA,"2"
"32",215,48.520971,-122.600717,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cap Sante",64,7,4,9119663,0.975,0.94,32.828,0.6568,0.0501,"SumPAHs16","ng/g",63.66423358,NA,1,"SumPAHs42_DMNcorrected","ng/g",375.6189781,NA,2,"SumPAHsHMW","ng/g",120.9620438,NA,1,"SumPAHsHMW","ng/g",120.9620438,NA,1,"Sum40CBs","ng/g",22.2824818,NA,1,"SumPAHsLMW","ng/g",254.6569343,NA,"2"
