"site_name","p450_Range_Min","p450_Range_Max","p450_Percentile_2.5","p450_Percentile_97.5","p450_Median","SOD_Range_Min","SOD_Range_Max","SOD_Percentile_2.5","SOD_Percentile_97.5","SOD_Median","condition_factor_Range_Min","condition_factor_Range_Max","condition_factor_Percentile_2.5","condition_factor_Percentile_97.5","condition_factor_Median","avg_thickness_Range_Min","avg_thickness_Range_Max","avg_thickness_Percentile_2.5","avg_thickness_Percentile_97.5","avg_thickness_Median"
"Friday Harbor",2728430,6464229,2753311.5,6211911.1,3660262,0.0025,18.935,0.0025,18.2726,2.297,0.0909,0.18,0.09611,0.17826,0.1507,0.625,0.895,0.6275,0.89,0.735
"Gig Harbor Boat Launch",1906238,5823222,1983186.8,5815957.125,4329289.5,0.0025,14.656,0.4099375,14.3026,7.6895,0.1383,0.1699,0.138525,0.16972,0.1544,0.845,1.1,0.848375,1.094375,0.9575
"Hood Canal Holly",291641,1693665,296064.45,1627987.25,380110,0.0025,9.83,0.0025,8.6015625,0.0025,0.1717,0.2059,0.1729875,0.2050625,0.1912,0.575,0.755,0.581875,0.75125,0.6875
"Jamestown",2235746,5366142,2304548.125,5113306.625,2924790,15.582,39.581,15.898125,38.0525,23.1485,0.1462,0.2162,0.1463,0.2126375,0.1731,0.45,0.64,0.461875,0.636875,0.595
"Kingston Marina",2529572,7944848,2689941.65,7797646.25,5324996,0.048,7.722,0.3399,7.4838,4.243,0.1303,0.1922,0.1331575,0.190625,0.1698,0.71,0.875,0.717875,0.87275,0.83
"Kitsap St Boat Launch",990580,5858996,1003736.8,5683915.55,2345297,2.056,72.981,2.839825,70.165125,23.9715,Inf,-Inf,NA,NA,NA,0.8,0.87,0.800375,0.868875,0.83
"Kopachuck State Park",2558683,9888442,2992154.875,9773441.05,8346702,0.775,9.21,1.024075,8.880975,4.4595,0.1407,1.5799,0.14229,1.477915,0.191,0.69,0.86,0.696,0.85475,0.78
"Lions Park",2556710,8920913,2821694.975,8897260.7,7347696,6.1,31.368,6.232675,30.0531,10.8525,0.1266,0.1797,0.127785,0.176985,0.14295,0.66,0.805,0.66675,0.8035,0.7675
"Locust Beach",1911632,3303872,1928696.075,3225030.725,2195904,2.108,10.204,2.11625,9.9694,4.647,0.1222,0.2022,0.125995,0.2006175,0.17695,0.6,0.745,0.604875,0.744625,0.7025
"Madrona Pont",3417364,6776918,3639073.975,6767476.025,6512261,2.069,8.315,2.0915,7.89635,2.551,0.1249,0.1988,0.1251775,0.196655,0.1494,0.71,1.005,0.71075,0.9885,0.7525
"Manchester, Stormwater Outfall",2700803,12583522,2839372.025,11989153.15,4603497,0.0025,4.915,0.1620625,4.822525,2.906,0.1848,0.2221,0.185145,0.2203675,0.1942,0.57,0.645,0.57225,0.642375,0.605
"Maple Hollow Park",1311133,5079449,1471982.75,5051882.95,4528128,0.0025,14.787,0.0025,13.955025,1.84825,0.1456,0.1996,0.1492225,0.199435,0.19565,0.665,0.9,0.67025,0.8925,0.7675
"Maristone Island",2059689,11966241,2071013.5,11109463.125,3673566,0.0025,12.992,0.3031875,12.416625,5.1405,0.1358,0.2405,0.140625,0.2369,0.1831,0.61,0.9,0.61,0.875625,0.685
"Meyer's Point - Henderson Inlet",1153344,3404367,1237960.425,3391876.875,2759697.5,6.983,63.547,7.07345,60.0808,12.76,Inf,-Inf,NA,NA,NA,0.535,0.965,0.554875,0.95675,0.8275
"Miller Creek",4130787,7321595,4236647.55,7222057.1,5768342,0.0025,7.704,0.0803875,7.67475,4.1775,0.1737,0.1985,0.1750275,0.1981325,0.1925,0.685,0.96,0.6895,0.955125,0.82
"Minter Bay",4961205,7066217,5058868.95,7026464.375,6399786.5,0.0025,3.468,0.1500625,3.397275,2.2475,0.1595,0.1956,0.160025,0.194055,0.17075,0.8,1.095,0.801875,1.084125,0.8875
"Mukilteo",3542349,7725177,3567516.375,7532777.55,4518882.5,0.271,16.142,0.730675,15.502325,7.0065,0.1349,0.1615,0.1365875,0.1613125,0.1582,0.675,0.855,0.68475,0.853125,0.8175
"N Avenue Park",3461581,4827148,3477988.45,4822421.8,4222239.5,0.0025,5.692,0.0035125,5.2699,0.04,0.1556,0.2009,0.1571225,0.2005475,0.18605,0.71,0.9,0.716,0.89925,0.84
"North Camano",3248979,31917668,3390910.65,30187895.6,6997718.5,0.0025,2.438,0.0025,2.29745,0.28325,0.1484,0.1916,0.151295,0.1915775,0.18915,0.725,0.855,0.7265,0.84675,0.745
"Oak Bay County Park",1614645,3074754,1660521.075,3026011.575,2325590.5,3.484,51.729,4.084075,48.7893,12.009,0.132,0.2043,0.1352025,0.2029875,0.18075,0.735,0.81,0.736125,0.80925,0.775
"Penn Cove Reference",956176,3373010,1035767.275,3372337.7,2690719.5,8.875,34.492,9.87685,34.1431,26.0365,0.1762,0.2122,0.17749,0.2111875,0.19605,0.545,0.645,0.549125,0.64425,0.6175
"Pennrose Point State Park",2656342,7518449,2681606.5,7225126.7,3300343.5,2.815,7.438,2.821375,7.243525,3.8725,0.1373,0.2569,0.1391675,0.250075,0.16405,0.81,0.955,0.81,0.9475,0.8325
"Point Defiance Ferry",1743980,2845932,1757787.05,2798195.175,2068757.5,3.17,24.677,3.280775,23.65445,7.845,0.1607,0.1864,0.16187,0.185995,0.17865,0.79,0.905,0.79,0.902375,0.83
"Port Angeles Yacht Club",2563791,12345151,2599410.375,11652793.125,4972077,0.0025,24.332,0.0025,23.152375,2.5405,1.5211,1.863,1.5226375,1.83255,1.59385,0.545,0.99,0.556875,0.98125,0.855
"Purdy - Dexters",3471329,6119860,3514824.8,6060609.325,4690562,0.0025,7.036,0.0025,6.5084875,0.0025,0.143,0.1986,0.1444775,0.19629,0.16525,0.73,0.96,0.735625,0.954,0.8425
"Purdy, Burley Lagoon",1243643,6878714,1417524.125,6667783.025,3814179.5,5.591,15.797,5.886425,15.657575,11.734,0.126,0.2331,0.13047,0.2316675,0.1998,0.705,1.195,0.714375,1.175125,0.88
"Raft Island Park",1581168,6767449,1711801.35,6741438.55,4871794.5,0.0025,11.029,0.0942624999999999,10.41595,2.0405,0.1358,0.1892,0.1389875,0.188555,0.17945,0.58,0.805,0.581125,0.79225,0.615
"Reach Island",1945061,7550982,2320218.05,7523067.9,7062974.5,0.028,10.304,0.053425,10.1039,4.0015,0.1414,0.2169,0.142285,0.212865,0.15815,0.655,0.85,0.66325,0.847,0.7875
"Rich Passage",1476511,4147207,1598366.275,4142710,3594247.5,0.844,3.506,0.930625,3.440375,2.315,0.1489,0.1901,0.1489375,0.1889975,0.1624,0.745,0.9,0.7465,0.89475,0.7975
"Rocky Point",1980727,8616041,2067618.325,8292154.775,3718418,2.605,15.435,2.964325,15.338325,10.771,0.1679,0.1909,0.1683275,0.190105,0.17695,0.595,0.745,0.6025,0.743125,0.7075
"S of Skunk Island",1279705,5059896,1462673.95,4993063.725,3944045,0.978,27.927,1.4547,26.50665,8.1615,0.1522,0.1925,0.1529875,0.191615,0.1717,0.695,0.855,0.701375,0.852,0.7975
"Salmon Bay, Commodore Park",2016415,5854695,2053179.625,5764249.425,3577682,0.0025,4.592,0.0025,4.34735,0.66625,0.1859,0.2051,0.186005,0.20399,0.1888,0.64,0.795,0.64225,0.78975,0.6975
"Salmon Beach",916811,2963755,951776.525,2917910.2,1867754.5,0.0025,51.47,0.6711625,48.579725,10.9255,0.1415,0.2061,0.141815,0.20181,0.1473,0.685,1.035,0.693625,1.0275,0.8675
"Seattle Aquarium, Pier 59",2381238,4956424,2389550.7,4788032.2,2601637,0.0025,84.419,0.1325125,78.79205,5.5645,0.1453,0.1944,0.1480525,0.193575,0.1827,0.755,0.905,0.75875,0.905,0.855
