"Metric","Analyte","N_Pairs","Spearman_r","Spearman_p","Kendall_tau","Kendall_p","Spearman_sig","Kendall_sig"
"ibr_bio","z_PCB138",74,-0.365849296937533,0.00134837206687251,-0.286656012297459,0.00199284462230896,"**","**"
"ibr_bio","z_PCB118",74,-0.365394371620167,0.00136859271753832,-0.287509617680899,0.00194391572964648,"**","**"
"sod","z_PCB066",74,0.34295996262119,0.00277778473813405,0.250908607421507,0.00402674801203759,"**","**"
"ibr_combined","z_PCB138",74,-0.342128509977471,0.00284886906211158,-0.269078049279219,0.00371101182572736,"**","**"
"ibr_combined","z_PCB118",74,-0.341719308451092,0.00288444674568577,-0.269920794011009,0.00362466175677521,"**","**"
"sod","z_PCB180",74,0.336080179402633,0.00341680594950433,0.250889378034062,0.00577246544259318,"**","**"
"sod","z_PCB087",74,0.322738782212811,0.00503937518251307,0.23956278479478,0.00748463965108937,"**","**"
"ibr_bio","z_PCB180",74,-0.32232521884273,0.00509907407213612,-0.247566339914406,0.00645215523705013,"**","**"
"ibr_combined","z_cadmium",74,0.311318181051799,0.00693572930880775,0.223425803066271,0.00509272417799245,"**","**"
"ibr_combined","z_cadmium.1",74,0.311318181051799,0.00693572930880775,0.223425803066271,0.00509272417799245,"**","**"
"sod","z_ppDDE",74,0.305695526376998,0.00808136858976452,0.205346054157906,0.0102182307650499,"**","*"
"ibr_bio","z_cadmium",74,0.305081744326313,0.00821594707958725,0.209275502205407,0.00869788646515105,"**","**"
"ibr_bio","z_cadmium.1",74,0.305081744326313,0.00821594707958725,0.209275502205407,0.00869788646515105,"**","**"
"ibr_combined","z_PCB180",74,-0.297091714758082,0.0101554663574421,-0.227628111196467,0.0122624762466594,"*","*"
"sod","z_C3.dibenzothiophenes",74,0.296385647718504,0.0103446441113487,0.224555805404363,0.010998407911502,"*","*"
"ci3","z_PCB110",74,0.292643126587968,0.0113995049911439,0.222056688453708,0.0134573640601531,"*","*"
"sod","z_ppDDD",74,0.289480486997948,0.0123625811717568,0.221438292704123,0.0124003354860968,"*","*"
"sod","z_PCB099",74,0.289039772382337,0.0125022341910778,0.210934855793332,0.0115665888221503,"*","*"
"weight_final","z_cadmium",74,0.288920337040078,0.0125403153960237,0.194380448667655,0.0148111034618684,"*","*"
"weight_final","z_cadmium.1",74,0.288920337040078,0.0125403153960237,0.194380448667655,0.0148111034618684,"*","*"
"sod","z_dieldrin",74,0.28760979357918,0.0129648225635955,0.221718030450107,0.0150066489159685,"*","*"
"ibr_bio","z_PCB066",74,-0.287015325400647,0.0131614474181825,-0.216611747414251,0.0130307281304756,"*","*"
"ibr_bio","z_PCB087",74,-0.286299076371293,0.0134017762178754,-0.221174170183666,0.0135421322618525,"*","*"
"ci3","z_PCB153",74,0.286065895236545,0.0134808322235181,0.213424494354454,0.0173767099885028,"*","*"
"ibr_combined","z_PCB074",74,-0.285933675766977,0.013525837897266,-0.233169061075845,0.0141751165101746,"*","*"
"sod","z_PCB138",74,0.285710879513121,0.0136019686617224,0.231217821239932,0.0126507864720568,"*","*"
"sod","z_PCB118",74,0.285208363323351,0.0137750430184069,0.230684187362792,0.0129105660407966,"*","*"
"shell","z_PCB066",74,0.283770733083814,0.0142807387524102,0.199463317410623,0.0222330180126627,"*","*"
"ibr_bio","z_PCB074",74,-0.283653285780501,0.0143227510198367,-0.231123718434828,0.0150456205257512,"*","*"
"sod","z_C3.fluorenes",74,0.28318443800483,0.0144915284618286,0.201241653283291,0.0156916893924404,"*","*"
"sod","z_PCB187",74,0.28014316481785,0.0156285825717142,0.205565215200776,0.0184273403959112,"*","*"
"ibr_bio","z_dieldrin",74,-0.279697822607128,0.0158013707753753,-0.215049819007998,0.0183208424906643,"*","*"
"sod","z_C2.dibenzothiophenes",74,0.279629762322276,0.0158279218209692,0.212266393119519,0.0176848106396484,"*","*"
"length","z_C2.phenanthrenes_anthracenes",74,-0.276969653153211,0.0168961857807863,-0.19164237321306,0.0170782665951138,"*","*"
"sod","z_C3.benzanthracenes_chrysenes",74,0.272045050952436,0.0190378828080169,0.20527685726074,0.020029616117647,"*","*"
"weight_change","z_arsenic",74,0.270006793444756,0.0199900421632205,0.191591811402281,0.0167885863007607,"*","*"
"weight_change","z_arsenic.1",74,0.270006793444756,0.0199900421632205,0.191591811402281,0.0167885863007607,"*","*"
"ibr_combined","z_PCB087",74,-0.267970879429201,0.0209814345079832,-0.210958273177492,0.0185160002186107,"*","*"
"ibr_combined","z_ppDDE",74,-0.266816839811796,0.0215618007788141,-0.194892073218958,0.0147850078558178,"*","*"
"ibr_combined","z_PCB128",74,-0.265128539956869,0.0224354631773861,-0.215192290959193,0.0193580792687398,"*","*"
"ibr_combined","z_dieldrin",74,-0.264665077760229,0.0226805009805014,-0.20615887041852,0.0237260516640676,"*","*"
"ibr_bio","z_ppDDE",74,-0.261986637136394,0.0241416634980784,-0.185931518128431,0.0200436830505677,"*","*"
"sod","z_C4.dibenzothiophenes",74,0.261429409372239,0.0244554818253547,0.195638651895096,0.0271137839526427,"*","*"
"ibr_bio","z_PCB128",74,-0.257684189447421,0.0266557871534983,-0.206609122658826,0.0247497361695307,"*","*"
"ibr_bio","z_naphthalene",74,0.255193140675616,0.028210125883977,0.197762845448153,0.0341434964670166,"*","*"
"sod","z_PCB074",74,0.25363382357047,0.0292214761985416,0.204534264101618,0.0314308895763031,"*","*"
"sod","z_C4.fluoranthenes_pyrenes",74,0.252768190917232,0.0297959785219362,0.193525271265325,0.031832961719824,"*","*"
"weight_initial","z_arsenic",74,0.252758129399441,0.0298027116301952,0.172881673570027,0.0309449885508763,"*","*"
"weight_initial","z_arsenic.1",74,0.252758129399441,0.0298027116301952,0.172881673570027,0.0309449885508763,"*","*"
"sod","z_PCB095",74,0.250943142495301,0.0310384224187382,0.181392616916362,0.027692395928797,"*","*"
"ibr_combined","z_PCB066",74,-0.250636563060399,0.0312513450705646,-0.194048023725266,0.026128938199394,"*","*"
"sod","z_benzo_ghi_perylene",74,0.249640279118417,0.0319517649009341,0.19298236153245,0.0327176934732892,"*","*"
"p450","z_PCB128",74,-0.249354108849031,0.0321553703913232,-0.199252121258512,0.0303619790283219,"*","*"
"sod","z_cadmium",74,-0.248909373630252,0.0324739518545893,-0.167569352299703,0.0356557080502579,"*","*"
"sod","z_cadmium.1",74,-0.248909373630252,0.0324739518545893,-0.167569352299703,0.0356557080502579,"*","*"
"ci3","z_PCB033",74,0.248657163225218,0.0326557933582193,0.161464763975116,0.0507727741776117,"*",""
"shell","z_PCB149",74,0.248654857441434,0.0326574597379449,0.168989291398893,0.035099532662561,"*","*"
"ibr_bio","z_ppDDD",74,-0.247138668705352,0.0337687472361298,-0.187445572332876,0.0342864169425384,"*","*"
