"Metric","Analyte","Spearman_r","Spearman_p","Kendall_tau","Kendall_p","Spearman_sig","Kendall_sig"
"ibr_bio","total_pah_index",-0.122665679378008,0.297790315909238,-0.0818215475749722,0.302377333526091,"",""
"length","pcb_index",-0.121273602369493,0.303348514408748,-0.0973713439466864,0.219690466564667,"",""
"length","pbde_index",-0.121010366327066,0.304407086517961,-0.0782333102493725,0.355296763283115,"",""
"width","total_metal_index",-0.12068122917438,0.305734045956894,-0.0825620140688634,0.298023084989838,"",""
"width","nutrient_metal_index",-0.119378008145131,0.311024965195965,-0.0884857460199926,0.264700492685532,"",""
"weight_initial","total_pah_index",-0.11884487226953,0.313206373549712,-0.0736764161421695,0.353054692626099,"",""
"ci1","ddt_index",0.11452400652613,0.331248585684181,0.0803731070609353,0.31326275834552,"",""
"ibr_bio","pah_hmw_index",-0.114372454646427,0.331893117873394,-0.0847834135505368,0.285212724387138,"",""
"ibr_combined","total_pah_index",-0.114313217326916,0.332145262707996,-0.0788596815994076,0.320215662252425,"",""
"ibr_bio","pah_lmw_index",-0.113187708256201,0.336959022067091,-0.0781192151055165,0.324780627427968,"",""
"shell","chlordane_index",0.112377626598696,0.340450747111246,0.0893200993699617,0.333806165771783,"",""
"ci3","chlordane_index",0.110903968073858,0.34686066920389,0.0906240424264575,0.326797481165885,"",""
"weight_final","total_pah_index",-0.110551647537949,0.348404212495218,-0.0618289522399111,0.435776550337215,"",""
"length","total_metal_index",-0.110522028878193,0.348534168553139,-0.0847834135505368,0.285212724387138,"",""
"ci3","total_pah_index",0.107708256201407,0.361017283854082,0.0796001480932988,0.315692852880668,"",""
"ci1","total_metal_index",0.107530544242873,0.361814798432696,0.0699740836727138,0.377769705704607,"",""
"p450","heavy_metal_index",0.107056645686783,0.363946783049585,0.0596075527582377,0.452445342480868,"",""
"ci3","pah_lmw_index",0.105842280636801,0.369444999348227,0.075897815623843,0.338728336088803,"",""
"ci2","pcb_index",0.105753424657534,0.369849282665863,0.0736764161421695,0.353054692626099,"",""
"ci1","pah_lmw_index",0.105012958163643,0.373228767397789,0.0847834135505368,0.285212724387138,"",""
"ibr_morph","nutrient_metal_index",-0.104154017030729,0.377172333771094,-0.0522028878193262,0.510531835808538,"",""
"ibr_morph","chlordane_index",-0.102687205389908,0.383964628279361,-0.0775846118614996,0.401192406148094,"",""
"shell","ddt_index",0.102673119807607,0.384030206898441,0.0855824751111811,0.282930877936434,"",""
"ci2","heavy_metal_index",0.101044057756387,0.391659871161514,0.0655312847093669,0.408797115340602,"",""
"sod","total_metal_index",0.0989411329137356,0.401640890991668,0.0736764161421695,0.353054692626099,"",""
"shell","hch_index",0.0986926864772119,0.402829869557414,0.0745325065803144,0.419124391822667,"",""
"ibr_combined","pah_lmw_index",-0.0978748611625324,0.406758258466577,-0.0633098852276934,0.424863595137693,"",""
"ibr_morph","total_pah_index",0.0963643095149944,0.414072679475726,0.0729359496482784,0.357914090398791,"",""
"ibr_combined","total_metal_index",-0.0959496482784154,0.416093805658449,-0.0529433543132173,0.504552893813912,"",""
"ibr_morph","pbde_index",0.0940810793968444,0.425271962373289,0.0615879250899315,0.466802814989935,"",""
"ibr_combined","pah_hmw_index",-0.0936690114772306,0.427311446436341,-0.0818215475749722,0.302377333526091,"",""
"ibr_bio","total_metal_index",-0.0913883746760459,0.438699595879225,-0.0588670862643465,0.45808064197723,"",""
"weight_final","chlordane_index",0.0909425935101312,0.440945339254519,0.0645451812965416,0.484925701816718,"",""
"weight_initial","chlordane_index",0.0906746555965242,0.442298246391579,0.0710648965790206,0.441924254846407,"",""
"weight_final","pah_add_index",0.0906209736339344,0.442569583671012,0.0629746346524516,0.427558309843743,"",""
"ci1","pcb_index",0.0906182895223991,0.442583153048918,0.0588670862643465,0.45808064197723,"",""
"sod","chlordane_index",0.0892456533906198,0.44955289152864,0.0710648965790206,0.441924254846407,"",""
"ci3","total_metal_index",-0.0891077378748611,0.450256527629124,-0.0618289522399111,0.435776550337215,"",""
"length","nutrient_metal_index",-0.0882784154017031,0.454500533723396,-0.0655312847093669,0.408797115340602,"",""
"ibr_combined","chlordane_index",-0.0881739017361916,0.455036937212561,-0.0710648965790206,0.441924254846407,"",""
"p450","total_pah_index",-0.0873898556090337,0.459072068391723,-0.0551647537948908,0.48683994263848,"",""
"p450","pah_lmw_index",-0.0870344316919659,0.460907719545549,-0.0529433543132173,0.504552893813912,"",""
"weight_change","total_pah_index",-0.0856423546834506,0.468135885106318,-0.0559052202887819,0.48101116907894,"",""
"shell","heavy_metal_index",-0.0855831173639393,0.468444823738082,-0.0536838208071085,0.498611076429023,"",""
"ci2","pbde_index",0.0809748697276799,0.492813539651525,0.0615879250899315,0.466802814989935,"",""
"shell","total_pah_index",0.0804590892262125,0.495581791477387,0.0492410218437616,0.53481288411357,"",""
"height","hch_index",-0.0790798447420611,0.503024090794564,-0.063163141169758,0.493535778912235,"",""
"ci1","hch_index",0.0779529190291021,0.509147531506555,0.063163141169758,0.493535778912235,"",""
"weight_final","pah_hmw_index",-0.0777341725286931,0.510340561108385,-0.0440577563865235,0.578661028472803,"",""
"p450","total_metal_index",-0.0753054424287301,0.523682209346286,-0.0529433543132173,0.504552893813912,"",""
"weight_change","nutrient_metal_index",-0.074061458718993,0.530582907652819,-0.0566456867826731,0.475220605785822,"",""
"shell","total_metal_index",-0.071543872639763,0.544685476051266,-0.0388744909292854,0.6241287362131,"",""
"weight_final","pcb_index",-0.0714550166604961,0.545186523870695,-0.051462421325435,0.516547610292877,"",""
"ci3","pbde_index",0.0709231393631007,0.54819038841208,0.0457748091884626,0.588610043589956,"",""
"weight_final","hch_index",-0.0705628869498906,0.550229510049003,-0.0581100898761773,0.528746722436206,"",""
"ibr_bio","chlordane_index",-0.0676319950263166,0.566953651223652,-0.0541136368445753,0.558191994962116,"",""
"p450","ddt_index",0.0676093087291758,0.567084027451915,0.0506052896309592,0.525481802842259,"",""
"width","heavy_metal_index",-0.0667456497593484,0.572057830923894,-0.0499814883376527,0.528688447097777,"",""
"weight_initial","hch_index",-0.0652966764066402,0.580447736846715,-0.0530570385825967,0.565193484300647,"",""
"ci3","pah_add_index",0.0639633902802684,0.588217268698223,0.0407482930104099,0.60769848968767,"",""
"weight_change","chlordane_index",0.0633896447275381,0.59157510456465,0.0528096937880795,0.567714988150327,"",""
"weight_initial","pbde_index",-0.0624921531193219,0.596844873460543,-0.0416134628986024,0.622943423659714,"",""
"ci3","ddt_index",0.0621134600134606,0.599074687942068,0.0431633352734652,0.588130040396617,"",""
"height","ddt_index",-0.057832327186394,0.624535326053014,-0.0416749444019664,0.601062102027196,"",""
"shell","pbde_index",0.0569130531650283,0.630061522247155,0.0457748091884626,0.588610043589956,"",""
"ibr_combined","nutrient_metal_index",-0.0568826360607182,0.630244723101331,-0.0322102924842651,0.684738158768191,"",""
"weight_change","ddt_index",0.0562472710877915,0.634076572895339,0.0394423580947182,0.620697062125396,"",""
"shell","pah_lmw_index",0.0551943724546464,0.640447701359653,0.036653091447612,0.64407638752308,"",""
"weight_change","hch_index",-0.0540274192770508,0.647539396797241,-0.0467407244656209,0.612382850911628,"",""
"ci2","chlordane_index",0.0534759419240767,0.650901761470736,0.0449860354491048,0.626424756605977,"",""
"ci1","heavy_metal_index",0.0530618289522399,0.653431197737898,0.0285079600148093,0.719341738887552,"",""
"shell","pcb_index",-0.0511069974083673,0.665423775967001,-0.0381340244353943,0.63074833825656,"",""
"ci2","total_pah_index",0.0500111069974084,0.672183970885665,0.0351721584598297,0.657519875026144,"",""
"ci1","chlordane_index",0.0482511526087389,0.683094872240827,0.0397702632231216,0.666956605575575,"",""
"ibr_morph","heavy_metal_index",0.0478785634950018,0.685413182540621,0.0410958904109589,0.604452888180368,"",""
"ci2","pah_lmw_index",0.0478785634950018,0.685413182540621,0.0240651610514624,0.761632404226762,"",""
"width","pah_add_index",-0.0459250922109545,0.697615072945852,-0.0340803905177974,0.667663536766521,"",""
"weight_change","pbde_index",-0.044289949916487,0.707887938970325,-0.034123039576854,0.686815738302375,"",""
"weight_initial","pcb_index",-0.0432284339133654,0.714585076634011,-0.0336912254720474,0.671075076549831,"",""
"sod","pah_add_index",0.0414821616520102,0.72564911179688,0.0281533660799196,0.722824758452046,"",""
"length","hch_index",-0.0414361915995672,0.725941139234435,-0.0378978847018548,0.681206290394463,"",""
"ibr_morph","hch_index",0.0404609674248912,0.732145438299304,0.0252652564679032,0.784178073992252,"",""
"ci3","heavy_metal_index",-0.0388744909292854,0.742275036641471,-0.0410958904109589,0.604452888180368,"",""
"ci3","hch_index",-0.0373619217142541,0.751973634719203,-0.0328448334082741,0.721809175051588,"",""
"weight_initial","pah_add_index",0.0370984701671851,0.753666862924904,0.029635122189389,0.708885140369525,"",""
"p450","pah_add_index",0.0370688506301255,0.753857303217756,0.0266716099704501,0.736856976653216,"",""
"ci2","pah_add_index",-0.035587873777144,0.763397784359745,-0.029635122189389,0.708885140369525,"",""
"length","chlordane_index",0.0344523500579751,0.770736834936848,0.0345544909971385,0.70848460452933,"",""
