"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",73,1017.23758714034,0.568924825022559,4.06781814722188,0.001
"Residual",225,770.762412859664,0.431075174977441,NA,NA
"Total",298,1788,1,NA,NA
