"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",4,72.4241646967752,0.0405056849534537,3.10285094699536,0.001
"Residual",294,1715.57583530323,0.959494315046547,NA,NA
"Total",298,1788,1,NA,NA
